"POLICÍAS OPERATIVOS POR CADA 100 MIL Y POR CADA MIL HABITANTES A NIVEL MUNICIPAL, 2010",,,,,LEER NOTA
Clave,Estado,Municipio,Personal de seguridad pública total                (incluye policías y personal administrativo),Policías operativos por cada 100 mil habitantes (excluye personal administrativo),Policías operativos por cada mil habitantes (excluye personal administrativo)
10002,Durango,Canelas,n. d.,n. d.,n. d.
10003,Durango,Coneto de Comonfort,12,264.9,2.6
10004,Durango,Cuencamé,44,124.8,1.2
10005,Durango,Durango,"1,017",138.3,1.4
10006,Durango,General Simón Bolívar,9,65.9,0.7
10007,Durango,Gómez Palacio,654,182.0,1.8
10008,Durango,Guadalupe Victoria,57,158.6,1.6
10009,Durango,Guanaceví,15,147.8,1.5
10010,Durango,Hidalgo,7,164.1,1.6
10011,Durango,Indé,11,208.3,2.1
10012,Durango,Lerdo,248,164.5,1.6
10013,Durango,Mapimí,40,147.2,1.5
10014,Durango,Mezquital,33,95.8,1.0
10015,Durango,Nazas,25,201.4,2.0
10016,Durango,Nombre de Dios,38,59.5,0.6
10017,Durango,Ocampo,18,187.0,1.9
10018,Durango,El Oro,13,114.8,1.1
10019,Durango,Otáez,10,172.8,1.7
10020,Durango,Pánuco de Coronado,11,92.2,0.9
10021,Durango,Peñón Blanco,20,191.0,1.9
10022,Durango,Poanas,48,192.6,1.9
10023,Durango,Pueblo Nuevo,66,132.2,1.3
10024,Durango,Rodeo,26,172.0,1.7
10025,Durango,San Bernardo,5,145.6,1.5
10026,Durango,San Dimas,31,157.4,1.6
10027,Durango,San Juan de Guadalupe,11,185.0,1.8
10028,Durango,San Juan del Río,25,210.9,2.1
10029,Durango,San Luis del Cordero,7,321.0,3.2
10030,Durango,San Pedro del Gallo,5,292.6,2.9
10031,Durango,Santa Clara,12,171.4,1.7
10032,Durango,Santiago Papasquiaro,80,142.3,1.4
10033,Durango,Súchil,20,266.2,2.7
10034,Durango,Tamazula,n. d.,n. d.,n. d.
10035,Durango,Tepehuanes,15,130.3,1.3
10036,Durango,Tlahualilo,n. d.,n. d.,n. d.
10037,Durango,Topia,4,35.0,0.3
10038,Durango,Vicente Guerrero,30,113.7,1.1
10039,Durango,Nuevo Ideal,25,92.0,0.9
11001,Guanajuato,Abasolo,109,123.3,1.2
11002,Guanajuato,Acámbaro,n. d.,n. d.,n. d.
11003,Guanajuato,San Miguel de Allende,226,132.8,1.3
11004,Guanajuato,Apaseo el Alto,86,125.7,1.3
11005,Guanajuato,Apaseo el Grande,127,131.3,1.3
11006,Guanajuato,Atarjea,n. d.,n. d.,n. d.
11007,Guanajuato,Celaya,720,143.2,1.4
11008,Guanajuato,Manuel Doblado,53,140.0,1.4
11009,Guanajuato,Comonfort,122,153.0,1.5
11010,Guanajuato,Coroneo,34,282.3,2.8
11011,Guanajuato,Cortazar,111,114.3,1.1
11012,Guanajuato,Cuerámaro,31,113.5,1.1
11013,Guanajuato,Doctor Mora,37,145.8,1.5
11014,Guanajuato,Dolores Hidalgo,194,117.4,1.2
11015,Guanajuato,Guanajuato,442,241.1,2.4
11016,Guanajuato,Huanímaro,34,159.1,1.6
11017,Guanajuato,Irapuato,744,140.1,1.4
11018,Guanajuato,Jaral del Progreso,96,248.7,2.5
11019,Guanajuato,Jerécuaro,109,202.6,2.0
11020,Guanajuato,León,"3,279",228.3,2.3
11021,Guanajuato,Moroleón,128,239.0,2.4
11022,Guanajuato,Ocampo,59,251.3,2.5
11023,Guanajuato,Pénjamo,226,143.4,1.4
11024,Guanajuato,Pueblo Nuevo,43,367.1,3.7
11025,Guanajuato,Purísima del Rincón,83,114.8,1.1
11026,Guanajuato,Romita,73,121.8,1.2
11027,Guanajuato,Salamanca,355,136.2,1.4
11028,Guanajuato,Salvatierra,233,239.0,2.4
11029,Guanajuato,San Diego de la Unión,57,148.2,1.5
11030,Guanajuato,San Felipe,191,164.6,1.6
11031,Guanajuato,San Francisco del Rincón,201,151.4,1.5
11032,Guanajuato,San José Iturbide,109,143.6,1.4
11033,Guanajuato,San Luis de la Paz,95,82.1,0.8
11034,Guanajuato,Santa Catarina,16,312.5,3.1
11035,Guanajuato,Santa Cruz de Juventino Rosas,152,183.0,1.8
11036,Guanajuato,Santiago Maravatío,30,434.8,4.3
11037,Guanajuato,Silao,218,124.3,1.2
11038,Guanajuato,Tarandacuao,29,214.8,2.1
11039,Guanajuato,Tarimoro,80,216.5,2.2
11040,Guanajuato,Tierra Blanca,24,115.5,1.2
11041,Guanajuato,Uriangato,162,263.0,2.6
11042,Guanajuato,Valle de Santiago,252,178.6,1.8
11043,Guanajuato,Victoria,7,35.3,0.4
11044,Guanajuato,Villagrán,99,164.9,1.6
11045,Guanajuato,Xichú,1,8.7,0.1
11046,Guanajuato,Yuriria,133,163.9,1.6
12001,Guerrero,Acapulco de Juárez,"3,031",313.6,3.1
12002,Guerrero,Ahuacuotzingo,51,203.8,2.0
12003,Guerrero,Ajuchitlán del Progreso,36,94.2,0.9
12004,Guerrero,Alcozauca de Guerrero,30,152.9,1.5
12005,Guerrero,Alpoyeca,13,195.9,2.0
12006,Guerrero,Apaxtla,19,145.3,1.5
12007,Guerrero,Arcelia,57,177.1,1.8
12008,Guerrero,Atenango del Río,23,262.2,2.6
12009,Guerrero,Atlamajalcingo del Monte,12,210.3,2.1
12010,Guerrero,Atlixtac,32,117.7,1.2
12011,Guerrero,Atoyac de Álvarez,204,308.2,3.1
12012,Guerrero,Ayutla de los Libres,69,105.3,1.1
12013,Guerrero,Azoyú,28,194.1,1.9
12014,Guerrero,Benito Juárez,27,153.1,1.5
12015,Guerrero,Buenavista de Cuéllar,28,212.8,2.1
12016,Guerrero,Coahuayutla de José María Izazaga,24,145.9,1.5
12017,Guerrero,Cocula,16,108.8,1.1
12018,Guerrero,Copala,31,220.0,2.2
12019,Guerrero,Copalillo,18,124.5,1.2
12020,Guerrero,Copanatoyac,30,159.1,1.6
12021,Guerrero,Coyuca de Benítez,256,326.7,3.3
12022,Guerrero,Coyuca de Catalán,84,197.3,2.0
12023,Guerrero,Cuajinicuilapa,88,316.3,3.2
12024,Guerrero,Cualác,23,328.2,3.3
12025,Guerrero,Cuautepec,36,218.3,2.2
12026,Guerrero,Cuetzala del Progreso,7,76.4,0.8
12027,Guerrero,Cutzamala de Pinzón,31,144.9,1.4
12028,Guerrero,Chilapa de Álvarez,184,148.2,1.5
12029,Guerrero,Chilpancingo de los Bravo,860,270.2,2.7
12030,Guerrero,Florencio Villarreal,53,262.7,2.6
12031,Guerrero,General Canuto A. Neri,10,142.8,1.4
12032,Guerrero,General Heliodoro Castillo,32,84.7,0.8
12033,Guerrero,Huamuxtitlán,18,125.1,1.3
12034,Guerrero,Huitzuco de los Figueroa,54,139.2,1.4
12035,Guerrero,Iguala de la Independencia,572,397.5,4.0
12036,Guerrero,Igualapa,22,203.4,2.0
12037,Guerrero,Ixcateopan de Cuauhtémoc,13,196.9,2.0
12038,Guerrero,Zihuatanejo de Azueta,275,202.2,2.0
12039,Guerrero,Juan R. Escudero,88,348.9,3.5
12040,Guerrero,Leonardo Bravo,16,64.7,0.6
12041,Guerrero,Malinaltepec,45,145.3,1.5
12042,Guerrero,Mártir de Cuilapan,27,152.5,1.5
12043,Guerrero,Metlatónoc,25,131.7,1.3
12044,Guerrero,Mochitlán,17,123.1,1.2
12045,Guerrero,Olinalá,41,165.8,1.7
12046,Guerrero,Ometepec,125,194.1,1.9
12047,Guerrero,Pedro Ascencio Alquisiras,9,129.0,1.3
12048,Guerrero,Petatlán,162,349.1,3.5
12049,Guerrero,Pilcaya,12,103.8,1.0
12050,Guerrero,Pungarabato,71,189.0,1.9
12051,Guerrero,Quechultenango,41,118.1,1.2
12052,Guerrero,San Luis Acatlán,65,153.4,1.5
12053,Guerrero,San Marcos,135,272.2,2.7
12054,Guerrero,San Miguel Totolapan,42,150.0,1.5
12055,Guerrero,Taxco de Alarcón,143,137.4,1.4
12056,Guerrero,Tecoanapa,73,156.5,1.6
12057,Guerrero,Técpan de Galeana,82,125.7,1.3
12058,Guerrero,Teloloapan,89,154.4,1.5
12059,Guerrero,Tepecoacuilco de Trujano,52,160.8,1.6
12060,Guerrero,Tetipac,15,114.3,1.1
12061,Guerrero,Tixtla de Guerrero,59,139.8,1.4
12062,Guerrero,Tlacoachistlahuaca,28,126.7,1.3
12063,Guerrero,Tlacoapa,22,220.7,2.2
12064,Guerrero,Tlalchapa,24,208.8,2.1
12065,Guerrero,Tlalixtaquilla de Maldonado,10,140.9,1.4
12066,Guerrero,Tlapa de Comonfort,126,152.3,1.5
12067,Guerrero,Tlapehuala,46,210.8,2.1
12068,Guerrero,La Unión de Isidoro Montes de Oca,78,299.5,3.0
12069,Guerrero,Xalpatláhuac,42,318.6,3.2
12070,Guerrero,Xochihuehuetlán,21,296.7,3.0
12071,Guerrero,Xochistlahuaca,41,146.0,1.5
12072,Guerrero,Zapotitlán Tablas,18,47.5,0.5
12073,Guerrero,Zirándaro,25,132.9,1.3
12074,Guerrero,Zitlala,32,141.7,1.4
12075,Guerrero,Eduardo Neri,50,108.3,1.1
12076,Guerrero,Acatepec,39,118.9,1.2
12077,Guerrero,Marquelia,29,209.1,2.1
12078,Guerrero,Cochoapa el grande,28,149.1,1.5
12079,Guerrero,José Joaquín de Herrera,32,204.1,2.0
12080,Guerrero,Juchitán,19,251.2,2.5
12081,Guerrero,Iliatenco,34,313.6,3.1
13001,Hidalgo,Acatlán,26,124.5,1.2
13002,Hidalgo,Acaxochitlán,68,157.7,1.6
13003,Hidalgo,Actopan,55,101.3,1.0
13004,Hidalgo,Agua Blanca de Iturbide,20,222.4,2.2
13005,Hidalgo,Ajacuba,23,129.0,1.3
13006,Hidalgo,Alfajayucan,18,84.8,0.8
13007,Hidalgo,Almoloya,29,256.8,2.6
13008,Hidalgo,Apan,64,150.4,1.5
13009,Hidalgo,El Arenal,24,132.4,1.3
13010,Hidalgo,Atitalaquia,45,159.8,1.6
13011,Hidalgo,Atlapexco,42,215.9,2.2
13012,Hidalgo,Atotonilco el Grande,33,118.8,1.2
13013,Hidalgo,Atotonilco de Tula,43,135.1,1.4
13014,Hidalgo,Calnali,35,194.6,1.9
13015,Hidalgo,Cardonal,23,124.8,1.2
13016,Hidalgo,Cuautepec de Hinojosa,42,73.4,0.7
13017,Hidalgo,Chapantongo,22,179.3,1.8
13018,Hidalgo,Chapulhuacán,36,156.2,1.6
13019,Hidalgo,Chilcuautla,23,120.4,1.2
13020,Hidalgo,Eloxochitlán,15,71.4,0.7
13021,Hidalgo,Emiliano Zapata,34,247.1,2.5
13022,Hidalgo,Epazoyucan,23,159.1,1.6
13023,Hidalgo,Francisco I. Madero,35,103.2,1.0
13024,Hidalgo,Huasca de Ocampo,18,104.8,1.0
13025,Hidalgo,Huautla,38,17.7,0.2
13026,Hidalgo,Huazalingo,28,211.3,2.1
13027,Hidalgo,Huehuetla,43,182.5,1.8
13028,Hidalgo,Huejutla de Reyes,191,155.4,1.6
13029,Hidalgo,Huichapan,45,99.4,1.0
13030,Hidalgo,Ixmiquilpan,70,78.7,0.8
13031,Hidalgo,Jacala de Ledezma,27,203.1,2.0
13032,Hidalgo,Jaltocán,26,237.8,2.4
13033,Hidalgo,Juárez Hidalgo,14,407.1,4.1
13034,Hidalgo,Lolotla,18,182.9,1.8
13035,Hidalgo,Metepec,16,140.0,1.4
13036,Hidalgo,San Agustín Metzquititlán,23,245.6,2.5
13037,Hidalgo,Metztitlán,26,120.2,1.2
