"POLICÍAS OPERATIVOS POR CADA 100 MIL Y POR CADA MIL HABITANTES A NIVEL MUNICIPAL, 2010",,,,,LEER NOTA
Clave,Estado,Municipio,Personal de seguridad pública total                (incluye policías y personal administrativo),Policías operativos por cada 100 mil habitantes (excluye personal administrativo),Policías operativos por cada mil habitantes (excluye personal administrativo)
20011,Oaxaca,Calihualá,16,"1,311.5",13.1
20012,Oaxaca,Candelaria Loxicha,17,172.4,1.7
20013,Oaxaca,Ciénega de Zimatlán,6,215.4,2.2
20014,Oaxaca,Ciudad Ixtepec,n. d.,n. d.,n. d.
20015,Oaxaca,Coatecas Altas,7,148.6,1.5
20016,Oaxaca,Coicoyán de las Flores,12,140.7,1.4
20017,Oaxaca,La Compañía,98,"2,967.9",29.7
20018,Oaxaca,Concepción Buenavista,9,"1,079.1",10.8
20019,Oaxaca,Concepción Pápalo,10,325.6,3.3
20020,Oaxaca,Constancia del Rosario,12,310.9,3.1
20021,Oaxaca,Cosolapa,18,115.9,1.2
20022,Oaxaca,Cosoltepec,17,"1,963.0",19.6
20023,Oaxaca,Cuilápam de Guerrero,30,162.8,1.6
20024,Oaxaca,Cuyamecalco Villa de Zaragoza,1,26.0,0.3
20025,Oaxaca,Chahuites,n. d.,n. d.,n. d.
20026,Oaxaca,Chalcatongo de Hidalgo,8,94.3,0.9
20027,Oaxaca,Chiquihuitlán de Benito Juárez,14,569.6,5.7
20028,Oaxaca,Heroica Ciudad de Ejutla de Crespo,16,81.3,0.8
20029,Oaxaca,Eloxochitlán de Flores Magón,20,469.2,4.7
20030,Oaxaca,El Espinal,21,252.7,2.5
20031,Oaxaca,Tamazulápam del Espíritu Santo,28,380.3,3.8
20032,Oaxaca,Fresnillo de Trujano,10,968.1,9.7
20033,Oaxaca,Guadalupe Etla,30,"1,233.0",12.3
20034,Oaxaca,Guadalupe de Ramírez,7,491.2,4.9
20035,Oaxaca,Guelatao de Juárez,18,"3,308.8",33.1
20036,Oaxaca,Guevea de Humboldt,7,132.5,1.3
20037,Oaxaca,Mesones Hidalgo,12,272.6,2.7
20038,Oaxaca,Villa Hidalgo,40,"1,893.9",18.9
20039,Oaxaca,Heroica Ciudad de Huajuapan de León,137,191.9,1.9
20040,Oaxaca,Huautepec,8,133.4,1.3
20041,Oaxaca,Huautla de Jiménez,24,80.0,0.8
20042,Oaxaca,Ixtlán de Juárez,30,390.9,3.9
20043,Oaxaca,Heroica Ciudad de Juchitán de Zaragoza,n. d.,n. d.,n. d.
20044,Oaxaca,Loma Bonita,72,149.3,1.5
20045,Oaxaca,Magdalena Apasco,30,398.8,4.0
20046,Oaxaca,Magdalena Jaltepec,12,362.2,3.6
20047,Oaxaca,Santa Magdalena Jicotlán,5,"5,376.3",53.8
20048,Oaxaca,Magdalena Mixtepec,12,920.2,9.2
20049,Oaxaca,Magdalena Ocotlán,23,"2,015.8",20.2
20050,Oaxaca,Magdalena Peñasco,10,264.7,2.6
20051,Oaxaca,Magdalena Teitipac,38,870.0,8.7
20052,Oaxaca,Magdalena Tequisistlán,n. d.,n. d.,n. d.
20053,Oaxaca,Magdalena Tlacotepec,12,982.8,9.8
20054,Oaxaca,Magdalena Zahuatlán,10,"2,445.0",24.4
20055,Oaxaca,Mariscala de Juárez,12,339.9,3.4
20056,Oaxaca,Mártires de Tacubaya,8,551.3,5.5
20057,Oaxaca,Matías Romero Avendaño,102,268.3,2.7
20058,Oaxaca,Mazatlán Villa de Flores,3,22.3,0.2
20059,Oaxaca,Miahuatlán de Porfirio Díaz,n. d.,n. d.,n. d.
20060,Oaxaca,Mixistlán de la Reforma,16,577.6,5.8
20061,Oaxaca,Monjas,17,662.0,6.6
20062,Oaxaca,Natividad,12,"2,047.8",20.5
20063,Oaxaca,Nazareno Etla,12,309.1,3.1
20064,Oaxaca,Nejapa de Madero,12,162.4,1.6
20065,Oaxaca,Ixpantepec Nieves,24,"2,030.5",20.3
20066,Oaxaca,Santiago Niltepec,n. d.,n. d.,n. d.
20067,Oaxaca,Oaxaca de Juárez,"1,095",364.1,3.6
20068,Oaxaca,Ocotlán de Morelos,170,796.6,8.0
20069,Oaxaca,La Pe,22,899.4,9.0
20070,Oaxaca,Pinotepa de Don Luis,n. d.,n. d.,n. d.
20071,Oaxaca,Pluma Hidalgo,5,163.4,1.6
20072,Oaxaca,San José del Progreso,n. d.,n. d.,n. d.
20073,Oaxaca,Putla Villa de Guerrero,364,"1,141.2",11.4
20074,Oaxaca,Santa Catarina Quioquitani,8,"1,584.2",15.8
20075,Oaxaca,Reforma de Pineda,15,561.6,5.6
20076,Oaxaca,La Reforma,3,90.1,0.9
20077,Oaxaca,Reyes Etla,36,"1,009.0",10.1
20078,Oaxaca,Rojas de Cuauhtémoc,70,"6,410.3",64.1
20079,Oaxaca,Salina Cruz,210,246.4,2.5
20080,Oaxaca,San Agustín Amatengo,8,609.8,6.1
20081,Oaxaca,San Agustín Atenango,n. d.,n. d.,n. d.
20082,Oaxaca,San Agustín Chayuco,12,303.6,3.0
20083,Oaxaca,San Agustín de las Juntas,n. d.,n. d.,n. d.
20084,Oaxaca,San Agustín Etla,203,"5,214.5",52.1
20085,Oaxaca,San Agustín Loxicha,5,22.2,0.2
20086,Oaxaca,San Agustín Tlacotepec,5,572.1,5.7
20087,Oaxaca,San Agustín Yatareni,32,785.3,7.9
20088,Oaxaca,San Andrés Cabecera Nueva,9,315.7,3.2
20089,Oaxaca,San Andrés Dinicuiti,6,278.8,2.8
20090,Oaxaca,San Andrés Huaxpaltepec,8,136.4,1.4
20091,Oaxaca,San Andrés Huayápam,160,"3,279.4",32.8
20092,Oaxaca,San Andrés Ixtlahuaca,60,"4,169.6",41.7
20093,Oaxaca,San Andrés Lagunas,6,"1,188.1",11.9
20094,Oaxaca,San Andrés Nuxiño,56,"2,950.5",29.5
20095,Oaxaca,San Andrés Paxtlán,44,"1,102.8",11.0
20096,Oaxaca,San Andrés Sinaxtla,11,"1,424.9",14.2
20097,Oaxaca,San Andrés Solaga,18,"1,034.5",10.3
20098,Oaxaca,San Andrés Teotilálpam,12,271.1,2.7
20099,Oaxaca,San Andrés Tepetlapa,6,"1,263.2",12.6
20100,Oaxaca,San Andrés Yaá,10,"2,012.1",20.1
20101,Oaxaca,San Andrés Zabache,2,275.5,2.8
20102,Oaxaca,San Andrés Zautla,24,544.8,5.4
20103,Oaxaca,San Antonino Castillo Velasco,20,353.9,3.5
20104,Oaxaca,San Antonino el Alto,28,"1,116.4",11.2
20105,Oaxaca,San Antonino Monte Verde,12,180.5,1.8
20106,Oaxaca,San Antonio Acutla,n. d.,n. d.,n. d.
20107,Oaxaca,San Antonio de la Cal,170,792.3,7.9
20108,Oaxaca,San Antonio Huitepec,6,139.9,1.4
20109,Oaxaca,San Antonio Nanahuatípam,8,648.8,6.5
20110,Oaxaca,San Antonio Sinicahua,4,249.5,2.5
20111,Oaxaca,San Antonio Tepetlapa,13,295.9,3.0
20112,Oaxaca,San Baltazar Chichicápam,16,615.0,6.2
20113,Oaxaca,San Baltazar Loxicha,67,"2,365.8",23.7
20114,Oaxaca,San Baltazar Yatzachi el Bajo,13,"1,772.5",17.7
20115,Oaxaca,San Bartolo Coyotepec,120,"1,381.9",13.8
20116,Oaxaca,San Bartolomé Ayautla,12,296.2,3.0
20117,Oaxaca,San Bartolomé Loxicha,40,"1,651.5",16.5
20118,Oaxaca,San Bartolomé Quialana,13,485.8,4.9
20119,Oaxaca,San Bartolomé Yucuañe,n. d.,n. d.,n. d.
20120,Oaxaca,San Bartolomé Zoogocho,n. d.,n. d.,n. d.
20121,Oaxaca,San Bartolo Soyaltepec,5,763.4,7.6
20122,Oaxaca,San Bartolo Yautepec,12,"1,772.5",17.7
20123,Oaxaca,San Bernardo Mixtepec,28,"1,035.1",10.4
20124,Oaxaca,San Blas Atempa,33,193.1,1.9
20125,Oaxaca,San Carlos Yautepec,n. d.,n. d.,n. d.
20126,Oaxaca,San Cristóbal Amatlán,25,497.6,5.0
20127,Oaxaca,San Cristóbal Amoltepec,6,467.7,4.7
20128,Oaxaca,San Cristóbal Lachirioag,16,"1,300.8",13.0
20129,Oaxaca,San Cristóbal Suchixtlahuaca,4,"1,197.6",12.0
20130,Oaxaca,San Dionisio del Mar,n. d.,n. d.,n. d.
20131,Oaxaca,San Dionisio Ocotepec,12,114.3,1.1
20132,Oaxaca,San Dionisio Ocotlán,41,"3,293.2",32.9
20133,Oaxaca,San Esteban Atatlahuca,24,603.9,6.0
20134,Oaxaca,San Felipe Jalapa de Díaz,22,82.0,0.8
20135,Oaxaca,San Felipe Tejalápam,100,"1,391.4",13.9
20136,Oaxaca,San Felipe Usila,12,103.7,1.0
20137,Oaxaca,San Francisco Cahuacuá,12,291.8,2.9
20138,Oaxaca,San Francisco Cajonos,10,"2,173.9",21.7
20139,Oaxaca,San Francisco Chapulapa,16,749.1,7.5
20140,Oaxaca,San Francisco Chindúa,n. d.,n. d.,n. d.
20141,Oaxaca,San Francisco del Mar,11,152.1,1.5
20142,Oaxaca,San Francisco Huehuetlán,2,172.4,1.7
20143,Oaxaca,San Francisco Ixhuatán,37,413.0,4.1
20144,Oaxaca,San Francisco Jaltepetongo,5,450.5,4.5
20145,Oaxaca,San Francisco Lachigoló,84,"2,418.0",24.2
20146,Oaxaca,San Francisco Logueche,19,712.7,7.1
20147,Oaxaca,San Francisco Nuxaño,13,"3,439.2",34.4
20148,Oaxaca,San Francisco Ozolotepec,11,565.6,5.7
20149,Oaxaca,San Francisco Sola,37,"2,452.0",24.5
20150,Oaxaca,San Francisco Telixtlahuaca,22,185.0,1.8
20151,Oaxaca,San Francisco Teopan,8,"2,030.5",20.3
20152,Oaxaca,San Francisco Tlapancingo,15,697.0,7.0
20153,Oaxaca,San Gabriel Mixtepec,10,211.3,2.1
20154,Oaxaca,San Ildefonso Amatlán,24,"1,002.9",10.0
20155,Oaxaca,San Ildefonso Sola,42,"4,468.1",44.7
20156,Oaxaca,San Ildefonso Villa Alta,43,"1,207.6",12.1
20157,Oaxaca,San Jacinto Amilpas,25,180.4,1.8
20158,Oaxaca,San Jacinto Tlacotepec,50,"2,241.1",22.4
20159,Oaxaca,San Jerónimo Coatlán,39,715.7,7.2
20160,Oaxaca,San Jerónimo Silacayoapilla,10,690.1,6.9
20161,Oaxaca,San Jerónimo Sosola,8,312.6,3.1
20162,Oaxaca,San Jerónimo Taviche,16,865.8,8.7
20163,Oaxaca,San Jerónimo Tecóatl,11,684.9,6.8
20164,Oaxaca,San Jorge Nuchita,16,497.7,5.0
20165,Oaxaca,San José Ayuquila,6,397.1,4.0
20166,Oaxaca,San José Chiltepec,16,145.2,1.5
20167,Oaxaca,San José del Peñasco,10,477.6,4.8
20168,Oaxaca,San José Estancia Grande,4,409.4,4.1
20169,Oaxaca,San José Independencia,12,298.6,3.0
20170,Oaxaca,San José Lachiguiri,87,"2,260.3",22.6
20171,Oaxaca,San José Tenango,15,81.2,0.8
20172,Oaxaca,San Juan Achiutla,8,"1,860.5",18.6
20173,Oaxaca,San Juan Atepec,18,"1,186.6",11.9
20174,Oaxaca,Ánimas Trujano,15,399.0,4.0
20175,Oaxaca,San Juan Bautista Atatlahuca,20,"1,160.1",11.6
20176,Oaxaca,San Juan Bautista Coixtlahuaca,4,142.5,1.4
20177,Oaxaca,San Juan Bautista Cuicatlán,16,169.5,1.7
20178,Oaxaca,San Juan Bautista Guelache,50,795.3,8.0
20179,Oaxaca,San Juan Bautista Jayacatlán,40,"2,736.0",27.4
20180,Oaxaca,San Juan Bautista Lo de Soto,n. d.,n. d.,n. d.
20181,Oaxaca,San Juan Bautista Suchitepec,6,"1,438.8",14.4
20182,Oaxaca,San Juan Bautista Tlacoatzintepec,10,436.3,4.4
20183,Oaxaca,San Juan Bautista Tlachichilco,12,829.3,8.3
20184,Oaxaca,San Juan Bautista Tuxtepec,210,105.3,1.1
20185,Oaxaca,San Juan Cacahuatepec,12,138.2,1.4
20186,Oaxaca,San Juan Cieneguilla,10,"1,652.9",16.5
20187,Oaxaca,San Juan Coatzóspam,12,473.4,4.7
20188,Oaxaca,San Juan Colorado,15,158.0,1.6
20189,Oaxaca,San Juan Comaltepec,10,397.3,4.0
20190,Oaxaca,San Juan Cotzocón,30,134.2,1.3
20191,Oaxaca,San Juan Chicomezúchil,7,"2,187.5",21.9
20192,Oaxaca,San Juan Chilateca,44,"3,051.3",30.5
20193,Oaxaca,San Juan del Estado,32,"1,256.9",12.6
20194,Oaxaca,San Juan del Río,21,"1,624.7",16.2
20195,Oaxaca,San Juan Diuxi,10,796.2,8.0
20196,Oaxaca,San Juan Evangelista Analco,6,"1,485.1",14.9
20197,Oaxaca,San Juan Guelavía,6,196.9,2.0
20198,Oaxaca,San Juan Guichicovi,40,142.1,1.4
20199,Oaxaca,San Juan Ihualtepec,n. d.,n. d.,n. d.
20200,Oaxaca,San Juan Juquila Mixes,43,"1,095.8",11.0
20201,Oaxaca,San Juan Juquila Vijanos,7,382.1,3.8
20202,Oaxaca,San Juan Lachao,114,"2,449.8",24.5
20203,Oaxaca,San Juan Lachigalla,13,395.7,4.0
20204,Oaxaca,San Juan Lajarcia,n. d.,n. d.,n. d.
20205,Oaxaca,San Juan Lalana,444,"2,552.0",25.5
20206,Oaxaca,San Juan de los Cués,8,339.4,3.4
20207,Oaxaca,San Juan Mazatlán,14,81.9,0.8
20208,Oaxaca,San Juan Mixtepec -Dto. 08 -,3,39.4,0.4
20209,Oaxaca,San Juan Mixtepec -Dto. 26 -,5,703.2,7.0
20210,Oaxaca,San Juan Ñumí,6,90.0,0.9
20211,Oaxaca,San Juan Ozolotepec,18,568.2,5.7
20212,Oaxaca,San Juan Petlapa,13,463.1,4.6
20213,Oaxaca,San Juan Quiahije,211,"5,815.9",58.2
20214,Oaxaca,San Juan Quiotepec,13,562.0,5.6
20215,Oaxaca,San Juan Sayultepec,10,"1,308.9",13.1
20216,Oaxaca,San Juan Tabaá,8,601.1,6.0
20217,Oaxaca,San Juan Tamazola,21,609.4,6.1
20218,Oaxaca,San Juan Teita,7,"1,153.2",11.5
20219,Oaxaca,San Juan Teitipac,11,428.8,4.3
20220,Oaxaca,San Juan Tepeuxila,17,613.1,6.1
20221,Oaxaca,San Juan Teposcolula,n. d.,n. d.,n. d.
20222,Oaxaca,San Juan Yaeé,21,"1,372.5",13.7
20223,Oaxaca,San Juan Yatzona,14,"3,097.3",31.0
20224,Oaxaca,San Juan Yucuita,4,584.8,5.8
20225,Oaxaca,San Lorenzo,10,167.9,1.7
20226,Oaxaca,San Lorenzo Albarradas,11,406.2,4.1
20227,Oaxaca,San Lorenzo Cacaotepec,80,583.8,5.8
20228,Oaxaca,San Lorenzo Cuaunecuiltitla,12,"1,556.4",15.6
20229,Oaxaca,San Lorenzo Texmelúcan,100,"1,418.8",14.2
20230,Oaxaca,San Lorenzo Victoria,12,"1,191.7",11.9
20231,Oaxaca,San Lucas Camotlán,30,991.4,9.9
20232,Oaxaca,San Lucas Ojitlán,35,153.4,1.5
20233,Oaxaca,San Lucas Quiaviní,14,802.3,8.0
20234,Oaxaca,San Lucas Zoquiápam,12,158.9,1.6
20235,Oaxaca,San Luis Amatlán,12,331.1,3.3
20236,Oaxaca,San Marcial Ozolotepec,28,"1,836.1",18.4
20237,Oaxaca,San Marcos Arteaga,7,449.6,4.5
20238,Oaxaca,San Martín de los Cansecos,1,122.5,1.2
20239,Oaxaca,San Martín Huamelúlpam,9,835.7,8.4
20240,Oaxaca,San Martín Itunyoso,7,284.6,2.8
20241,Oaxaca,San Martín Lachilá,18,"1,660.5",16.6
20242,Oaxaca,San Martín Peras,8,70.4,0.7
20243,Oaxaca,San Martín Tilcajete,44,"2,525.8",25.3
20244,Oaxaca,San Martín Toxpalan,14,381.6,3.8
20245,Oaxaca,San Martín Zacatepec,12,939.7,9.4
20246,Oaxaca,San Mateo Cajonos,24,"3,871.0",38.7
20247,Oaxaca,Capulálpam de Méndez,17,"1,158.8",11.6
20248,Oaxaca,San Mateo del Mar,12,84.2,0.8
20249,Oaxaca,San Mateo Yoloxochitlán,17,489.2,4.9
20250,Oaxaca,San Mateo Etlatongo,21,"1,778.2",17.8
20251,Oaxaca,San Mateo Nejápam,10,847.5,8.5
20252,Oaxaca,San Mateo Peñasco,15,567.1,5.7
20253,Oaxaca,San Mateo Piñas,12,539.1,5.4
20254,Oaxaca,San Mateo Río Hondo,7,211.6,2.1
20255,Oaxaca,San Mateo Sindihui,12,575.3,5.8
20256,Oaxaca,San Mateo Tlapiltepec,9,"3,846.2",38.5
20257,Oaxaca,San Melchor Betaza,12,"1,099.9",11.0
20258,Oaxaca,San Miguel Achiutla,16,"2,150.5",21.5
20259,Oaxaca,San Miguel Ahuehuetitlán,12,486.8,4.9
20260,Oaxaca,San Miguel Aloápam,12,482.3,4.8
20261,Oaxaca,San Miguel Amatitlán,13,179.5,1.8
20262,Oaxaca,San Miguel Amatlán,12,"1,150.5",11.5
20263,Oaxaca,San Miguel Coatlán,12,344.5,3.4
20264,Oaxaca,San Miguel Chicahua,9,395.8,4.0
20265,Oaxaca,San Miguel Chimalapa,17,257.3,2.6
20266,Oaxaca,San Miguel del Puerto,60,707.5,7.1
20267,Oaxaca,San Miguel del Río,8,"2,721.1",27.2
20268,Oaxaca,San Miguel Ejutla,11,"1,200.9",12.0
20269,Oaxaca,San Miguel el Grande,10,242.3,2.4
20270,Oaxaca,San Miguel Huautla,10,714.8,7.1
20271,Oaxaca,San Miguel Mixtepec,17,523.9,5.2
20272,Oaxaca,San Miguel Panixtlahuaca,79,"1,282.3",12.8
20273,Oaxaca,San Miguel Peras,6,171.6,1.7
20274,Oaxaca,San Miguel Piedras,32,"2,469.1",24.7
20275,Oaxaca,San Miguel Quetzaltepec,58,795.3,8.0
20276,Oaxaca,San Miguel Santa Flor,7,873.9,8.7
20277,Oaxaca,Villa Sola de Vega,2,16.0,0.2
20278,Oaxaca,San Miguel Soyaltepec,23,60.2,0.6
20279,Oaxaca,San Miguel Suchixtepec,12,412.2,4.1
20280,Oaxaca,Villa Talea de Castro,22,292.4,2.9
20281,Oaxaca,San Miguel Tecomatlán,6,"1,948.1",19.5
20282,Oaxaca,San Miguel Tenango,4,503.8,5.0
20283,Oaxaca,San Miguel Tequixtepec,5,479.8,4.8
20284,Oaxaca,San Miguel Tilquiápam,4,126.6,1.3
20285,Oaxaca,San Miguel Tlacamama,11,324.9,3.2
20286,Oaxaca,San Miguel Tlacotepec,10,310.6,3.1
20287,Oaxaca,San Miguel Tulancingo,7,"2,023.1",20.2
20288,Oaxaca,San Miguel Yotao,12,"1,964.0",19.6
20289,Oaxaca,San Nicolás,22,"1,924.8",19.2
20290,Oaxaca,San Nicolás Hidalgo,10,988.1,9.9
20291,Oaxaca,San Pablo Coatlán,4,96.0,1.0
20292,Oaxaca,San Pablo Cuatro Venados,24,"1,729.1",17.3
20293,Oaxaca,San Pablo Etla,12,77.2,0.8
20294,Oaxaca,San Pablo Huitzo,40,634.2,6.3
20295,Oaxaca,San Pablo Huixtepec,25,277.0,2.8
20296,Oaxaca,San Pablo Macuiltianguis,8,861.1,8.6
20297,Oaxaca,San Pablo Tijaltepec,10,465.1,4.7
20298,Oaxaca,San Pablo Villa de Mitla,13,109.9,1.1
20299,Oaxaca,San Pablo Yaganiza,25,"2,256.3",22.6
20300,Oaxaca,San Pedro Amuzgos,16,247.4,2.5
20301,Oaxaca,San Pedro Apóstol,12,777.2,7.8
20302,Oaxaca,San Pedro Atoyac,9,217.6,2.2
20303,Oaxaca,San Pedro Cajonos,8,682.6,6.8
20304,Oaxaca,San Pedro Coxcaltepec Cántaros,3,352.5,3.5
20305,Oaxaca,San Pedro Comitancillo,10,253.5,2.5
20306,Oaxaca,San Pedro el Alto,13,333.1,3.3
20307,Oaxaca,San Pedro Huamelula,12,125.1,1.3
20308,Oaxaca,San Pedro Huilotepec,14,493.1,4.9
20309,Oaxaca,San Pedro Ixcatlán,26,250.7,2.5
20310,Oaxaca,San Pedro Ixtlahuaca,20,293.2,2.9
20311,Oaxaca,San Pedro Jaltepetongo,6,"1,310.0",13.1
20312,Oaxaca,San Pedro Jicayán,20,173.1,1.7
20313,Oaxaca,San Pedro Jocotipac,9,"1,079.1",10.8
20314,Oaxaca,San Pedro Juchatengo,29,"1,712.9",17.1
20315,Oaxaca,San Pedro Mártir,8,467.6,4.7
20316,Oaxaca,San Pedro Mártir Quiechapa,10,"1,328.0",13.3
20317,Oaxaca,San Pedro Mártir Yucuxaco,12,854.1,8.5
20318,Oaxaca,San Pedro Mixtepec -Dto. 22 -,n. d.,n. d.,n. d.
20319,Oaxaca,San Pedro Mixtepec -Dto. 26 -,14,"1,273.9",12.7
20320,Oaxaca,San Pedro Molinos,5,691.6,6.9
20321,Oaxaca,San Pedro Nopala,9,"1,071.4",10.7
20322,Oaxaca,San Pedro Ocopetatillo,16,"1,810.0",18.1
20323,Oaxaca,San Pedro Ocotepec,5,234.2,2.3
20324,Oaxaca,San Pedro Pochutla,45,102.6,1.0
20325,Oaxaca,San Pedro Quiatoni,47,448.0,4.5
20326,Oaxaca,San Pedro Sochiápam,17,342.9,3.4
20327,Oaxaca,San Pedro Tapanatepec,n. d.,n. d.,n. d.
20328,Oaxaca,San Pedro Taviche,20,"1,705.0",17.1
20329,Oaxaca,San Pedro Teozacoalco,22,"1,666.7",16.7
20330,Oaxaca,San Pedro Teutila,4,93.5,0.9
20331,Oaxaca,San Pedro Tidaá,14,"1,566.0",15.7
20332,Oaxaca,San Pedro Topiltepec,10,"2,463.1",24.6
20333,Oaxaca,San Pedro Totolápam,8,268.9,2.7
20334,Oaxaca,Villa de Tututepec de Melchor Ocampo,n. d.,n. d.,n. d.
20335,Oaxaca,San Pedro Yaneri,6,598.8,6.0
20336,Oaxaca,San Pedro Yólox,12,529.3,5.3
20337,Oaxaca,San Pedro y San Pablo Ayutla,n. d.,n. d.,n. d.
20338,Oaxaca,Villa de Etla,16,172.4,1.7
20339,Oaxaca,San Pedro y San Pablo Teposcolula,n. d.,n. d.,n. d.
20340,Oaxaca,San Pedro y San Pablo Tequixtepec,4,213.0,2.1
20341,Oaxaca,San Pedro Yucunama,3,"1,293.1",12.9
20342,Oaxaca,San Raymundo Jalpan,10,481.0,4.8
20343,Oaxaca,San Sebastián Abasolo,38,"2,055.2",20.6
20344,Oaxaca,San Sebastián Coatlán,86,"3,291.2",32.9
20345,Oaxaca,San Sebastián Ixcapa,n. d.,n. d.,n. d.
20346,Oaxaca,San Sebastián Nicananduta,6,414.1,4.1
20347,Oaxaca,San Sebastián Río Hondo,44,"1,200.9",12.0
20348,Oaxaca,San Sebastián Tecomaxtlahuaca,48,582.1,5.8
20349,Oaxaca,San Sebastián Teitipac,16,809.7,8.1
20350,Oaxaca,San Sebastián Tutla,61,375.6,3.8
20351,Oaxaca,San Simón Almolongas,34,"1,296.2",13.0
20352,Oaxaca,San Simón Zahuatlán,5,130.4,1.3
20353,Oaxaca,Santa Ana,24,"1,213.3",12.1
20354,Oaxaca,Santa Ana Ateixtlahuaca,6,"1,176.5",11.8
20355,Oaxaca,Santa Ana Cuauhtémoc,22,"2,981.0",29.8
20356,Oaxaca,Santa Ana del Valle,60,"3,010.5",30.1
20357,Oaxaca,Santa Ana Tavela,9,991.2,9.9
20358,Oaxaca,Santa Ana Tlapacoyan,26,"1,402.4",14.0
20359,Oaxaca,Santa Ana Yareni,11,"1,359.7",13.6
20360,Oaxaca,Santa Ana Zegache,14,389.8,3.9
20361,Oaxaca,Santa Catalina Quierí,23,"2,494.6",24.9
20362,Oaxaca,Santa Catarina Cuixtla,35,"2,339.6",23.4
20363,Oaxaca,Santa Catarina Ixtepeji,13,493.7,4.9
20364,Oaxaca,Santa Catarina Juquila,57,387.5,3.9
20365,Oaxaca,Santa Catarina Lachatao,10,765.1,7.7
20366,Oaxaca,Santa Catarina Loxicha,55,"1,354.7",13.5
20367,Oaxaca,Santa Catarina Mechoacán,20,440.2,4.4
20368,Oaxaca,Santa Catarina Minas,18,991.2,9.9
20369,Oaxaca,Santa Catarina Quiané,5,270.7,2.7
20370,Oaxaca,Santa Catarina Tayata,n. d.,n. d.,n. d.
20371,Oaxaca,Santa Catarina Ticuá,7,733.8,7.3
20372,Oaxaca,Santa Catarina Yosonotú,n. d.,n. d.,n. d.
20373,Oaxaca,Santa Catarina Zapoquila,6,"1,339.3",13.4
20374,Oaxaca,Santa Cruz Acatepec,5,340.1,3.4
20375,Oaxaca,Santa Cruz Amilpas,n. d.,n. d.,n. d.
20376,Oaxaca,Santa Cruz de Bravo,10,"2,747.3",27.5
20377,Oaxaca,Santa Cruz Itundujia,15,118.5,1.2
20378,Oaxaca,Santa Cruz Mixtepec,20,553.3,5.5
20379,Oaxaca,Santa Cruz Nundaco,25,845.2,8.5
20380,Oaxaca,Santa Cruz Papalutla,110,"5,578.1",55.8
20381,Oaxaca,Santa Cruz Tacache de Mina,19,729.1,7.3
20382,Oaxaca,Santa Cruz Tacahua,7,598.3,6.0
20383,Oaxaca,Santa Cruz Tayata,12,"1,973.7",19.7
20384,Oaxaca,Santa Cruz Xitla,30,664.6,6.6
20385,Oaxaca,Santa Cruz Xoxocotlán,80,102.8,1.0
20386,Oaxaca,Santa Cruz Zenzontepec,19,106.2,1.1
20387,Oaxaca,Santa Gertrudis,20,664.8,6.6
20388,Oaxaca,Santa Inés del Monte,30,"1,183.4",11.8
20389,Oaxaca,Santa Inés Yatzeche,12,"1,302.9",13.0
20390,Oaxaca,Santa Lucía del Camino,109,230.2,2.3
20391,Oaxaca,Santa Lucía Miahuatlán,42,"1,251.5",12.5
20392,Oaxaca,Santa Lucía Monteverde,44,658.9,6.6
20393,Oaxaca,Santa Lucía Ocotlán,13,360.7,3.6
20394,Oaxaca,Santa María Alotepec,10,360.0,3.6
20395,Oaxaca,Santa María Apazco,7,368.8,3.7
20396,Oaxaca,Santa María la Asunción,10,246.0,2.5
20397,Oaxaca,Heroica Ciudad de Tlaxiaco,45,114.4,1.1
20398,Oaxaca,Ayoquezco de Aldama,10,227.0,2.3
20399,Oaxaca,Santa María Atzompa,14,51.0,0.5
20400,Oaxaca,Santa María Camotlán,5,306.4,3.1
20401,Oaxaca,Santa María Colotepec,33,137.4,1.4
20402,Oaxaca,Santa María Cortijo,8,738.7,7.4
20403,Oaxaca,Santa María Coyotepec,48,"1,731.6",17.3
20404,Oaxaca,Santa María Chachoápam,4,522.2,5.2
20405,Oaxaca,Villa de Chilapa de Díaz,10,517.6,5.2
20406,Oaxaca,Santa María Chilchotla,30,145.7,1.5
20407,Oaxaca,Santa María Chimalapa,12,141.1,1.4
20408,Oaxaca,Santa María del Rosario,12,"2,500.0",25.0
20409,Oaxaca,Santa María del Tule,22,269.4,2.7
20410,Oaxaca,Santa María Ecatepec,88,"2,542.6",25.4
20411,Oaxaca,Santa María Guelacé,50,"6,127.5",61.3
20412,Oaxaca,Santa María Guienagati,16,486.9,4.9
20413,Oaxaca,Santa María Huatulco,104,248.5,2.5
20414,Oaxaca,Santa María Huazolotitlán,17,157.5,1.6
20415,Oaxaca,Santa María Ipalapa,2,40.9,0.4
20416,Oaxaca,Santa María Ixcatlán,12,"2,325.6",23.3
20417,Oaxaca,Santa María Jacatepec,10,97.4,1.0
20418,Oaxaca,Santa María Jalapa del Marqués,n. d.,n. d.,n. d.
20419,Oaxaca,Santa María Jaltianguis,5,869.6,8.7
20420,Oaxaca,Santa María Lachixío,172,"10,238.1",102.4
20421,Oaxaca,Santa María Mixtequilla,n. d.,n. d.,n. d.
20422,Oaxaca,Santa María Nativitas,n. d.,n. d.,n. d.
20423,Oaxaca,Santa María Nduayaco,3,545.5,5.5
20424,Oaxaca,Santa María Ozolotepec,1,25.1,0.3
