"UNIDADES CENSALES, SEGÚN TIPO DE UNIDAD, POR ENTIDAD Y MUNICIPIO",,,,,,,CUADRO 1,
,,,,,,,,
ENTIDAD Y  MUNICIPIO ,, UNIDADES DE PRODUCCIÓN,,,, VIVIENDAS CON              ACTIVIDAD AGROPECUARIA, EJIDOS Y COMUNIDADES AGRARIAS,
,,RURALES ,,,URBANAS,,,
,, TOTAL, CON ACTIVIDAD AGROPECUARIA  O FORESTAL,SIN ACTIVIDAD AGROPECUARIA Y FORESTAL,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,GUADALUPE Y CALVO, 3 372, 3 313,  59,  10,  652,  36,
,GUAZAPARES, 1 995, 1 984,  11,  10,  197,  13,
,GUERRERO, 5 087, 4 847,  240,  32, 1 195,  46,
,HIDALGO DEL PARRAL,  670,  598,  72,  7,  868,  12,
,HUEJOTITAN,  375,  350,  25,  9,  22,  8,
,IGNACIO ZARAGOZA, 1 758, 1 741,  17,  10,  106,  4,
,JANOS, 2 208, 1 975,  233,  10,  140,  12,
,JIMENEZ, 1 413, 1 177,  236,  7,  804,  52,
,JUAREZ, 1 248,  978,  270,  64, 1 510,  13,
,JULIMES,  931,  821,  110,  14,  321,  5,
,LOPEZ,  782,  745,  37,*,  136,  13,
,MADERA, 2 989, 2 842,  147,  183, 1 221,  20,
,MAGUARICHI,  215,  212,  3,  10,  23,  5,
,MANUEL BENAVIDES,  482,  472,  10,  13,  108,  14,
,MATACHI,  451,  444,  7,  36,  202,  5,
,MATAMOROS,  690,  674,  16,  11,  121,  8,
,MEOQUI, 2 192, 2 036,  156,  30, 2 037,  5,
,MORELOS, 1 108, 1 075,  33,-,  391,  20,
,MORIS,  721,  674,  47,-,  172,  9,
,NAMIQUIPA, 4 864, 4 682,  182,  121, 1 181,  14,
,NONOAVA,  447,  438,  9,  17,  119,*,
,NUEVO CASAS GRANDES,  521,  465,  56,  9,  408,*,
,OCAMPO, 1 008,  950,  58,  12,  281,  15,
,OJINAGA, 1 522, 1 234,  288,  5,  415,  32,
,PRAXEDIS G. GUERRERO,  797,  688,  109,-,  238,  5,
,RIVA PALACIO, 1 902, 1 790,  112,  3,  274,  10,
,ROSALES, 2 091, 1 887,  204,  11,  763,  12,
,ROSARIO,  736,  657,  79,-,  17,  7,
,SAN FRANCISCO DE BORJA,  699,  655,  44,  11,  69,  11,
,SAN FRANCISCO DE CONCHOS,  395,  359,  36,-,  212,  8,
,SAN FRANCISCO DEL ORO,  284,  278,  6,  15,  589,  6,
,SANTA BARBARA,  415,  388,  27,  13,  90,  6,
,SATEVO, 1 341, 1 269,  72,*,  74,  19,
,SAUCILLO, 1 509, 1 305,  204,  29, 1 032,  10,
,TEMOSACHI, 1 314, 1 281,  33,  29,  484,  14,
,"TULE, EL",  484,  470,  14,  21,  79,  5,
,URIQUE, 2 495, 2 489,  6,  8,  272,  24,
,URUACHI, 1 180, 1 155,  25,  4,  145,  15,
,VALLE DE ZARAGOZA, 1 006,  923,  83,  16,  244,  14,
DISTRITO FEDERAL,, 20 078, 17 351, 2 727, 1 466, 27 858,  43,
,AZCAPOTZALCO,-,-,-,  24,  9,-,
,COYOACAN,  3,  3,-,  22,  178,-,
,CUAJIMALPA DE MORELOS, 1 484, 1 097,  387,  41, 1 654,  3,
,GUSTAVO A. MADERO,  117,  90,  27,  18,  213,*,
,IZTACALCO,-,-,-,*,*,-,
,IZTAPALAPA,  15,  15,-,  108, 2 364,-,
