"UNIDADES CENSALES, SEGÚN TIPO DE UNIDAD, POR ENTIDAD Y MUNICIPIO",,,,,,,CUADRO 1,
,,,,,,,,
ENTIDAD Y  MUNICIPIO ,, UNIDADES DE PRODUCCIÓN,,,, VIVIENDAS CON              ACTIVIDAD AGROPECUARIA, EJIDOS Y COMUNIDADES AGRARIAS,
,,RURALES ,,,URBANAS,,,
,, TOTAL, CON ACTIVIDAD AGROPECUARIA  O FORESTAL,SIN ACTIVIDAD AGROPECUARIA Y FORESTAL,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,COENEO, 3 320, 1 953, 1 367,  7,  775,  35,
,CONTEPEC, 3 891, 3 053,  838,  27,  878,  32,
,COPANDARO,  955,  561,  394,  16,  415,  5,
,COTIJA, 1 428,  962,  466,  37, 1 983,  18,
,CUITZEO, 1 667, 1 204,  463,  53,  836,  9,
,CHARAPAN, 1 545, 1 000,  545,  21,  529,  3,
,CHARO, 2 654, 1 432, 1 222,  17,  637,  20,
,CHAVINDA,  945,  921,  24,  14,  655,  12,
,CHERAN, 1 210,  808,  402,  26,  398,*,
,CHILCHOTA, 1 994, 1 848,  146,  44, 1 346,  12,
,CHINICUILA,  830,  636,  194,-,  214,  9,
,CHUCANDIRO, 1 069,  856,  213,  4,  469,  15,
,CHURINTZIO, 1 308,  864,  444,  19,  694,  19,
,CHURUMUCO, 2 233, 2 058,  175,  25,  525,  21,
,ECUANDUREO, 1 653, 1 403,  250,  32, 1 144,  16,
,EPITACIO HUERTA, 2 857, 2 406,  451,-,  273,  17,
,ERONGARICUARO, 1 285,  974,  311,  3,  427,  12,
,GABRIEL ZAMORA, 1 196, 1 037,  159,  100, 1 083,  8,
,HIDALGO, 4 235, 3 147, 1 088,  32, 1 959,  28,
,"HUACANA, LA", 3 278, 2 589,  689,  71, 1 766,  61,
,HUANDACAREO,  589,  495,  94,  20,  699,  5,
,HUANIQUEO, 1 150,  864,  286,  16,  803,  17,
,HUETAMO, 3 946, 3 300,  646,  59, 1 376,  51,
,HUIRAMBA,  559,  478,  81,  6,  133,  5,
,INDAPARAPEO, 1 159, 1 004,  155,  4,  319,  13,
,IRIMBO, 1 141,  748,  393,  4,  473,  6,
,IXTLAN, 1 083,  952,  131,  11,  868,  13,
,JACONA,  411,  307,  104,  18, 1 043,  4,
,JIMENEZ, 1 673, 1 507,  166,  59, 1 194,  17,
,JIQUILPAN, 1 477, 1 027,  450,  44,  719,  11,
,JUAREZ,  754,  696,  58,*,  476,  7,
,JUNGAPEO, 1 711, 1 409,  302,  12,  615,  17,
,LAGUNILLAS,  456,  368,  88,  18,  275,  6,
,MADERO, 2 109, 1 547,  562,  6,  167,  14,
,MARAVATIO, 6 672, 5 291, 1 381,  5,  937,  32,
,MARCOS CASTELLANOS,  793,  460,  333,  21,  303,  12,
,LAZARO CARDENAS, 1 660, 1 470,  190,  91, 4 871,  19,
,MORELIA, 6 640, 5 361, 1 279,  96, 6 023,  80,
,MORELOS, 1 601, 1 214,  387,  11,  425,  11,
,MUGICA, 1 471, 1 228,  243,  84, 1 121,  5,
,NAHUATZEN, 1 731, 1 532,  199,  17,  470,  7,
,NOCUPETARO,  997,  787,  210,  6,  141,  13,
,NUEVO PARANGARICUTIRO,  673,  582,  91,  25,  426,  5,
,NUEVO URECHO, 1 096, 1 002,  94,*,  473,  10,
,NUMARAN, 1 145,  878,  267,  12,  466,  7,
,OCAMPO, 1 686, 1 532,  154,-,  425,  10,
,PAJACUARAN, 2 108, 1 956,  152,  39,  877,  10,
,PANINDICUARO, 2 051, 1 672,  379,  67, 1 261,  21,
,PARACUARO, 2 180, 1 506,  674,  55, 1 542,  22,
,PARACHO, 1 894, 1 275,  619,  17, 1 188,  9,
,PATZCUARO, 2 549, 2 024,  525,  46, 1 810,  27,
,PENJAMILLO, 2 946, 2 254,  692,  51,  795,  21,
,PERIBAN, 1 727, 1 324,  403,  12,  823,  8,
,"PIEDAD, LA", 2 366, 1 796,  570,  19,  668,  24,
,PUREPERO, 1 235,  911,  324,  84,  814,*,
,PURUANDIRO, 6 123, 5 784,  339,  74, 2 016,  40,
,QUERENDARO, 1 276, 1 105,  171,  17,  542,  9,
,QUIROGA, 1 207, 1 021,  186,  22,  732,  6,
,COJUMATLAN DE REGULES,  820,  691,  129,  8,  572,  9,
,"REYES, LOS", 2 217, 1 983,  234,  23, 1 396,  14,
,SAHUAYO, 1 193,  874,  319,  19,  609,  5,
,SAN LUCAS, 2 439, 1 809,  630,  28,  771,  25,
,SANTA ANA MAYA, 1 473,  853,  620,  68,  766,  8,
,SALVADOR ESCALANTE, 3 283, 2 700,  583,  40, 1 083,  34,
,SENGUIO, 2 076, 1 727,  349,  4,  602,  17,
,SUSUPUATO, 1 019,  950,  69,-,  262,  12,
,TACAMBARO, 4 539, 3 817,  722,  37, 1 299,  19,
,TANCITARO, 2 433, 2 017,  416,  9, 1 259,  11,
,TANGAMANDAPIO, 1 400, 1 148,  252,  8,  198,  10,
,TANGANCICUARO, 2 080, 1 745,  335,  43, 2 280,  21,
,TANHUATO, 1 755, 1 416,  339,  27,  409,  13,
,TARETAN, 1 014,  977,  37,  38,  827,  13,
,TARIMBARO, 2 703, 2 020,  683,  33, 1 380,  30,
,TEPALCATEPEC, 2 979, 2 634,  345,  31,  340,  34,
,TINGAMBATO, 1 221, 1 125,  96,  16,  375,  5,
,TINGUINDIN, 1 162,  946,  216,  10,  566,  8,
,TIQUICHEO DE NICOLAS ROMERO, 1 721, 1 390,  331,  14,  638,  20,
,TLALPUJAHUA, 5 208, 3 758, 1 450,  5,  499,  6,
,TLAZAZALCA, 1 227,  727,  500,  101,  935,  11,
,TOCUMBO, 1 359, 1 223,  136,  11,  714,  11,
,TUMBISCATIO, 1 258,  720,  538,  6,  233,  12,
,TURICATO, 3 675, 3 138,  537,  4,  825,  21,
,TUXPAN, 1 481, 1 291,  190,  11,  595,  16,
,TUZANTLA, 2 077, 1 743,  334,  3,  639,  27,
,TZINTZUNTZAN, 1 430, 1 088,  342,  8,  621,  7,
,TZITZIO, 1 485, 1 014,  471,  19,  285,  4,
,URUAPAN, 3 035, 2 775,  260,  173, 4 092,  26,
,VENUSTIANO CARRANZA, 2 075, 1 675,  400,  27,  491,  8,
,VILLAMAR, 2 149, 1 524,  625,  29,  945,  18,
,VISTA HERMOSA, 2 711, 2 529,  182,  25,  718,  6,
,YURECUARO, 1 264, 1 151,  113,  47,  811,  12,
,ZACAPU, 3 756, 2 798,  958,  27, 1 740,  21,
,ZAMORA, 2 520, 2 192,  328,  83, 3 016,  27,
,ZINAPARO,  638,  430,  208,  7,  302,  7,
,ZINAPECUARO, 3 643, 2 839,  804,  23, 1 791,  32,
,ZIRACUARETIRO, 1 294,  948,  346,  29,  587,  9,
,ZITACUARO, 7 202, 6 306,  896,  43, 1 242,  30,
,JOSE SIXTO VERDUZCO, 3 269, 3 079,  190,  35,  953,  19,
MORELOS,, 57 124, 44 795, 12 329, 2 944, 66 754,  239,
,AMACUZAC,  878,  790,  88,  54, 1 381,  4,
,ATLATLAHUCAN, 1 332,  906,  426,  13,  551,*,
,AXOCHIAPAN, 2 535, 2 289,  246,  33,  999,  8,
,AYALA, 3 819, 3 004,  815,  122, 2 763,  16,
,COATLAN DEL RIO, 1 065,  910,  155,  25,  512,  6,
,CUAUTLA, 2 652, 1 892,  760,  477, 8 171,  9,
,CUERNAVACA, 1 474, 1 197,  277,  247, 8 922,  11,
,EMILIANO ZAPATA,  833,  686,  147,  66, 1 928,  6,
,HUITZILAC,  858,  730,  128,  15,  384,*,
,JANTETELCO, 1 330, 1 204,  126,  33,  434,  7,
,JIUTEPEC,  794,  714,  80,  129, 4 027,  7,
,JOJUTLA, 1 993, 1 718,  275,  136, 3 381,  9,
,JONACATEPEC, 1 191,  880,  311,  46,  449,  4,
,MAZATEPEC,  748,  626,  122,  28,  605,  3,
,MIACATLAN, 2 461, 1 911,  550,  37, 1 077,  6,
,OCUITUCO, 2 282, 1 807,  475,  32,  358,  8,
,PUENTE DE IXTLA, 3 067, 2 146,  921,  180, 3 327,  9,
,TEMIXCO, 1 007,  961,  46,  226, 6 624,  8,
,TEPALCINGO, 2 582, 2 109,  473,  85, 1 338,  10,
,TEPOZTLAN, 1 999, 1 322,  677,  38, 1 390,  7,
,TETECALA,  562,  437,  125,  20,  414,  3,
,TETELA DEL VOLCAN, 2 702, 1 942,  760,  54,  433,  8,
,TLALNEPANTLA,  712,  676,  36,  7,  100,  3,
,TLALTIZAPAN, 3 187, 2 265,  922,  121, 3 023,  17,
,TLAQUILTENANGO, 2 607, 2 208,  399,  39,  921,  18,
,TLAYACAPAN, 1 683, 1 080,  603,  22,  498,  7,
,TOTOLAPAN, 1 248,  972,  276,  8,  153,  6,
,XOCHITEPEC, 1 694, 1 166,  528,  116, 2 515,  6,
,YAUTEPEC, 2 777, 2 006,  771,  189, 5 365,  10,
,YECAPIXTLA, 2 763, 2 207,  556,  47, 1 754,  10,
,ZACATEPEC,  663,  528,  135,  55, 2 470,  3,
,ZACUALPAN,  601,  530,  71,  181,  334,*,
,TEMOAC, 1 025,  976,  49,  63,  153,  4,
NAYARIT,, 66 146, 60 596, 5 550,  969, 36 932,  401,
,ACAPONETA, 3 285, 2 944,  341,  37, 1 414,  20,
,AHUACATLAN, 1 745, 1 614,  131,  36,  963,  9,
,AMATLAN DE CAÑAS, 1 540, 1 388,  152,  27,  662,  19,
,COMPOSTELA, 6 003, 5 374,  629,  82, 3 579,  31,
,HUAJICORI, 1 312, 1 292,  20,  17,  82,  9,
,IXTLAN DEL RIO, 1 166, 1 017,  149,  24,  824,  11,
,JALA, 2 136, 1 844,  292,  21,  787,  11,
,XALISCO, 2 276, 2 185,  91,  61, 1 612,  15,
,"NAYAR, EL", 3 854, 3 621,  233,  11,  227,  23,
,ROSAMORADA, 4 846, 4 410,  436,  41, 2 007,  33,
,RUIZ, 2 129, 1 983,  146,  71, 1 605,  11,
,SAN BLAS, 5 227, 4 809,  418,  45, 1 967,  35,
,SAN PEDRO LAGUNILLAS, 1 679, 1 597,  82,  18,  465,  9,
,SANTA MARIA DEL ORO, 2 776, 2 528,  248,  6,  553,  16,
,SANTIAGO IXCUINTLA, 9 817, 9 237,  580,  171, 7 163,  55,
,TECUALA, 5 318, 4 796,  522,  59, 2 783,  24,
,TEPIC, 4 828, 4 426,  402,  86, 5 553,  48,
,TUXPAN, 1 999, 1 795,  204,  93, 2 481,  5,
,"YESCA, LA", 1 369, 1 293,  76,-,  89,  4,
,BAHIA DE BANDERAS, 2 841, 2 443,  398,  63, 2 116,  13,
NUEVO LEON,, 54 877, 44 327, 10 550,  861, 27 112,  609,
,ABASOLO,  54,  32,  22,  9,  96,*,
,AGUALEGUAS,  831,  576,  255,  15,  262,  6,
,"ALDAMAS, LOS",  337,  316,  21,  7,  233,  3,
,ALLENDE, 1 923,  957,  966,  46, 1 669,*,
,ANAHUAC, 1 347, 1 206,  141,  14,  446,  13,
,APODACA,  535,  286,  249,  24,  302,*,
,ARAMBERRI, 2 667, 2 440,  227,  16,  320,  45,
,BUSTAMANTE,  317,  236,  81,  10,  233,*,
,CADEREYTA JIMENEZ, 4 191, 3 139, 1 052,  96, 1 703,  34,
,CARMEN,  285,  86,  199,  5,  149,*,
,CERRALVO, 1 690, 1 313,  377,  8,  337,*,
,CIENEGA DE FLORES,  319,  128,  191,  15,  314,*,
,CHINA, 1 161,  991,  170,  4,  579,  4,
,DOCTOR ARROYO, 6 942, 6 546,  396,  10,  500,  106,
,DOCTOR COSS,  520,  455,  65,  6,  179,-,
,DOCTOR GONZALEZ,  234,  198,  36,  4,  153,*,
,GALEANA, 6 964, 6 265,  699,  64, 1 171,  112,
,GARCIA,  847,  631,  216,  20,  631,  12,
,SAN PEDRO GARZA GARCIA,  30,  4,  26,*,  241,-,
,GENERAL BRAVO,  692,  607,  85,  10,  338,*,
,GENERAL ESCOBEDO,  560,  456,  104,  60, 1 090,  3,
,GENERAL TERAN, 1 763, 1 521,  242,  40, 1 352,  17,
,GENERAL TREVIÑO,  211,  166,  45,  4,  162,-,
,GENERAL ZARAGOZA,  956,  850,  106,  5,  207,  15,
,GENERAL ZUAZUA,  335,  237,  98,  16,  187,*,
,GUADALUPE,  86,  73,  13,  11, 1 729,*,
,"HERRERAS, LOS",  239,  193,  46,-,  102,-,
,HIGUERAS,  79,  65,  14,  10,  84,-,
,HUALAHUISES,  518,  422,  96,  8,  545,  5,
,ITURBIDE,  442,  384,  58,  13,  147,  12,
,JUAREZ, 1 201,  719,  482,  20, 1 098,  3,
,LAMPAZOS DE NARANJO,  410,  344,  66,  6,  209,  7,
,LINARES, 3 673, 3 316,  357,  23,  901,  67,
,MARIN,  170,  128,  42,  17,  296,*,
,MELCHOR OCAMPO,  153,  123,  30,  3,  26,-,
,MIER Y NORIEGA, 1 213, 1 198,  15,  4,  97,  14,
,MINA,  840,  537,  303,  29,  282,  19,
,MONTEMORELOS, 3 314, 1 869, 1 445,  34, 2 123,  25,
,MONTERREY,  90,  47,  43,  35, 3 629,-,
,PARAS,  343,  281,  62,*,  107,  4,
,PESQUERIA,  800,  620,  180,  15,  232,  7,
,"RAMONES, LOS",  831,  646,  185,  8,  268,  4,
,RAYONES,  829,  735,  94,  9,  142,  10,
,SABINAS HIDALGO,  688,  482,  206,  8,  91,  8,
,SALINAS VICTORIA,  747,  617,  130,  17,  138,  8,
,SAN NICOLAS DE LOS GARZA,-,-,-,*,  11,-,
,HIDALGO,  71,  48,  23,  44,  694,*,
,SANTA CATARINA,  428,  215,  213,  11,  277,  6,
,SANTIAGO,  673,  536,  137,  9,  601,  7,
,VALLECILLO,  816,  658,  158,*,  117,  12,
,VILLALDAMA,  512,  429,  83,  13,  312,  5,
OAXACA,, 368 399, 341 163, 27 236, 3 011, 67 745, 1 615,
,ABEJONES,  193,  193,-,  6,  16,*,
,ACATLAN DE PEREZ FIGUEROA, 3 249, 3 237,  12,  36, 2 909,  39,
,ASUNCION CACALOTEPEC,  779,  777,*,-,  11,*,
,ASUNCION CUYOTEPEJI,  88,  88,-,  16,  32,*,
,ASUNCION IXTALTEPEC, 1 383, 1 233,  150,  67, 1 108,  10,
,ASUNCION NOCHIXTLAN,  913,  856,  57,  14,  530,  9,
,ASUNCION OCOTLAN,  445,  445,-,-,  26,-,
,ASUNCION TLACOLULITA,  453,  449,  4,-,  5,  3,
,AYOTZINTEPEC,  682,  676,  6,  59,  73,  3,
,"BARRIO DE LA SOLEDAD, EL",  847,  794,  53,  11,  614,*,
,CALIHUALA,  368,  348,  20,*,  33,  4,
,CANDELARIA LOXICHA,  990,  986,  4,*,  145,*,
,CIENEGA DE ZIMATLAN (LA CIENEGA),  774,  460,  314,*,  124,*,
,CIUDAD IXTEPEC,  765,  727,  38,  20,  589,*,
,COATECAS ALTAS, 1 526,  998,  528,  4,  89,  4,
,COICOYAN DE LAS FLORES,  837,  771,  66,*,  37,*,
,"COMPAÑIA, LA",  745,  625,  120,  7,  69,  3,
,CONCEPCION BUENAVISTA,  327,  277,  50,-,  7,  5,
,CONCEPCION PAPALO,  680,  676,  4,*,  6,*,
,CONSTANCIA DEL ROSARIO,  298,  278,  20,-,  11,*,
,COSOLAPA,  718,  702,  16,  9,  877,  8,
,COSOLTEPEC,  287,  282,  5,  11,  23,  4,
,CUILAPAM DE GUERRERO, 1 439, 1 350,  89,*,  150,  5,
,CUYAMECALCO VILLA DE ZARAGOZA, 1 027,  811,  216,-,-,*,
,CHAHUITES,  289,  286,  3,  62,  767,*,
,CHALCATONGO DE HIDALGO, 2 506, 2 171,  335,-,  12,*,
,SAN JUAN CHIQUIHUITLAN,  512,  468,  44,*,  118,-,
,EJUTLA DE CRESPO, 2 125, 1 921,  204,  24,  543,  12,
,ELOXOCHITLAN DE FLORES MAGON,  808,  683,  125,*,  13,-,
,"ESPINAL, EL",  305,  269,  36,  37,  728,-,
,TAMAZULAPAM DEL ESPIRITU SANTO, 1 308, 1 307,*,-,  17,*,
,FRESNILLO DE TRUJANO,  184,  177,  7,  4,  50,*,
,GUADALUPE ETLA,  214,  186,  28,  14,  67,*,
,GUADALUPE RAMIREZ,  184,  174,  10,  7,  67,*,
,GUELATAO DE JUAREZ,  42,  42,-,  3,  27,*,
,GUEVEA DE HUMBOLDT, 1 037, 1 025,  12,  4,  24,*,
,MESONES HIDALGO,  528,  526,*,-,  13,  3,
,VILLA HIDALGO,  526,  515,  11,-,  91,-,
,HUAJUAPAM DE LEON, 1 330, 1 127,  203,  26, 1 532,  11,
,HUAUTEPEC, 1 091,  734,  357,-,  12,-,
,HUAUTLA DE JIMENEZ, 4 426, 4 252,  174,  47,  265,-,
,IXTLAN DE JUAREZ, 1 106, 1 106,-,  15,  260,  10,
,JUCHITAN DE ZARAGOZA, 3 359, 2 568,  791,  69, 1 452,  5,
,LOMA BONITA, 1 721, 1 585,  136,  18, 1 547,  18,
,MAGDALENA APASCO,  529,  417,  112,  6,  224,  5,
,MAGDALENA JALTEPEC, 1 041,  897,  144,-,  11,  3,
,SANTA MAGDALENA JICOTLAN,  33,  33,-,*,  4,*,
,MAGDALENA MIXTEPEC,  296,  290,  6,-,  27,  3,
,MAGDALENA OCOTLAN,  212,  197,  15,*,  12,*,
,MAGDALENA PEÑASCO,  719,  697,  22,-,*,*,
,MAGDALENA TEITIPAC,  532,  532,-,-,  15,*,
,MAGDALENA TEQUISISTLAN,  497,  486,  11,  9,  170,*,
,MAGDALENA TLACOTEPEC,  211,  181,  30,-,  21,*,
,MAGDALENA ZAHUATLAN,  108,  100,  8,-,*,*,
,MARISCALA DE JUAREZ,  639,  487,  152,*,  67,  3,
,MARTIRES DE TACUBAYA,  251,  241,  10,  5,  52,*,
,MATIAS ROMERO, 2 782, 2 704,  78,  76, 1 004,  24,
,MAZATLAN VILLA DE FLORES, 2 920, 2 776,  144,*,  156,-,
,MIAHUATLAN DE PORFIRIO DIAZ, 2 560, 2 485,  75,  11,  722,  4,
,MIXISTLAN DE LA REFORMA,  548,  526,  22,-,-,*,
,MONJAS,  223,  219,  4,*,  15,-,
,NATIVIDAD,  37,  34,  3,-,  56,-,
,NAZARENO ETLA,  198,  196,*,  26,  244,*,
,NEJAPA DE MADERO, 1 349, 1 332,  17,  11,  267,  9,
,IXPANTEPEC NIEVES,  577,  563,  14,*,-,  4,
,SANTIAGO NILTEPEC,  592,  541,  51,  17,  396,  4,
,OAXACA DE JUAREZ,  481,  380,  101,  17, 1 608,  9,
,OCOTLAN DE MORELOS,  715,  684,  31,  15,  332,  4,
,"PE, LA",  344,  274,  70,-,  7,*,
,PINOTEPA DE DON LUIS,  610,  609,*,  8,  213,*,
,PLUMA HIDALGO,  392,  376,  16,  27,  119,-,
,SAN JOSE DEL PROGRESO,  732,  672,  60,*,  22,*,
,PUTLA VILLA DE GUERRERO, 3 119, 2 945,  174,  8,  140,  12,
,SANTA CATARINA QUIOQUITANI,  140,  136,  4,-,  3,*,
,REFORMA DE PINEDA,  319,  319,-,  24,  128,*,
,"REFORMA, LA",  502,  464,  38,  3,  42,  4,
,REYES ETLA,  348,  313,  35,  14,  160,*,
,ROJAS DE CUAUHTEMOC,  172,  170,*,  6,  27,*,
,SALINA CRUZ,  322,  312,  10,*,  305,  3,
,SAN AGUSTIN AMATENGO,  561,  548,  13,  3,  69,*,
,SAN AGUSTIN ATENANGO,  669,  497,  172,  5,  53,  3,
,SAN AGUSTIN CHAYUCO,  704,  693,  11,*,  27,  5,
,SAN AGUSTIN DE LAS JUNTAS,  180,  171,  9,*,  48,*,
,SAN AGUSTIN ETLA,  239,  188,  51,  27,  200,*,
,SAN AGUSTIN LOXICHA, 2 046, 2 043,  3,*,  108,*,
,SAN AGUSTIN TLACOTEPEC,  346,  239,  107,-,*,*,
,SAN AGUSTIN YATARENI,  375,  291,  84,*,  89,*,
,SAN ANDRES CABECERA NUEVA,  948,  906,  42,*,  66,  3,
,SAN ANDRES DINICUITI,  394,  379,  15,  11,  62,  3,
,SAN ANDRES HUAXPALTEPEC,  500,  491,  9,  26,  237,*,
,SAN ANDRES HUAYAPAM,  156,  134,  22,-,  37,*,
,SAN ANDRES IXTLAHUACA,  340,  218,  122,*,  16,*,
,SAN ANDRES LAGUNAS,  170,  162,  8,-,  10,*,
,SAN ANDRES NUXIÑO,  358,  354,  4,-,-,*,
,SAN ANDRES PAXTLAN,  500,  499,*,*,  6,-,
,SAN ANDRES SINAXTLA,  71,  55,  16,*,  25,*,
,SAN ANDRES SOLAGA,  439,  435,  4,-,  36,  3,
,SAN ANDRES TEOTILALPAM,  651,  602,  49,  6,  92,*,
,SAN ANDRES TEPETLAPA,  47,  45,*,*,  4,-,
,SAN ANDRES YAA,  118,  117,*,-,  11,*,
,SAN ANDRES ZABACHE,  198,  155,  43,*,  37,*,
,SAN ANDRES ZAUTLA,  472,  370,  102,  9,  161,  3,
,SAN ANTONINO CASTILLO VELASCO,  935,  732,  203,  3,  207,*,
,SAN ANTONINO EL ALTO,  296,  294,*,-,  32,*,
,SAN ANTONINO MONTE VERDE, 1 295,  995,  300,-,-,*,
,SAN ANTONIO ACUTLA,  87,  87,-,*,-,*,
,SAN ANTONIO DE LA CAL,  227,  214,  13,  9,  83,*,
,SAN ANTONIO HUITEPEC, 1 465, 1 397,  68,*,  33,  6,
,SAN ANTONIO NANAHUATIPAM,  309,  277,  32,  5,  16,  3,
,SAN ANTONIO SINICAHUA,  323,  299,  24,-,-,*,
,SAN ANTONIO TEPETLAPA,  454,  452,*,*,  46,  3,
,SAN BALTAZAR CHICHICAPAM,  584,  582,*,*,  20,*,
,SAN BALTAZAR LOXICHA,  521,  516,  5,-,-,*,
,SAN BALTAZAR YATZACHI EL BAJO,  177,  176,*,-,  15,  4,
,SAN BARTOLO COYOTEPEC,  309,  293,  16,  3,  50,*,
,SAN BARTOLOME AYAUTLA,  752,  532,  220,*,  6,*,
,SAN BARTOLOME LOXICHA,  347,  347,-,-,-,*,
,SAN BARTOLOME QUIALANA,  457,  416,  41,-,  5,*,
,SAN BARTOLOME YUCUAÑE,  325,  165,  160,-,-,*,
,SAN BARTOLOME ZOOGOCHO,  154,  154,-,-,  8,*,
,SAN BARTOLO SOYALTEPEC,  263,  239,  24,-,  7,*,
,SAN BARTOLO YAUTEPEC,  197,  191,  6,-,  6,*,
,SAN BERNARDO MIXTEPEC,  357,  357,-,  8,  123,  3,
,SAN BLAS ATEMPA, 1 621, 1 498,  123,-,  370,*,
,SAN CARLOS YAUTEPEC,  870,  841,  29,*,  93,  9,
,SAN CRISTOBAL AMATLAN,  615,  611,  4,*,  16,  3,
,SAN CRISTOBAL AMOLTEPEC,  292,  261,  31,-,-,*,
,SAN CRISTOBAL LACHIRIOAG,  346,  346,-,-,  32,-,
,SAN CRISTOBAL SUCHIXTLAHUACA,  100,  81,  19,-,  4,*,
,SAN DIONISIO DEL MAR,  652,  446,  206,*,  107,*,
,SAN DIONISIO OCOTEPEC, 1 346, 1 322,  24,*,  195,  5,
,SAN DIONISIO OCOTLAN,  207,  203,  4,*,  44,*,
,SAN ESTEBAN ATATLAHUCA,  801,  780,  21,-,  3,*,
,SAN FELIPE JALAPA DE DIAZ, 1 010,  990,  20,-,  228,  12,
,SAN FELIPE TEJALAPAM,  799,  795,  4,  6,  130,*,
,SAN FELIPE USILA, 1 720, 1 719,*,  10,  71,  9,
,SAN FRANCISCO CAHUACUA,  501,  486,  15,*,  15,*,
,SAN FRANCISCO CAJONOS,  218,  215,  3,-,  30,*,
,SAN FRANCISCO CHAPULAPA,  225,  203,  22,-,  69,*,
,SAN FRANCISCO CHINDUA,  269,  262,  7,*,*,  3,
,SAN FRANCISCO DEL MAR,  524,  508,  16,  12,  254,*,
,SAN FRANCISCO HUEHUETLAN,  536,  455,  81,-,  10,*,
,SAN FRANCISCO IXHUATAN,  641,  624,  17,  13,  547,  3,
,SAN FRANCISCO JALTEPETONGO,  308,  306,*,-,  5,*,
,SAN FRANCISCO LACHIGOLO,  153,  149,  4,  5,  27,*,
,SAN FRANCISCO LOGUECHE,  243,  243,-,-,  6,-,
,SAN FRANCISCO NUXAÑO,  114,  114,-,-,  10,*,
,SAN FRANCISCO OZOLOTEPEC,  316,  316,-,-,  16,*,
,SAN FRANCISCO SOLA,  137,  136,*,  4,  53,*,
,SAN FRANCISCO TELIXTLAHUACA,  851,  704,  147,*,  146,*,
,SAN FRANCISCO TEOPAN,  131,  121,  10,-,-,*,
,SAN FRANCISCO TLAPANCINGO,  329,  259,  70,  6,  99,*,
,SAN GABRIEL MIXTEPEC,  547,  457,  90,-,  46,*,
,SAN ILDEFONSO AMATLAN,  547,  545,*,  4,  20,*,
,SAN ILDEFONSO SOLA,  181,  181,-,-,  6,*,
,SAN ILDEFONSO VILLA ALTA,  777,  700,  77,  7,  8,  5,
,SAN JACINTO AMILPAS,  87,  80,  7,-,  62,*,
,SAN JACINTO TLACOTEPEC,  269,  269,-,-,-,*,
,SAN JERONIMO COATLAN,  917,  893,  24,-,-,*,
,SAN JERONIMO SILACAYOAPILLA,  293,  255,  38,*,  49,*,
,SAN JERONIMO SOSOLA,  851,  778,  73,*,  6,  6,
,SAN JERONIMO TAVICHE,  205,  189,  16,  3,  8,*,
,SAN JERONIMO TECOATL,  518,  518,-,-,-,-,
,SAN JORGE NUCHITA,  374,  307,  67,  6,  166,  3,
,SAN JOSE AYUQUILA,  277,  265,  12,  3,  42,*,
,SAN JOSE CHILTEPEC,  749,  741,  8,  12,  411,  10,
,SAN JOSE DEL PEÑASCO,  262,  260,*,-,  3,*,
,SAN JOSE ESTANCIA GRANDE,  131,  112,  19,  3,  44,*,
,SAN JOSE INDEPENDENCIA,  273,  273,-,-,  287,-,
,SAN JOSE LACHIGUIRI,  474,  446,  28,-,  149,-,
,SAN JOSE TENANGO, 4 380, 4 306,  74,*,  16,*,
,SAN JUAN ACHIUTLA,  292,  291,*,*,  5,*,
,SAN JUAN ATEPEC,  280,  199,  81,  5,  64,*,
,ANIMAS TRUJANO,  192,  192,-,*,  64,*,
,SAN JUAN BAUTISTA ATATLAHUCA,  211,  197,  14,-,  54,  3,
,SAN JUAN BAUTISTA COIXTLAHUACA,  639,  529,  110,  15,  211,  4,
,SAN JUAN BAUTISTA CUICATLAN, 1 497, 1 134,  363,  30,  327,  16,
,SAN JUAN BAUTISTA GUELACHE,  450,  329,  121,  11,  261,  5,
,SAN JUAN BAUTISTA JAYACATLAN,  294,  291,  3,  7,  59,*,
,SAN JUAN BAUTISTA LO DE SOTO,  389,  382,  7,  11,  56,*,
,SAN JUAN BAUTISTA SUCHITEPEC,  146,  134,  12,  4,  25,*,
,SAN JUAN BAUTISTA TLACOATZINTEPEC,  422,  422,-,-,-,*,
,SAN JUAN BAUTISTA TLACHICHILCO,  217,  206,  11,-,-,  4,
,SAN JUAN BAUTISTA TUXTEPEC, 4 881, 4 759,  122,  96, 3 498,  61,
,SAN JUAN CACAHUATEPEC,  778,  723,  55,  31,  299,  5,
,SAN JUAN CIENEGUILLA,  517,  451,  66,  3,  62,  4,
,SAN JUAN COATZOSPAM,  669,  605,  64,-,-,*,
,SAN JUAN COLORADO,  961,  956,  5,  3,  146,  6,
,SAN JUAN COMALTEPEC,  421,  421,-,-,-,  5,
,SAN JUAN COTZOCON, 2 898, 2 741,  157,-,  643,  14,
,SAN JUAN CHICOMEZUCHIL,  87,  66,  21,*,  14,*,
,SAN JUAN CHILATECA,  202,  201,*,  6,  66,*,
,SAN JUAN DEL ESTADO,  254,  218,  36,  7,  175,*,
,SAN JUAN DEL RIO,  430,  429,*,-,-,*,
,SAN JUAN DIUXI,  481,  476,  5,-,  18,*,
,SAN JUAN EVANGELISTA ANALCO,  123,  114,  9,*,  9,*,
