"NÚMERO Y EXISTENCIAS EN VIVIENDAS Y UNIDADES DE PRODUCCIÓN CON GANADO BOVINO,",,,,,,,,,CUADRO 11A,,
"SEGÚN EDAD Y SEXO, POR ENTIDAD Y MUNICIPIO",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ENTIDAD Y MUNICIPIO,,,,,,EDAD,,,,,
,,,,TOTAL,,MENORES DE 1 AÑO,,DE 1 A 3 AÑOS,,,
,,,,,,MACHOS Y HEMBRAS,,MACHOS Y HEMBRAS,,,
,,,,NÚMERO,EXISTENCIAS (CABEZAS),NÚMERO,EXISTENCIAS (CABEZAS),NÚMERO,EXISTENCIAS (CABEZAS),,
,,,,,,,,,,,
,,,,,,,,,,,
,CINTALAPA,,, 2 642, 50 805, 1 402, 10 315, 1 287, 11 868,,
,COAPILLA,,,  416, 3 510,  257,  816,  207,  655,,
,COMITAN DE DOMINGUEZ,,, 1 780, 10 250,  429, 1 167,  375, 1 372,,
,"CONCORDIA, LA",,, 1 917, 47 396, 1 257, 10 274, 1 052, 10 137,,
,COPAINALA,,,  650, 11 323,  435, 2 536,  411, 2 677,,
,CHALCHIHUITAN,,,  299,  957,  115,  219,  64,  163,,
,CHAMULA,,,  250,  939,  54,  85,  41,  67,,
,CHANAL,,,  315, 1 969,  94,  178,  95,  204,,
,CHAPULTENANGO,,,  514, 6 555,  367, 1 628,  322, 1 454,,
,CHENALHO,,,  598, 1 751,  226,  422,  255,  524,,
,CHIAPA DE CORZO,,, 1 287, 14 117,  421, 2 351,  368, 2 545,,
,CHIAPILLA,,,  108, 1 093,  51,  221,  48,  216,,
,CHICOASEN,,,  166, 1 081,  81,  206,  71,  188,,
,CHICOMUSELO,,, 1 223, 19 336,  612, 3 749,  583, 3 910,,
,CHILON,,, 1 564, 18 342,  625, 2 478,  747, 4 020,,
,ESCUINTLA,,,  465, 9 791,  346, 2 388,  274, 2 746,,
,FRANCISCO LEON,,,  478, 7 741,  319, 1 284,  319, 2 461,,
,FRONTERA COMALAPA,,, 1 338, 19 699,  779, 3 597,  722, 4 408,,
,FRONTERA HIDALGO,,,  278, 4 456,  156,  996,  157, 1 447,,
,"GRANDEZA, LA",,,  110,  359,  35,  53,  43,  67,,
,HUEHUETAN,,,  415, 10 236,  265, 1 874,  263, 3 025,,
,HUIXTAN,,, 1 565, 6 218,  155,  261,  366,  743,,
,HUITIUPAN,,,  334, 4 425,  149,  572,  183,  774,,
,HUIXTLA,,,  403, 11 373,  279, 2 533,  269, 3 101,,
,"INDEPENDENCIA, LA",,, 1 320, 5 648,  176,  551,  233,  725,,
,IXHUATAN,,,  264, 3 379,  177,  809,  162,  787,,
,IXTACOMITAN,,,  311, 8 530,  177, 1 731,  187, 2 071,,
,IXTAPA,,,  380, 2 724,  134,  500,  142,  640,,
,IXTAPANGAJOYA,,,  171, 4 297,  100,  913,  91, 1 108,,
,JIQUIPILAS,,, 2 332, 27 696,  926, 5 347,  915, 5 942,,
,JITOTOL,,,  446, 3 631,  220,  731,  242,  836,,
,JUAREZ,,,  970, 51 016,  708, 10 868,  635, 17 844,,
,LARRAINZAR,,,  381,  868,  63,  87,  88,  139,,
,"LIBERTAD, LA",,,  483, 28 199,  380, 5 588,  401, 8 475,,
,MAPASTEPEC,,, 1 637, 68 459, 1 249, 16 305, 1 115, 22 285,,
,"MARGARITAS, LAS",,, 4 537, 33 358, 1 433, 4 228, 1 616, 5 906,,
,MAZAPA DE MADERO,,,  232,  867,  82,  139,  80,  144,,
