"NÚMERO Y EXISTENCIAS EN VIVIENDAS Y UNIDADES DE PRODUCCIÓN CON GANADO BOVINO,",,,,,,,,,CUADRO 11A,,
"SEGÚN EDAD Y SEXO, POR ENTIDAD Y MUNICIPIO",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ENTIDAD Y MUNICIPIO,,,,,,EDAD,,,,,
,,,,TOTAL,,MENORES DE 1 AÑO,,DE 1 A 3 AÑOS,,,
,,,,,,MACHOS Y HEMBRAS,,MACHOS Y HEMBRAS,,,
,,,,NÚMERO,EXISTENCIAS (CABEZAS),NÚMERO,EXISTENCIAS (CABEZAS),NÚMERO,EXISTENCIAS (CABEZAS),,
,,,,,,,,,,,
,,,,,,,,,,,
,SANTA CLARA,,,  610, 12 323,  402, 2 478,  290, 3 000,,
,SANTIAGO PAPASQUIARO,,, 3 217, 69 981, 2 150, 15 049, 1 946, 17 397,,
,SUCHIL,,,  519, 11 427,  359, 2 594,  278, 2 352,,
,TAMAZULA,,, 2 946, 62 802, 2 349, 14 316, 2 218, 15 518,,
,TEPEHUANES,,, 1 232, 28 247,  944, 5 746,  850, 6 876,,
,TLAHUALILO,,,  367, 17 774,  172, 2 321,  136, 3 692,,
,TOPIA,,,  720, 9 854,  464, 1 966,  428, 2 283,,
,VICENTE GUERRERO,,,  554, 6 000,  307, 1 090,  257, 1 082,,
,NUEVO IDEAL,,, 2 472, 33 488, 1 501, 6 666, 1 343, 7 089,,
GUANAJUATO,,,, 75 273, 660 090, 36 742, 125 211, 29 178, 132 196,,
,ABASOLO,,, 2 626, 19 429, 1 188, 4 192,  799, 3 614,,
,ACAMBARO,,, 2 486, 17 829, 1 186, 3 464,  863, 3 061,,
,ALLENDE,,, 3 410, 37 879, 1 583, 6 278, 1 280, 7 122,,
,APASEO EL ALTO,,, 1 002, 6 251,  397, 1 082,  334, 1 138,,
,APASEO EL GRANDE,,,  913, 15 888,  408, 2 916,  307, 3 335,,
,ATARJEA,,,  466, 2 682,  253,  518,  230,  468,,
,CELAYA,,, 2 605, 23 756, 1 097, 4 483,  733, 3 618,,
,MANUEL DOBLADO,,, 2 066, 23 822, 1 171, 4 594, 1 015, 4 990,,
,COMONFORT,,,  920, 8 131,  473, 1 495,  411, 1 768,,
,CORONEO,,,  758, 4 476,  362,  665,  318,  902,,
,CORTAZAR,,, 1 024, 9 257,  456, 1 695,  359, 1 774,,
,CUERAMARO,,,  641, 4 168,  388,  967,  311,  856,,
,DOCTOR MORA,,,  829, 8 696,  378, 1 460,  226, 1 285,,
,DOLORES HIDALGO,,, 3 665, 30 470, 1 961, 5 837, 1 637, 6 016,,
,GUANAJUATO,,, 1 490, 11 405,  646, 1 978,  606, 1 992,,
,HUANIMARO,,, 1 058, 4 166,  377,  802,  342,  955,,
,IRAPUATO,,, 3 294, 22 365, 1 528, 4 626, 1 141, 4 797,,
,JARAL DEL PROGRESO,,,  652, 3 972,  256,  698,  196, 1 035,,
,JERECUARO,,, 2 174, 14 674, 1 004, 2 694,  912, 2 987,,
,LEON,,, 3 645, 48 151, 1 985, 9 106, 1 606, 11 061,,
,MOROLEON,,,  484, 4 560,  316, 1 065,  237,  959,,
,OCAMPO,,,  864, 11 915,  638, 2 651,  523, 3 233,,
,PENJAMO,,, 4 613, 36 969, 2 566, 7 629, 2 043, 7 686,,
,PUEBLO NUEVO,,,  375, 3 148,  178,  563,  136, 1 315,,
,PURISIMA DEL RINCON,,,  927, 9 260,  473, 1 702,  382, 2 231,,
,ROMITA,,, 1 756, 13 223,  984, 2 934,  743, 2 506,,
,SALAMANCA,,, 2 087, 13 094,  730, 2 238,  520, 2 648,,
,SALVATIERRA,,, 2 015, 12 680,  855, 2 452,  674, 2 217,,
,SAN DIEGO DE LA UNION,,, 1 178, 9 971,  670, 2 237,  486, 1 756,,
,SAN FELIPE,,, 4 386, 45 913, 2 581, 9 781, 2 028, 11 308,,
,SAN FRANCISCO DEL RINCON,,, 1 648, 15 773,  812, 2 690,  768, 3 680,,
,SAN JOSE ITURBIDE,,, 1 836, 22 445,  623, 3 250,  573, 4 093,,
,SAN LUIS DE LA PAZ,,, 2 456, 34 711, 1 322, 6 333, 1 151, 7 206,,
,SANTA CATARINA,,,  340, 2 724,  173,  480,  174,  552,,
,SANTA CRUZ DE JUVENTINO ROSAS,,,  829, 8 602,  300, 1 224,  220, 1 265,,
,SANTIAGO MARAVATIO,,,  382, 2 753,  157,  487,  112,  339,,
,SILAO,,, 2 920, 26 946, 1 468, 5 156, 1 076, 4 284,,
,TARANDACUAO,,,  537, 3 491,  279,  719,  239,  743,,
,TARIMORO,,, 1 100, 7 492,  552, 1 702,  309, 1 189,,
,TIERRA BLANCA,,,  592, 3 507,  246,  620,  244,  613,,
,URIANGATO,,,  520, 4 130,  221,  787,  172,  859,,
,VALLE DE SANTIAGO,,, 2 870, 15 764, 1 212, 2 789,  955, 3 368,,
,VICTORIA,,, 1 161, 10 246,  651, 1 976,  570, 1 794,,
,VILLAGRAN,,,  615, 2 990,  177,  485,  156,  399,,
,XICHU,,, 1 143, 7 900,  680, 1 477,  528, 1 228,,
,YURIRIA,,, 1 915, 12 416,  781, 2 234,  533, 1 951,,
GUERRERO,,,, 77 295, 888 427, 43 156, 188 551, 36 751, 185 768,,
,ACAPULCO DE JUAREZ,,, 1 640, 19 617,  943, 4 027,  874, 4 375,,
,AHUACUOTZINGO,,, 1 619, 10 420,  732, 1 636,  675, 1 816,,
,AJUCHITLAN DEL PROGRESO,,, 1 973, 23 975, 1 361, 5 483, 1 028, 4 722,,
,ALCOZAUCA DE GUERRERO,,, 1 035, 3 881,  174,  270,  211,  340,,
,ALPOYECA,,,  121,  592,  42,  89,  27,  68,,
,APAXTLA,,,  781, 11 791,  435, 2 638,  308, 2 277,,
,ARCELIA,,, 1 278, 15 157,  810, 3 293,  660, 3 005,,
,ATENANGO DEL RIO,,,  445, 5 940,  276, 1 374,  253, 1 481,,
,ATLAMAJALCINGO DEL MONTE,,,  324, 1 265,  75,  95,  72,  112,,
,ATLIXTAC,,, 1 402, 7 176,  555,  876,  569, 1 058,,
,ATOYAC DE ALVAREZ,,, 1 278, 15 453,  847, 3 515,  737, 3 513,,
,AYUTLA DE LOS LIBRES,,, 1 276, 9 523,  598, 1 756,  566, 1 922,,
,AZOYU,,, 1 020, 19 757,  727, 4 286,  607, 4 552,,
,BENITO JUAREZ,,,  260, 5 576,  167, 1 350,  125, 1 200,,
,BUENAVISTA DE CUELLAR,,,  368, 7 766,  213, 1 670,  209, 2 162,,
,COAHUAYUTLA DE JOSE MARIA IZAZAGA,,, 1 637, 24 345, 1 183, 5 694, 1 039, 5 564,,
,COCULA,,,  696, 7 270,  420, 1 705,  323, 1 532,,
,COPALA,,,  269, 5 490,  202, 1 287,  180, 1 119,,
,COPALILLO,,,  346, 2 857,  168,  498,  141,  475,,
,COPANATOYAC,,,  854, 3 693,  249,  409,  162,  294,,
,COYUCA DE BENITEZ,,, 1 219, 14 421,  740, 3 011,  660, 2 901,,
,COYUCA DE CATALAN,,, 2 441, 50 195, 1 810, 10 776, 1 563, 11 551,,
,CUAJINICUILAPA,,, 1 298, 27 148,  965, 6 588,  868, 6 687,,
,CUALAC,,,  342, 2 351,  163,  386,  115,  396,,
,CUAUTEPEC,,,  265, 4 878,  172, 1 125,  162, 1 127,,
,CUETZALA DEL PROGRESO,,,  753, 8 501,  514, 2 037,  356, 1 915,,
,CUTZAMALA DE PINZON,,, 1 794, 36 108, 1 285, 8 015, 1 119, 7 959,,
,CHILAPA DE ALVAREZ,,, 4 290, 15 219, 1 127, 1 775,  909, 1 610,,
,CHILPANCINGO DE LOS BRAVO,,, 1 032, 12 864,  552, 2 348,  476, 2 430,,
,FLORENCIO VILLARREAL,,,  474, 8 947,  337, 1 939,  342, 2 176,,
,GENERAL CANUTO A. NERI,,,  780, 7 130,  360, 1 309,  289, 1 181,,
,GENERAL HELIODORO CASTILLO,,, 1 442, 19 645, 1 093, 4 880,  838, 4 212,,
,HUAMUXTITLAN,,,  386, 2 171,  147,  372,  87,  278,,
,HUITZUCO DE LOS FIGUEROA,,, 1 585, 22 349, 1 014, 5 035,  747, 4 924,,
,IGUALA DE LA INDEPENDENCIA,,,  973, 14 127,  615, 3 189,  498, 3 543,,
,IGUALAPA,,,  319, 3 565,  192,  755,  180,  759,,
,IXCATEOPAN DE CUAUHTEMOC,,,  421, 2 620,  269,  624,  207,  526,,
,JOSE AZUETA,,, 1 175, 21 446,  927, 5 071,  831, 5 271,,
,JUAN R. ESCUDERO,,,  427, 4 885,  288, 1 024,  234, 1 161,,
,LEONARDO BRAVO,,,  537, 6 002,  329, 1 263,  258, 1 172,,
,MALINALTEPEC,,,  575, 2 359,  159,  251,  166,  318,,
,MARTIR DE CUILAPAN,,,  828, 3 795,  310,  613,  237,  476,,
,METLATONOC,,,  562, 3 512,  160,  292,  204,  404,,
,MOCHITLAN,,,  524, 3 732,  242,  700,  182,  560,,
,OLINALA,,, 1 139, 11 277,  583, 2 522,  459, 1 958,,
,OMETEPEC,,,  978, 16 698,  695, 3 552,  626, 3 988,,
,PEDRO ASCENCIO ALQUISIRAS,,,  846, 10 616,  563, 2 120,  550, 2 463,,
,PETATLAN,,, 1 510, 32 230, 1 202, 7 819, 1 045, 7 900,,
,PILCAYA,,,  590, 4 980,  285,  994,  226, 1 012,,
,PUNGARABATO,,,  571, 7 153,  380, 1 499,  312, 1 604,,
,QUECHULTENANGO,,, 1 324, 7 078,  680, 1 472,  530, 1 268,,
,SAN LUIS ACATLAN,,,  566, 7 474,  323, 1 377,  303, 1 883,,
,SAN MARCOS,,, 1 624, 18 274, 1 045, 4 077,  973, 4 249,,
,SAN MIGUEL TOTOLAPAN,,, 1 780, 29 083, 1 332, 6 647, 1 122, 6 152,,
,TAXCO DE ALARCON,,, 1 628, 10 600,  755, 1 976,  629, 2 100,,
,TECOANAPA,,, 1 607, 13 074,  983, 2 876,  927, 3 107,,
,TECPAN DE GALEANA,,, 1 989, 49 622, 1 494, 11 507, 1 313, 11 124,,
,TELOLOAPAN,,, 2 520, 25 784, 1 645, 6 188, 1 210, 5 066,,
,TEPECOACUILCO DE TRUJANO,,, 1 149, 12 268,  647, 2 808,  525, 2 615,,
,TETIPAC,,,  819, 4 158,  356,  763,  335,  875,,
,TIXTLA DE GUERRERO,,,  908, 5 315,  349, 1 012,  247,  807,,
,TLACOACHISTLAHUACA,,,  586, 5 793,  309,  963,  296, 1 184,,
,TLACOAPA,,,  540, 2 540,  208,  318,  200,  321,,
,TLALCHAPA,,, 1 008, 14 952,  724, 3 390,  571, 2 971,,
,TLALIXTAQUILLA DE MALDONADO,,,  334, 2 227,  146,  312,  116,  302,,
,TLAPA DE COMONFORT,,, 1 934, 9 398,  522,  930,  412,  785,,
,TLAPEHUALA,,,  667, 8 193,  392, 1 721,  320, 1 623,,
,"UNION, LA",,, 1 400, 22 114, 1 013, 5 181,  907, 4 684,,
,XALPATLAHUAC,,,  661, 2 837,  120,  208,  129,  210,,
,XOCHIHUEHUETLAN,,,  334, 2 090,  129,  341,  86,  227,,
,XOCHISTLAHUACA,,,  378, 1 656,  111,  241,  133,  393,,
,ZAPOTITLAN TABLAS,,, 1 267, 6 892,  320,  606,  329,  584,,
,ZIRANDARO,,, 1 769, 33 933, 1 358, 8 358, 1 137, 7 646,,
,ZITLALA,,, 1 090, 3 881,  239,  326,  204,  324,,
,EDUARDO NERI,,,  715, 6 723,  301, 1 118,  285, 1 219,,
HIDALGO,,,, 61 054, 387 382, 25 222, 68 150, 22 892, 80 626,,
,ACATLAN,,, 1 343, 9 677,  592, 1 685,  625, 2 114,,
,ACAXOCHITLAN,,,  737, 2 213,  239,  369,  219,  411,,
,ACTOPAN,,,  890, 6 646,  272, 1 033,  233, 1 494,,
,AGUA BLANCA DE ITURBIDE,,,  689, 2 565,  285,  435,  313,  571,,
,AJACUBA,,,  610, 4 039,  220,  624,  242,  809,,
,ALFAJAYUCAN,,, 1 681, 9 595,  734, 1 577,  744, 2 172,,
,ALMOLOYA,,,  256, 1 421,  110,  237,  84,  198,,
,APAN,,,  417, 2 871,  190,  617,  132,  375,,
,"ARENAL, EL",,,  478, 1 852,  120,  213,  151,  242,,
,ATITALAQUIA,,,  473, 3 362,  173,  517,  183,  901,,
,ATLAPEXCO,,,  564, 2 698,  258,  622,  173,  636,,
,ATOTONILCO EL GRANDE,,, 1 376, 8 573,  449, 1 324,  503, 2 250,,
,ATOTONILCO DE TULA,,,  317, 1 474,  112,  201,  101,  235,,
,CALNALI,,,  475, 4 176,  254,  894,  214,  904,,
,CARDONAL,,,  870, 2 740,  218,  296,  249,  393,,
,CUAUTEPEC DE HINOJOSA,,,  802, 3 523,  295,  632,  254,  527,,
,CHAPANTONGO,,, 1 094, 5 815,  423,  888,  426,  938,,
,CHAPULHUACAN,,,  747, 6 433,  347, 1 109,  302, 1 161,,
,CHILCUAUTLA,,, 1 007, 3 975,  340,  573,  348,  687,,
,ELOXOCHITLAN,,,  337, 2 827,  179,  547,  204,  662,,
,EMILIANO ZAPATA,,,  104,  543,  37,  73,  34,  117,,
,EPAZOYUCAN,,,  147,  768,  48,  108,  51,  119,,
,FRANCISCO I. MADERO,,, 1 205, 4 989,  387,  765,  322,  947,,
,HUASCA DE OCAMPO,,, 1 064, 4 883,  380,  676,  451,  993,,
,HUAUTLA,,, 1 059, 5 796,  509, 1 289,  389, 1 636,,
,HUAZALINGO,,,  479, 3 325,  248,  734,  259,  880,,
,HUEHUETLA,,,  259, 3 665,  133,  664,  134, 1 017,,
,HUEJUTLA DE REYES,,, 2 518, 12 452,  967, 2 217,  782, 2 913,,
,HUICHAPAN,,, 2 324, 13 133, 1 022, 2 340,  840, 2 359,,
,IXMIQUILPAN,,, 2 841, 14 494, 1 005, 2 273,  882, 2 506,,
,JACALA DE LEDEZMA,,,  965, 4 660,  341,  665,  320,  669,,
,JALTOCAN,,,  237, 1 307,  114,  373,  81,  193,,
,JUAREZ HIDALGO,,,  311, 2 471,  164,  462,  189,  601,,
,LOLOTLA,,,  560, 4 297,  246,  884,  214,  804,,
,METEPEC,,,  529, 3 200,  299,  713,  270,  786,,
,SAN AGUSTIN METZQUITITLAN,,,  468, 3 251,  185,  480,  179,  603,,
,METZTITLAN,,,  770, 4 244,  249,  508,  189,  719,,
,MINERAL DEL CHICO,,,  357, 1 227,  70,  97,  76,  121,,
,MINERAL DEL MONTE,,,  69,  253,  25,  39,  15,  29,,
,"MISION, LA",,,  694, 4 821,  356,  955,  330, 1 056,,
,MIXQUIAHUALA DE JUAREZ,,, 1 082, 5 178,  396,  826,  292,  994,,
,MOLANGO DE ESCAMILLA,,,  975, 7 033,  507, 1 483,  434, 1 527,,
,NICOLAS FLORES,,,  283, 1 335,  74,  117,  103,  202,,
,NOPALA DE VILLAGRAN,,, 1 224, 7 742,  591, 1 499,  567, 1 785,,
,OMITLAN DE JUAREZ,,,  183,  726,  60,  112,  53,  125,,
,SAN FELIPE ORIZATLAN,,, 1 876, 12 118,  894, 2 952,  734, 2 759,,
,PACULA,,,  652, 4 128,  237,  629,  191,  619,,
,PACHUCA DE SOTO,,,  258, 3 280,  59,  175,  60,  350,,
,PISAFLORES,,,  296, 2 850,  203,  675,  171,  624,,
,PROGRESO DE OBREGON,,,  267, 1 310,  102,  249,  60,  164,,
,MINERAL DE LA REFORMA,,,  142, 1 236,  44,  169,  50,  299,,
,SAN AGUSTIN TLAXIACA,,,  334, 1 847,  105,  272,  119,  315,,
,SAN BARTOLO TUTOTEPEC,,,  887, 6 738,  431, 1 241,  344, 1 406,,
,SAN SALVADOR,,, 2 264, 9 518,  994, 1 863,  779, 1 920,,
,SANTIAGO DE ANAYA,,,  726, 3 140,  312,  556,  237,  789,,
,SANTIAGO TULANTEPEC DE LUGO GUERRERO,,,  185, 1 743,  80,  240,  88,  503,,
,SINGUILUCAN,,,  225,  959,  74,  134,  66,  182,,
,TASQUILLO,,,  607, 2 475,  185,  310,  201,  396,,
,TECOZAUTLA,,, 1 102, 8 946,  339, 2 251,  354, 2 046,,
,TENANGO DE DORIA,,,  710, 2 838,  313,  540,  260,  511,,
,TEPEAPULCO,,,  254, 1 474,  107,  219,  105,  334,,
,TEPEHUACAN DE GUERRERO,,,  694, 4 649,  389, 1 064,  360, 1 025,,
,TEPEJI DEL RIO DE OCAMPO,,, 1 482, 9 763,  604, 1 653,  523, 1 998,,
,TEPETITLAN,,,  766, 3 918,  315,  615,  316,  733,,
,TETEPANGO,,,  163,  803,  55,  118,  68,  177,,
,VILLA DE TEZONTEPEC,,,  65,  779,  15,  66,  25,  426,,
,TEZONTEPEC DE ALDAMA,,, 1 666, 7 079,  692, 1 203,  656, 1 429,,
,TIANGUISTENGO,,, 1 025, 6 887,  539, 1 558,  535, 1 847,,
,TIZAYUCA,,,  270, 32 217,  133, 4 371,  119, 7 470,,
,TLAHUELILPAN,,,  167,  976,  45,  143,  41,  201,,
,TLAHUILTEPA,,, 1 010, 5 403,  425,  890,  437, 1 135,,
,TLANALAPA,,,  84,  561,  31,  80,  41,  119,,
,TLANCHINOL,,, 1 028, 7 873,  637, 1 985,  630, 1 895,,
,TLAXCOAPAN,,,  517, 2 234,  197,  395,  175,  469,,
,TOLCAYUCA,,,  83, 1 133,  29,  127,  35,  337,,
,TULA DE ALLENDE,,, 1 361, 8 304,  606, 1 411,  538, 1 534,,
,TULANCINGO DE BRAVO,,, 1 090, 10 319,  516, 1 998,  352, 1 995,,
,XOCHIATIPAN,,,  135,  756,  51,  102,  45,  119,,
,XOCHICOATLAN,,,  769, 5 180,  476, 1 303,  340, 1 108,,
,YAHUALICA,,,  194, 1 168,  72,  176,  70,  176,,
,ZACUALTIPAN DE ANGELES,,,  336, 2 935,  164,  556,  138,  567,,
,ZAPOTLAN DE JUAREZ,,,  119, 1 047,  56,  177,  31,  201,,
,ZEMPOALA,,,  491, 2 533,  221,  498,  192,  546,,
,ZIMAPAN,,,  884, 3 997,  252,  441,  250,  521,,
JALISCO,,,, 97 127,1 937 174, 64 492, 413 475, 57 323, 520 146,,
,ACATIC,,,  737, 17 695,  538, 4 012,  496, 4 721,,
,ACATLAN DE JUAREZ,,,  272, 3 799,  145,  709,  131,  838,,
,AHUALULCO DE MERCADO,,,  513, 7 549,  311, 1 521,  245, 1 828,,
,AMACUECA,,,  197, 2 676,  115,  573,  101,  653,,
,AMATITAN,,,  233, 4 851,  123,  865,  113, 1 180,,
,AMECA,,, 2 121, 27 295, 1 270, 5 759, 1 074, 6 459,,
,ANTONIO ESCOBEDO,,,  516, 8 837,  339, 1 996,  283, 2 079,,
,ARANDAS,,, 2 332, 61 498, 1 611, 12 682, 1 437, 16 686,,
,ARENAL,,,  220, 3 497,  109,  621,  103,  746,,
,ATEMAJAC DE BRIZUELA,,,  278, 6 063,  222, 1 798,  180, 1 712,,
,ATENGO,,,  398, 12 674,  298, 3 026,  229, 4 166,,
,ATENGUILLO,,,  435, 10 261,  276, 2 478,  239, 2 795,,
,ATOTONILCO EL ALTO,,, 1 285, 17 821,  770, 3 488,  629, 4 697,,
,ATOYAC,,,  521, 7 461,  312, 1 823,  246, 1 862,,
,AUTLAN DE NAVARRO,,, 1 024, 18 404,  701, 4 077,  634, 5 402,,
,AYOTLAN,,, 1 059, 11 607,  485, 1 976,  395, 3 598,,
,AYUTLA,,, 1 109, 23 495,  925, 6 265,  763, 6 339,,
,"BARCA, LA",,, 1 564, 14 314,  657, 2 371,  656, 3 495,,
,BOLAÑOS,,,  214, 4 372,  143,  963,  134,  971,,
,CABO CORRIENTES,,,  906, 19 809,  693, 4 021,  743, 5 768,,
,CASIMIRO CASTILLO,,,  662, 17 323,  496, 3 958,  451, 4 864,,
,CIHUATLAN,,,  549, 11 685,  399, 2 639,  396, 3 548,,
,CIUDAD GUZMAN,,,  278, 8 552,  181, 2 097,  130, 2 259,,
,COCULA,,, 1 234, 14 908,  651, 2 843,  555, 3 410,,
,COLOTLAN,,, 1 009, 17 887,  765, 4 258,  616, 4 272,,
,CONCEPCION DE BUENOS AIRES,,,  384, 10 270,  284, 2 622,  260, 2 962,,
,CUAUTITLAN,,, 1 355, 34 942,  977, 7 920,  941, 11 136,,
,CUAUTLA,,,  285, 8 200,  247, 2 377,  219, 2 393,,
,CUQUIO,,, 1 795, 31 162, 1 163, 6 280,  985, 7 781,,
,CHAPALA,,,  411, 5 254,  252, 1 133,  209, 1 239,,
,CHIMALTITAN,,,  547, 9 371,  393, 2 123,  357, 2 236,,
,CHIQUILISTLAN,,,  439, 7 222,  288, 1 726,  247, 2 228,,
,DEGOLLADO,,, 1 189, 21 635,  854, 5 662,  660, 5 739,,
,EJUTLA,,,  214, 5 110,  153, 1 185,  133, 1 542,,
,ENCARNACION DE DIAZ,,, 1 539, 51 342, 1 027, 9 902,  957, 13 483,,
,ETZATLAN,,,  402, 7 947,  229, 1 635,  218, 1 998,,
,"GRULLO, EL",,,  260, 6 774,  160, 1 405,  139, 1 858,,
,GUACHINANGO,,,  490, 11 521,  410, 2 909,  366, 4 029,,
,GUADALAJARA,,,  47, 1 194,  29,  123,  29,  255,,
,HOSTOTIPAQUILLO,,,  848, 13 952,  621, 3 284,  525, 3 687,,
,HUEJUCAR,,,  647, 11 455,  514, 2 932,  424, 2 920,,
,HUEJUQUILLA EL ALTO,,, 1 106, 16 224,  797, 3 528,  673, 4 336,,
,"HUERTA, LA",,, 1 342, 33 073, 1 013, 6 992,  949, 8 256,,
,IXTLAHUACAN DE LOS MEMBRILLOS,,,  418, 6 363,  225, 1 119,  226, 1 741,,
,IXTLAHUACAN DEL RIO,,, 1 797, 34 243, 1 139, 7 102, 1 007, 10 331,,
,JALOSTOTITLAN,,,  724, 19 893,  555, 3 849,  521, 5 642,,
,JAMAY,,,  285, 3 587,  129,  501,  145,  872,,
,JESUS MARIA,,, 1 116, 17 674,  807, 4 199,  649, 4 240,,
,JILOTLAN DE LOS DOLORES,,,  922, 32 222,  775, 7 397,  716, 10 444,,
,JOCOTEPEC,,,  704, 8 091,  441, 1 868,  360, 2 006,,
,JUANACATLAN,,,  370, 5 995,  206, 1 103,  204, 1 637,,
,JUCHITLAN,,,  328, 5 255,  222, 1 194,  190, 1 439,,
,LAGOS DE MORENO,,, 3 335, 70 957, 1 938, 14 639, 1 589, 15 464,,
,"LIMON, EL",,,  310, 5 500,  202, 1 182,  173, 1 442,,
,MAGDALENA,,,  406, 7 837,  247, 1 685,  229, 2 006,,
,MANUEL M. DIEGUEZ,,,  393, 10 900,  315, 2 570,  301, 3 155,,
,"MANZANILLA DE LA PAZ, LA",,,  348, 7 091,  240, 1 917,  200, 2 013,,
,MASCOTA,,, 1 134, 23 788,  799, 5 256,  741, 7 012,,
,MAZAMITLA,,,  649, 9 354,  467, 2 518,  353, 2 467,,
,MEXTICACAN,,,  424, 5 640,  245, 1 286,  193, 1 256,,
,MEZQUITIC,,, 1 900, 32 073, 1 404, 7 630, 1 244, 7 291,,
,MIXTLAN,,,  326, 7 548,  252, 2 013,  225, 2 134,,
,OCOTLAN,,,  720, 11 460,  410, 2 067,  443, 3 203,,
,OJUELOS DE JALISCO,,, 1 259, 10 153,  679, 2 279,  539, 2 203,,
,PIHUAMO,,, 1 109, 31 213,  954, 7 533,  906, 8 547,,
,PONCITLAN,,,  597, 9 456,  318, 1 499,  300, 2 553,,
,PUERTO VALLARTA,,,  680, 18 318,  476, 4 036,  447, 4 679,,
,VILLA PURIFICACION,,, 1 330, 39 137, 1 034, 8 606,  998, 11 648,,
,QUITUPAN,,, 1 254, 18 684,  805, 4 087,  737, 4 506,,
,"SALTO, EL",,,  145, 2 984,  71,  505,  72,  630,,
,SAN CRISTOBAL DE LA BARRANCA,,,  524, 8 282,  367, 1 902,  332, 2 327,,
,SAN DIEGO DE ALEJANDRIA,,,  355, 7 298,  169, 1 261,  165, 1 741,,
,SAN JUAN DE LOS LAGOS,,, 1 624, 38 915,  827, 5 800,  931, 8 564,,
,SAN JULIAN,,,  392, 9 475,  265, 1 843,  204, 2 026,,
,SAN MARCOS,,,  254, 7 661,  196, 1 728,  164, 2 097,,
,SAN MARTIN DE BOLAÑOS,,,  360, 9 793,  293, 2 315,  279, 3 338,,
,SAN MARTIN HIDALGO,,, 1 480, 17 932,  966, 4 095,  702, 4 970,,
,SAN MIGUEL EL ALTO,,, 1 015, 39 262,  808, 7 187,  708, 7 179,,
,GOMEZ FARIAS,,,  302, 5 862,  191, 1 424,  182, 1 625,,
,SAN SEBASTIAN DEL OESTE,,,  782, 15 448,  627, 3 730,  589, 4 923,,
,SANTA MARIA DE LOS ANGELES,,,  453, 8 788,  352, 2 072,  351, 2 799,,
,SAYULA,,,  340, 5 438,  168, 1 022,  156, 1 396,,
,TALA,,,  726, 11 118,  429, 2 382,  360, 2 733,,
,TALPA DE ALLENDE,,,  893, 22 375,  709, 4 919,  693, 7 514,,
,TAMAZULA DE GORDIANO,,, 1 816, 32 844, 1 105, 8 238,  905, 8 005,,
,TAPALPA,,,  607, 10 039,  373, 2 315,  276, 2 716,,
,TECALITLAN,,,  735, 20 911,  606, 4 885,  525, 6 028,,
,TECOLOTLAN,,,  958, 19 095,  738, 4 514,  629, 5 247,,
,TECHALUTA DE MONTENEGRO,,,  120, 1 389,  85,  373,  62,  321,,
,TENAMAXTLAN,,,  619, 11 258,  457, 3 055,  350, 3 141,,
,TEOCALTICHE,,, 1 299, 17 205,  822, 3 448,  686, 4 230,,
,TEOCUITATLAN DE CORONA,,,  869, 11 145,  510, 2 468,  441, 2 727,,
,TEPATITLAN DE MORELOS,,, 1 879, 56 695, 1 226, 10 618, 1 240, 15 534,,
,TEQUILA,,,  763, 19 092,  548, 3 972,  447, 4 474,,
,TEUCHITLAN,,,  356, 5 848,  188, 1 037,  202, 1 494,,
,TIZAPAN EL ALTO,,,  760, 10 327,  465, 2 347,  388, 2 516,,
,TLAJOMULCO DE ZUÑIGA,,, 1 053, 20 935,  566, 3 358,  529, 7 885,,
,TLAQUEPAQUE,,,  222, 5 305,  108,  494,  90, 1 752,,
,TOLIMAN,,,  524, 6 416,  359, 1 515,  336, 2 023,,
,TOMATLAN,,, 2 638, 78 199, 2 090, 17 083, 2 054, 21 357,,
,TONALA,,,  175, 3 553,  80,  405,  72,  672,,
,TONAYA,,,  451, 8 149,  230, 1 788,  222, 2 213,,
,TONILA,,,  259, 5 182,  197, 1 478,  176, 1 249,,
,TOTATICHE,,,  741, 13 934,  579, 3 447,  522, 4 110,,
,TOTOTLAN,,,  890, 16 985,  517, 2 890,  502, 5 422,,
,TUXCACUESCO,,,  272, 5 462,  175, 1 064,  188, 1 641,,
,TUXCUECA,,,  249, 4 840,  193, 1 338,  148, 1 304,,
,TUXPAN,,,  686, 12 370,  427, 2 656,  378, 3 280,,
,UNION DE SAN ANTONIO,,, 1 257, 31 599,  830, 5 916,  737, 7 673,,
,UNION DE TULA,,,  872, 14 980,  655, 3 450,  514, 4 008,,
,VALLE DE GUADALUPE,,,  317, 13 765,  245, 2 714,  257, 3 965,,
,VALLE DE JUAREZ,,,  392, 9 742,  260, 1 943,  254, 2 772,,
,CIUDAD VENUSTIANO CARRANZA,,,  818, 13 295,  523, 3 201,  409, 3 199,,
,VILLA CORONA,,,  852, 8 339,  349, 1 382,  297, 1 853,,
,VILLA GUERRERO,,,  558, 14 375,  440, 3 560,  388, 4 497,,
,VILLA HIDALGO,,,  669, 7 947,  447, 1 710,  353, 2 237,,
,CAÑADAS DE OBREGON,,,  521, 8 504,  367, 1 955,  323, 2 199,,
,YAHUALICA DE GONZALEZ GALLO,,, 1 170, 17 748,  929, 4 449,  659, 4 176,,
,ZACOALCO DE TORRES,,,  838, 11 023,  528, 2 432,  434, 2 619,,
