"UNIDADES DE PRODUCCIÓN CON CULTIVO PRINCIPAL PERENNE, SEGÚN SUPERFICIE, GRADO DE DESARROLLO DE LA PLANTACIÓN ",,,,,,,CUADRO  9,,,,,,
"Y PRODUCCIÓN OBTENIDA, POR CULTIVO PRINCIPAL, ENTIDAD Y MUNICIPIO",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"CULTIVO PRINCIPAL, ENTIDAD Y MUNICIPIO",,,UNIDADADES  DE PRODUCCIÓN,SUPERFICIE,,,PRDODUCCIÓN OBTENIDA (TON),,,,,,
,,,,TOTAL   (HA),PLANTACIONES,,,,,,,,
,,,,,EN DESARROLLO  (HA),EN PRODUCCIÓN (HA),,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
ALFALFA,,,,,,,,,,,,,
,TARIMBARO,,  49,  0.26,  0.16,  0.10,  0.88,,,,,,
,TEPALCATEPEC,,  50,  13.38,  5.03,  8.35,  43.39,,,,,,
,TINGAMBATO,,  33,  2.49,  0.19,  2.29,  30.81,,,,,,
,TINGUINDIN,,  113,  7.99,  4.80,  3.18,  10.78,,,,,,
,TIQUICHEO DE NICOLAS ROMERO,,  45,  3.20,  0.13,  3.08,  15.57,,,,,,
,TLAZAZALCA,,  93,  0.09,  0.03,  0.06,  0.49,,,,,,
,TOCUMBO,,  156,  13.96,  0.57,  13.39,  3.17,,,,,,
,TUMBISCATIO,,  5,  0.26,  0.00,  0.26,  0.14,,,,,,
,TURICATO,,  210,  5.64,  0.58,  5.06,  32.22,,,,,,
,TUXPAN,,  10,  0.58,  0.00,  0.58,  1.47,,,,,,
,TUZANTLA,,  32,  3.00,  0.60,  2.40,  0.33,,,,,,
,TZINTZUNTZAN,,  24,  0.26,  0.00,  0.26,  0.48,,,,,,
,TZITZIO,,  14,  8.62,  1.25,  7.37,  12.21,,,,,,
,URUAPAN,,  118,  106.58,  17.56,  89.02,  133.76,,,,,,
,VENUSTIANO CARRANZA,,  73,  1.09,  0.01,  1.08,  16.80,,,,,,
,VILLAMAR,,  156,  1.73,  0.30,  1.43,  12.03,,,,,,
,VISTA HERMOSA,,  66,  0.61,  0.46,  0.15,  2.33,,,,,,
,YURECUARO,,  67,  1.85,  0.01,  1.84,  6.63,,,,,,
,ZACAPU,,  148,  0.02,  0.01,  0.01,  2.90,,,,,,
,ZAMORA,,  200,  2.69,  0.21,  2.47,  9.21,,,,,,
,ZINAPARO,,  22,  0.55,  0.06,  0.49,  1.12,,,,,,
,ZINAPECUARO,,  72,  10.84,  0.56,  10.28,  5.40,,,,,,
,ZIRACUARETIRO,,  238,  118.67,  20.56,  98.11,  113.09,,,,,,
,ZITACUARO,,  49,  11.37,  4.36,  7.01,  15.92,,,,,,
,JOSE SIXTO VERDUZCO,,  139,  2.17,  0.92,  1.25,  4.70,,,,,,
MORELOS,,, 4 055,  220.02,  79.35,  140.66,  248.45,,,,,,
,AMACUZAC,,  111,  6.56,  1.10,  5.46,  5.77,,,,,,
,ATLATLAHUCAN,,  79,  0.20,  0.15,  0.06,  2.11,,,,,,
,AXOCHIAPAN,,  219,  1.36,  1.09,  0.27,  2.49,,,,,,
,AYALA,,  348,  7.43,  5.46,  1.97,  5.04,,,,,,
,COATLAN DEL RIO,,  135,  16.83,  1.16,  15.67,  10.35,,,,,,
,CUAUTLA,,  168,  7.57,  0.25,  7.32,  3.29,,,,,,
,CUERNAVACA,,  195,  10.81,  4.21,  6.59,  6.71,,,,,,
,EMILIANO ZAPATA,,  68,  8.19,  0.23,  7.95,  7.27,,,,,,
,HUITZILAC,,  3,  0.02,  0.02,  0.00,  0.00,,,,,,
,JANTETELCO,,  150,  2.80,  0.78,  2.02,  4.56,,,,,,
,JIUTEPEC,,  76,  5.83,  2.03,  3.80,  21.40,,,,,,
,JOJUTLA,,  148,  4.59,  2.69,  1.90,  1.39,,,,,,
,JONACATEPEC,,  130,  1.78,  0.34,  1.44,  35.10,,,,,,
,MAZATEPEC,,  60,  0.98,  0.14,  0.84,  1.05,,,,,,
,MIACATLAN,,  120,  10.14,  1.11,  9.03,  16.17,,,,,,
,OCUITUCO,,  69,  26.69,  11.61,  15.09,  5.45,,,,,,
,PUENTE DE IXTLA,,  172,  6.42,  1.45,  4.96,  3.40,,,,,,
,TEMIXCO,,  162,  4.11,  0.48,  3.63,  2.92,,,,,,
,TEPALCINGO,,  181,  0.16,  0.08,  0.08,  4.57,,,,,,
,TEPOZTLAN,,  81,  8.02,  1.17,  6.86,  1.18,,,,,,
,TETECALA,,  53,  6.93,  1.71,  5.22,  59.58,,,,,,
,TETELA DEL VOLCAN,,  5,  1.92,  0.02,  1.90,  0.60,,,,,,
,TLALNEPANTLA,,  12,  0.18,  0.03,  0.15,  0.33,,,,,,
,TLALTIZAPAN,,  257,  27.10,  23.16,  3.95,  23.55,,,,,,
,TLAQUILTENANGO,,  49,  3.03,  0.61,  2.42,  2.36,,,,,,
,TLAYACAPAN,,  185,  0.63,  0.19,  0.44,  3.49,,,,,,
,TOTOLAPAN,,  12,  4.38,  4.35,  0.02,  0.55,,,,,,
,XOCHITEPEC,,  131,  6.63,  1.05,  5.57,  2.27,,,,,,
,YAUTEPEC,,  472,  21.15,  10.20,  10.95,  10.65,,,,,,
,YECAPIXTLA,,  115,  2.45,  1.08,  1.37,  2.78,,,,,,
,ZACATEPEC,,  10,  1.77,  1.31,  0.46,  0.02,,,,,,
,ZACUALPAN,,  46,  8.55,  0.09,  8.46,  0.55,,,,,,
,TEMOAC,,  33,  4.82,  0.00,  4.82,  1.49,,,,,,
NAYARIT,,, 4 404,  782.10,  267.59,  514.51,  989.22,,,,,,
,ACAPONETA,,  184,  27.47,  18.37,  9.10,  15.25,,,,,,
,AHUACATLAN,,  233,  17.38,  9.95,  7.43,  34.38,,,,,,
,AMATLAN DE CAÑAS,,  137,  16.83,  5.46,  11.37,  95.14,,,,,,
,COMPOSTELA,,  376,  343.54,  78.27,  265.27,  255.90,,,,,,
,HUAJICORI,,  100,  12.57,  4.84,  7.73,  7.32,,,,,,
,IXTLAN DEL RIO,,  76,  1.10,  0.29,  0.81,  5.23,,,,,,
,JALA,,  112,  14.68,  0.83,  13.85,  2.93,,,,,,
,XALISCO,,  420,  31.07,  10.84,  20.23,  61.04,,,,,,
,"NAYAR, EL",,  310,  26.45,  13.43,  13.02,  58.41,,,,,,
,ROSAMORADA,,  302,  11.48,  5.76,  5.72,  8.27,,,,,,
,RUIZ,,  60,  12.84,  3.53,  9.31,  18.72,,,,,,
,SAN BLAS,,  246,  97.90,  42.48,  55.42,  144.84,,,,,,
,SAN PEDRO LAGUNILLAS,,  300,  12.00,  4.62,  7.39,  25.08,,,,,,
,SANTA MARIA DEL ORO,,  262,  20.80,  10.05,  10.75,  35.48,,,,,,
,SANTIAGO IXCUINTLA,,  496,  9.49,  4.07,  5.42,  31.80,,,,,,
,TECUALA,,  233,  12.57,  9.86,  2.71,  9.89,,,,,,
,TEPIC,,  289,  86.70,  36.57,  50.13,  148.15,,,,,,
,TUXPAN,,  102,  0.52,  0.04,  0.48,  2.74,,,,,,
,"YESCA, LA",,  47,  2.11,  0.00,  2.11,  12.08,,,,,,
,BAHIA DE BANDERAS,,  119,  24.59,  8.34,  16.25,  16.59,,,,,,
NUEVO LEON,,, 4 411, 29 269.07, 12 043.78, 17 225.29, 34 218.37,,,,,,
,ABASOLO,,  9,  1.78,  0.00,  1.78,  0.08,,,,,,
,AGUALEGUAS,,  32,  4.64,  1.22,  3.43,  1.51,,,,,,
,"ALDAMAS, LOS",,  50,  0.30,  0.02,  0.28,  2.03,,,,,,
,ALLENDE,,  727, 2 714.74, 1 327.78, 1 386.95, 1 309.12,,,,,,
,ANAHUAC,,  3,  0.10,  0.10,  0.00,  0.10,,,,,,
,APODACA,,  15,  5.95,  1.51,  4.43,  2.72,,,,,,
,ARAMBERRI,,  6,  2.75,  0.00,  2.75,  0.63,,,,,,
,BUSTAMANTE,,  3,  0.36,  0.03,  0.33,  0.01,,,,,,
,CADEREYTA JIMENEZ,, 1 136, 5 627.04, 1 113.72, 4 513.33, 10 000.75,,,,,,
,CARMEN,,*,  0.50,  0.50,  0.00,  0.00,,,,,,
,CERRALVO,,  30,  8.79,  1.75,  7.04,  2.62,,,,,,
,CIENEGA DE FLORES,,  18,  8.57,  2.89,  5.69,  2.50,,,,,,
,CHINA,,  11,  23.01,  0.50,  22.51,  7.27,,,,,,
,DOCTOR ARROYO,,  4,  0.01,  0.01,  0.00,  0.01,,,,,,
,DOCTOR COSS,,  83,  47.44,  0.07,  47.37,  57.70,,,,,,
,DOCTOR GONZALEZ,,  23,  65.56,  20.51,  45.05,  30.65,,,,,,
,GARCIA,,  51,  22.02,  1.20,  20.82,  7.42,,,,,,
,SAN PEDRO GARZA GARCIA,,*,  0.01,  0.00,  0.01,  0.12,,,,,,
,GENERAL BRAVO,,  19,  0.58,  0.06,  0.52,  0.60,,,,,,
,GENERAL ESCOBEDO,,  10,  7.33,  2.26,  5.07,  3.50,,,,,,
,GENERAL TERAN,,  560, 8 028.18, 3 058.65, 4 969.53, 6 339.55,,,,,,
,GENERAL TREVIÑO,,  6,  2.00,  0.00,  2.00,  0.00,,,,,,
,GENERAL ZARAGOZA,,*,  0.00,  0.00,  0.00,  0.06,,,,,,
,GENERAL ZUAZUA,,  41,  0.31,  0.20,  0.11,  0.33,,,,,,
,GUADALUPE,,  18,  16.12,  6.01,  10.11,  3.75,,,,,,
,HIGUERAS,,  9,  0.01,  0.00,  0.00,  0.02,,,,,,
,HUALAHUISES,,  97, 1 807.02,  868.82,  938.20,  586.54,,,,,,
,JUAREZ,,  180,  73.36,  38.30,  35.06,  185.88,,,,,,
,LINARES,,  345, 1 933.67,  548.97, 1 384.70, 4 507.99,,,,,,
,MARIN,,  40,  7.78,  7.57,  0.21,  2.30,,,,,,
,MELCHOR OCAMPO,,  9,  0.21,  0.00,  0.21,  0.03,,,,,,
,MIER Y NORIEGA,,  3,  0.01,  0.01,  0.00,  0.00,,,,,,
,MINA,,  26,  1.30,  0.76,  0.54,  0.05,,,,,,
,MONTEMORELOS,,  539, 8 634.83, 5 007.21, 3 627.62, 11 038.36,,,,,,
,MONTERREY,,  13,  0.45,  0.29,  0.16,  1.20,,,,,,
,PARAS,,*,  0.04,  0.01,  0.03,  0.00,,,,,,
,PESQUERIA,,  39,  19.14,  5.78,  13.36,  31.20,,,,,,
,"RAMONES, LOS",,  92,  131.53,  0.65,  130.88,  33.35,,,,,,
,RAYONES,,  7,  10.25,  4.00,  6.25,  0.37,,,,,,
,SABINAS HIDALGO,,  7,  6.23,  4.90,  1.33,  0.85,,,,,,
,SALINAS VICTORIA,,  35,  2.42,  1.28,  1.13,  6.93,,,,,,
,HIDALGO,,  11,  1.31,  1.00,  0.31,  0.33,,,,,,
,SANTA CATARINA,,  9,  14.00,  0.50,  13.50,  14.08,,,,,,
,SANTIAGO,,  62,  35.51,  13.91,  21.59,  35.73,,,,,,
,VALLECILLO,,  10,  0.03,  0.02,  0.01,  0.01,,,,,,
,VILLALDAMA,,  16,  1.91,  0.80,  1.11,  0.12,,,,,,
OAXACA,,, 29 851, 21 684.94, 8 555.63, 13 129.31, 30 563.92,,,,,,
,ACATLAN DE PEREZ FIGUEROA,,  494,  195.87,  32.25,  163.62,  891.90,,,,,,
,ASUNCION CACALOTEPEC,,  300,  234.80,  8.30,  226.50,  189.57,,,,,,
,ASUNCION CUYOTEPEJI,,*,  0.00,  0.00,  0.00,  0.24,,,,,,
,ASUNCION IXTALTEPEC,,  131,  4.33,  0.16,  4.17,  11.32,,,,,,
,ASUNCION NOCHIXTLAN,,  3,  0.10,  0.10,  0.00,  0.01,,,,,,
,ASUNCION TLACOLULITA,,  19,  3.82,  0.54,  3.28,  3.65,,,,,,
,AYOTZINTEPEC,,  265,  22.69,  3.69,  19.00,  97.32,,,,,,
,"BARRIO DE LA SOLEDAD, EL",,  327,  45.17,  8.82,  36.36,  54.44,,,,,,
,CALIHUALA,,*,  0.00,  0.00,  0.00,  0.07,,,,,,
,CANDELARIA LOXICHA,,  62,  95.83,  29.83,  66.00,  21.87,,,,,,
,CIENEGA DE ZIMATLAN (LA CIENEGA),,  54,  0.61,  0.00,  0.61,  5.60,,,,,,
,CIUDAD IXTEPEC,,  17,  2.83,  0.66,  2.18,  2.11,,,,,,
,COATECAS ALTAS,,  17,  0.02,  0.01,  0.01,  0.13,,,,,,
,"COMPAÑIA, LA",,  15,  0.59,  0.26,  0.33,  0.61,,,,,,
,CONCEPCION BUENAVISTA,,  5,  1.08,  0.33,  0.75,  0.01,,,,,,
,CONCEPCION PAPALO,,  8,  11.50,  6.50,  5.00,  1.84,,,,,,
,CONSTANCIA DEL ROSARIO,,  64,  43.31,  16.25,  27.06,  36.46,,,,,,
,COSOLAPA,,  227,  355.21,  91.22,  263.99,  171.44,,,,,,
,COSOLTEPEC,,  7,  0.00,  0.00,  0.00,  0.07,,,,,,
,CUILAPAM DE GUERRERO,,  27,  0.16,  0.01,  0.15,  1.76,,,,,,
,CUYAMECALCO VILLA DE ZARAGOZA,,  4,  2.08,  0.00,  2.08,  1.38,,,,,,
,CHAHUITES,,  3,  3.02,  0.00,  3.02,  4.47,,,,,,
,CHALCATONGO DE HIDALGO,,  36,  1.70,  1.44,  0.26,  1.18,,,,,,
,SAN JUAN CHIQUIHUITLAN,,  28,  17.25,  0.00,  17.25,  24.08,,,,,,
,EJUTLA DE CRESPO,,  60,  2.01,  0.51,  1.51,  0.95,,,,,,
,ELOXOCHITLAN DE FLORES MAGON,,  14,  21.04,  0.50,  20.54,  3.05,,,,,,
,"ESPINAL, EL",,  33,  6.55,  0.01,  6.54,  21.51,,,,,,
,TAMAZULAPAM DEL ESPIRITU SANTO,,  18,  14.45,  7.45,  7.00,  5.00,,,,,,
,FRESNILLO DE TRUJANO,,  11,  0.25,  0.25,  0.00,  0.00,,,,,,
,GUADALUPE ETLA,,  28,  0.35,  0.09,  0.26,  0.61,,,,,,
,GUELATAO DE JUAREZ,,  9,  0.31,  0.12,  0.19,  0.27,,,,,,
,GUEVEA DE HUMBOLDT,,  393, 1 781.64,  755.67, 1 025.98,  512.06,,,,,,
,MESONES HIDALGO,,  12,  1.29,  0.28,  1.01,  1.74,,,,,,
,VILLA HIDALGO,,  28,  1.80,  0.01,  1.79,  3.32,,,,,,
,HUAJUAPAM DE LEON,,  60,  3.27,  0.10,  3.17,  62.18,,,,,,
,HUAUTEPEC,,*,  3.00,  2.75,  0.25,  0.10,,,,,,
,HUAUTLA DE JIMENEZ,,  330,  345.49,  43.41,  302.08,  690.01,,,,,,
,IXTLAN DE JUAREZ,,  179,  77.92,  10.85,  67.06,  129.09,,,,,,
,JUCHITAN DE ZARAGOZA,,  84,  27.99,  3.35,  24.64,  109.14,,,,,,
,LOMA BONITA,,  533,  88.61,  11.76,  76.85,  735.79,,,,,,
,MAGDALENA APASCO,,  63,  3.80,  2.30,  1.50,  2.45,,,,,,
,MAGDALENA JALTEPEC,,  12,  0.02,  0.00,  0.02,  0.25,,,,,,
,MAGDALENA MIXTEPEC,,*,  0.00,  0.00,  0.00,  0.03,,,,,,
,MAGDALENA OCOTLAN,,*,  1.00,  0.75,  0.25,  0.25,,,,,,
,MAGDALENA TEQUISISTLAN,,  7,  0.03,  0.00,  0.02,  0.26,,,,,,
,MAGDALENA TLACOTEPEC,,  3,  2.75,  2.50,  0.25,  1.00,,,,,,
,MAGDALENA ZAHUATLAN,,*,  0.00,  0.00,  0.00,  0.00,,,,,,
,MARISCALA DE JUAREZ,,  5,  0.34,  0.33,  0.01,  0.10,,,,,,
,MARTIRES DE TACUBAYA,,  8,  4.19,  2.17,  2.02,  5.99,,,,,,
,MATIAS ROMERO,, 1 570, 1 382.27,  365.24, 1 017.03, 5 062.42,,,,,,
,MAZATLAN VILLA DE FLORES,,  135,  98.06,  23.02,  75.05,  37.53,,,,,,
,MIAHUATLAN DE PORFIRIO DIAZ,,  20,  5.03,  1.04,  4.00,  2.46,,,,,,
,MONJAS,,*,  0.00,  0.00,  0.00,  0.23,,,,,,
,NATIVIDAD,,*,  0.00,  0.00,  0.00,  0.11,,,,,,
,NAZARENO ETLA,,  96,  1.08,  0.12,  0.96,  12.35,,,,,,
,NEJAPA DE MADERO,,  137,  195.00,  186.21,  8.79,  69.67,,,,,,
,IXPANTEPEC NIEVES,,  55,  4.22,  0.00,  4.22,  15.80,,,,,,
,SANTIAGO NILTEPEC,,  5,  0.38,  0.13,  0.25,  0.06,,,,,,
,OAXACA DE JUAREZ,,  31,  0.76,  0.10,  0.66,  2.43,,,,,,
,OCOTLAN DE MORELOS,,  28,  0.47,  0.00,  0.47,  2.83,,,,,,
,"PE, LA",,  12,  0.72,  0.21,  0.51,  1.05,,,,,,
,PINOTEPA DE DON LUIS,,  35,  5.97,  0.75,  5.22,  12.03,,,,,,
,PLUMA HIDALGO,,  7,  142.13,  111.38,  30.75,  8.20,,,,,,
,SAN JOSE DEL PROGRESO,,*,  0.00,  0.00,  0.00,  0.57,,,,,,
,PUTLA VILLA DE GUERRERO,,  524,  616.71,  219.51,  397.20,  953.32,,,,,,
,SANTA CATARINA QUIOQUITANI,,*,  0.00,  0.00,  0.00,  0.07,,,,,,
,REFORMA DE PINEDA,,  14,  0.00,  0.00,  0.00,  0.02,,,,,,
,"REFORMA, LA",,  50,  66.68,  42.77,  23.91,  83.18,,,,,,
,REYES ETLA,,  47,  0.56,  0.09,  0.47,  1.70,,,,,,
,ROJAS DE CUAUHTEMOC,,  5,  0.08,  0.07,  0.02,  0.92,,,,,,
,SALINA CRUZ,,  26,  0.58,  0.17,  0.40,  9.31,,,,,,
,SAN AGUSTIN AMATENGO,,  87,  0.07,  0.04,  0.03,  1.27,,,,,,
,SAN AGUSTIN ATENANGO,,  76,  1.07,  0.27,  0.80,  9.32,,,,,,
,SAN AGUSTIN CHAYUCO,,  87,  76.00,  17.75,  58.25,  103.93,,,,,,
,SAN AGUSTIN ETLA,,  20,  0.36,  0.25,  0.11,  0.96,,,,,,
,SAN AGUSTIN LOXICHA,,  101,  331.92,  26.43,  305.49,  37.79,,,,,,
,SAN ANDRES CABECERA NUEVA,,  121,  163.97,  134.13,  29.83,  41.79,,,,,,
,SAN ANDRES HUAXPALTEPEC,,  6,  1.87,  0.76,  1.10,  1.33,,,,,,
,SAN ANDRES IXTLAHUACA,,  21,  0.30,  0.11,  0.19,  2.08,,,,,,
,SAN ANDRES PAXTLAN,,  8,  4.75,  0.00,  4.75,  2.82,,,,,,
,SAN ANDRES SOLAGA,,  13,  4.50,  0.25,  4.25,  0.84,,,,,,
,SAN ANDRES TEOTILALPAM,,  150,  246.17,  58.83,  187.34,  113.99,,,,,,
,SAN ANDRES YAA,,  6,  0.02,  0.00,  0.02,  0.45,,,,,,
,SAN ANDRES ZAUTLA,,  118,  1.01,  0.18,  0.83,  3.87,,,,,,
,SAN ANTONINO CASTILLO VELASCO,,  3,  0.26,  0.00,  0.26,  0.87,,,,,,
,SAN ANTONINO EL ALTO,,  4,  0.50,  0.00,  0.50,  0.37,,,,,,
,SAN ANTONIO DE LA CAL,,  7,  0.01,  0.01,  0.00,  0.06,,,,,,
,SAN ANTONIO HUITEPEC,,  104,  15.80,  1.20,  14.59,  25.83,,,,,,
,SAN ANTONIO NANAHUATIPAM,,  4,  2.00,  0.00,  2.00,  2.16,,,,,,
,SAN ANTONIO TEPETLAPA,,  26,  5.30,  2.30,  3.01,  18.38,,,,,,
,SAN BALTAZAR CHICHICAPAM,,*,  0.00,  0.00,  0.00,  0.00,,,,,,
,SAN BALTAZAR LOXICHA,,  16,  9.65,  7.25,  2.40,  1.48,,,,,,
,SAN BALTAZAR YATZACHI EL BAJO,,  4,  0.00,  0.00,  0.00,  0.11,,,,,,
,SAN BARTOLOME AYAUTLA,,  74,  82.75,  12.50,  70.25,  41.16,,,,,,
,SAN BARTOLOME LOXICHA,,*,  5.00,  0.00,  5.00,  0.43,,,,,,
,SAN BARTOLOME QUIALANA,,  3,  0.05,  0.00,  0.05,  0.48,,,,,,
,SAN BARTOLOME ZOOGOCHO,,  9,  0.00,  0.00,  0.00,  0.08,,,,,,
,SAN BARTOLO YAUTEPEC,,*,  0.25,  0.25,  0.00,  0.00,,,,,,
,SAN BERNARDO MIXTEPEC,,  119,  0.59,  0.01,  0.58,  6.14,,,,,,
,SAN BLAS ATEMPA,,  86,  6.21,  1.19,  5.02,  46.16,,,,,,
,SAN CARLOS YAUTEPEC,,  17,  9.33,  2.83,  6.50,  24.57,,,,,,
,SAN CRISTOBAL AMATLAN,,  23,  0.23,  0.02,  0.21,  2.18,,,,,,
,SAN CRISTOBAL LACHIRIOAG,,*,  0.25,  0.00,  0.25,  0.08,,,,,,
,SAN CRISTOBAL SUCHIXTLAHUACA,,*,  0.02,  0.02,  0.00,  0.00,,,,,,
,SAN DIONISIO OCOTEPEC,,*,  0.00,  0.00,  0.00,  1.17,,,,,,
,SAN DIONISIO OCOTLAN,,*,  0.00,  0.00,  0.00,  0.30,,,,,,
,SAN FELIPE JALAPA DE DIAZ,,  181,  115.32,  24.61,  90.72,  384.13,,,,,,
,SAN FELIPE TEJALAPAM,,  155,  1.59,  0.88,  0.72,  3.44,,,,,,
,SAN FELIPE USILA,,  697,  113.55,  70.89,  42.66,  365.50,,,,,,
,SAN FRANCISCO CAHUACUA,,  30,  11.81,  5.25,  6.56,  13.66,,,,,,
,SAN FRANCISCO CAJONOS,,  13,  1.81,  0.76,  1.05,  0.80,,,,,,
,SAN FRANCISCO CHAPULAPA,,  58,  99.33,  7.06,  92.27,  20.68,,,,,,
,SAN FRANCISCO CHINDUA,,  6,  0.00,  0.00,  0.00,  0.31,,,,,,
,SAN FRANCISCO DEL MAR,,  18,  0.11,  0.08,  0.03,  0.02,,,,,,
,SAN FRANCISCO HUEHUETLAN,,  6,  2.91,  1.99,  0.92,  0.55,,,,,,
,SAN FRANCISCO IXHUATAN,,  11,  0.87,  0.50,  0.37,  0.79,,,,,,
,SAN FRANCISCO JALTEPETONGO,,  5,  0.00,  0.00,  0.00,  0.29,,,,,,
,SAN FRANCISCO LACHIGOLO,,*,  0.19,  0.10,  0.08,  0.09,,,,,,
,SAN FRANCISCO OZOLOTEPEC,,  57,  66.09,  10.06,  56.03,  38.54,,,,,,
,SAN FRANCISCO SOLA,,  3,  0.00,  0.00,  0.00,  2.54,,,,,,
,SAN FRANCISCO TELIXTLAHUACA,,  26,  1.91,  0.81,  1.11,  1.43,,,,,,
,SAN GABRIEL MIXTEPEC,,  10,  10.70,  0.50,  10.20,  7.25,,,,,,
,SAN ILDEFONSO AMATLAN,,  5,  0.02,  0.01,  0.01,  0.06,,,,,,
,SAN ILDEFONSO SOLA,,*,  0.25,  0.00,  0.25,  0.12,,,,,,
,SAN ILDEFONSO VILLA ALTA,,  16,  7.76,  1.00,  6.76,  7.62,,,,,,
,SAN JACINTO AMILPAS,,  5,  0.04,  0.01,  0.04,  0.17,,,,,,
,SAN JACINTO TLACOTEPEC,,*,  1.00,  0.00,  1.00,  2.60,,,,,,
,SAN JERONIMO COATLAN,,  21,  35.41,  5.75,  29.66,  28.50,,,,,,
,SAN JERONIMO SILACAYOAPILLA,,*,  0.05,  0.00,  0.05,  0.51,,,,,,
,SAN JERONIMO SOSOLA,,  43,  0.14,  0.10,  0.04,  1.29,,,,,,
,SAN JORGE NUCHITA,,  10,  0.14,  0.03,  0.11,  0.93,,,,,,
,SAN JOSE CHILTEPEC,,  360,  71.55,  13.35,  58.20,  263.75,,,,,,
,SAN JOSE INDEPENDENCIA,,  32,  83.84,  4.18,  79.66,  13.38,,,,,,
,SAN JOSE LACHIGUIRI,,  3,  0.28,  0.00,  0.28,  0.42,,,,,,
,SAN JOSE TENANGO,,  530,  931.12,  59.74,  871.38,  859.22,,,,,,
,SAN JUAN ACHIUTLA,,  116,  2.16,  0.40,  1.75,  8.81,,,,,,
,SAN JUAN ATEPEC,,  6,  1.25,  0.25,  1.00,  0.18,,,,,,
,ANIMAS TRUJANO,,*,  0.57,  0.57,  0.00,  0.01,,,,,,
,SAN JUAN BAUTISTA ATATLAHUCA,,  28,  5.11,  0.74,  4.37,  30.30,,,,,,
,SAN JUAN BAUTISTA CUICATLAN,,  19,  11.00,  4.50,  6.50,  18.27,,,,,,
,SAN JUAN BAUTISTA GUELACHE,,  15,  0.21,  0.07,  0.14,  0.35,,,,,,
,SAN JUAN BAUTISTA JAYACATLAN,,  142,  3.09,  1.83,  1.25,  7.35,,,,,,
,SAN JUAN BAUTISTA LO DE SOTO,,  6,  2.50,  0.06,  2.44,  1.46,,,,,,
,SAN JUAN BAUTISTA SUCHITEPEC,,*,  0.00,  0.00,  0.00,  0.06,,,,,,
,SAN JUAN BAUTISTA TLACOATZINTEPEC,,  106,  18.07,  8.35,  9.73,  81.17,,,,,,
,SAN JUAN BAUTISTA TUXTEPEC,, 1 771,  166.32,  62.72,  103.60, 1 136.68,,,,,,
,SAN JUAN CACAHUATEPEC,,  58,  42.32,  33.49,  8.83,  57.17,,,,,,
,SAN JUAN CIENEGUILLA,,  34,  0.58,  0.43,  0.15,  0.50,,,,,,
,SAN JUAN COATZOSPAM,,  39,  79.00,  0.00,  79.00,  76.29,,,,,,
,SAN JUAN COLORADO,,  56,  25.25,  3.27,  21.99,  38.55,,,,,,
,SAN JUAN COMALTEPEC,,  5,  7.53,  3.70,  3.82,  11.12,,,,,,
,SAN JUAN COTZOCON,,  744, 1 455.27, 1 146.90,  308.38, 2 635.22,,,,,,
,SAN JUAN CHICOMEZUCHIL,,  5,  0.00,  0.00,  0.00,  0.20,,,,,,
,SAN JUAN CHILATECA,,  7,  0.01,  0.00,  0.01,  0.32,,,,,,
,SAN JUAN DEL ESTADO,,  32,  0.77,  0.16,  0.61,  2.11,,,,,,
,SAN JUAN DEL RIO,,*,  0.25,  0.25,  0.00,  0.00,,,,,,
,SAN JUAN GUELAVIA,,*,  0.09,  0.00,  0.09,  0.23,,,,,,
,SAN JUAN GUICHICOVI,,  575,  444.58,  184.88,  259.70,  916.20,,,,,,
,SAN JUAN JUQUILA MIXES,,  4,  2.25,  0.00,  2.25,  24.99,,,,,,
,SAN JUAN LACHAO,,*,  0.50,  0.50,  0.00,  0.00,,,,,,
,SAN JUAN LACHIGALLA,,  5,  0.33,  0.00,  0.33,  0.13,,,,,,
,SAN JUAN LALANA,,  459,  134.51,  30.01,  104.50,  511.50,,,,,,
,SAN JUAN DE LOS CUES,,  3,  2.25,  1.00,  1.25,  0.18,,,,,,
,SAN JUAN MAZATLAN,,  632,  668.82,  383.16,  285.66, 1 048.32,,,,,,
,SAN JUAN MIXTEPEC - DISTR. 08 -,,  94,  1.65,  1.39,  0.26,  3.42,,,,,,
,SAN JUAN MIXTEPEC - DISTR. 26 -,,  3,  0.03,  0.00,  0.03,  0.20,,,,,,
,SAN JUAN ÑUMI,,*,  0.00,  0.00,  0.00,  0.00,,,,,,
,SAN JUAN OZOLOTEPEC,,  51,  88.32,  39.86,  48.46,  10.92,,,,,,
,SAN JUAN PETLAPA,,  45,  44.60,  20.88,  23.72,  43.14,,,,,,
,SAN JUAN QUIAHIJE,,  58,  25.52,  2.28,  23.24,  39.32,,,,,,
,SAN JUAN QUIOTEPEC,,  18,  6.71,  1.25,  5.46,  2.17,,,,,,
,SAN JUAN TABAA,,*,  0.25,  0.00,  0.25,  2.20,,,,,,
,SAN JUAN TEPEUXILA,,  95,  77.81,  7.98,  69.83,  108.01,,,,,,
,SAN LORENZO,,  42,  3.59,  0.53,  3.06,  19.89,,,,,,
,SAN LORENZO ALBARRADAS,,  8,  0.08,  0.01,  0.07,  1.99,,,,,,
