"UNIDADES DE PRODUCCIÓN CON CULTIVO PRINCIPAL PERENNE, SEGÚN SUPERFICIE, GRADO DE DESARROLLO DE LA PLANTACIÓN ",,,,,,,CUADRO  9,,,,,,
"Y PRODUCCIÓN OBTENIDA, POR CULTIVO PRINCIPAL, ENTIDAD Y MUNICIPIO",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"CULTIVO PRINCIPAL, ENTIDAD Y MUNICIPIO",,,UNIDADADES  DE PRODUCCIÓN,SUPERFICIE,,,PRDODUCCIÓN OBTENIDA (TON),,,,,,
,,,,TOTAL   (HA),PLANTACIONES,,,,,,,,
,,,,,EN DESARROLLO  (HA),EN PRODUCCIÓN (HA),,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
ALFALFA,,,,,,,,,,,,,
,TULANCINGO DE BRAVO,,  221,  551.23,  15.00,  536.23, 22 135.57,,,,,,
,ZIMAPAN,,  3,  2.25,  0.70,  1.55,  5.37,,,,,,
JALISCO,,, 1 295, 6 820.42,  244.66, 6 575.76, 245 404.39,,,,,,
,ACATIC,,*,  1.00,-,  1.00,  35.00,,,,,,
,ACATLAN DE JUAREZ,,*,  1.00,-,  1.00,  90.00,,,,,,
,AHUALULCO DE MERCADO,,*,  4.00,-,  4.00,  204.29,,,,,,
,AMACUECA,,  34,  459.75,  4.00,  455.75, 22 474.62,,,,,,
,AMECA,,  11,  18.80,-,  18.80,  910.49,,,,,,
,ANTONIO ESCOBEDO,,*,  19.00,-,  19.00,  161.01,,,,,,
,ATEMAJAC DE BRIZUELA,,*,  0.75,-,  0.75,  21.47,,,,,,
,ATENGUILLO,,*,  2.00,-,  2.00,  26.84,,,,,,
,ATOYAC,,  150,  455.25,  6.50,  448.75, 19 325.48,,,,,,
,AUTLAN DE NAVARRO,,  7,  25.45,-,  25.45, 1 209.73,,,,,,
,AYOTLAN,,  6,  10.74,-,  10.74,  295.19,,,,,,
,AYUTLA,,*,  1.00,-,  1.00,  53.67,,,,,,
,"BARCA, LA",,  8,  29.00,-,  29.00,  164.63,,,,,,
,CASIMIRO CASTILLO,,*,  8.00,-,  8.00,  501.00,,,,,,
,CIUDAD GUZMAN,,  35,  326.50,  2.00,  324.50, 9 526.65,,,,,,
,COCULA,,  4,  3.95,-,  3.95,  10.73,,,,,,
,COLOTLAN,,*,  1.75,-,  1.75,  35.37,,,,,,
,CUQUIO,,*,  0.25,-,  0.25,  5.37,,,,,,
,CHAPALA,,  4,  5.64,  2.14,  3.50,  169.06,,,,,,
,CHIQUILISTLAN,,*,  1.00,-,  1.00,  53.67,,,,,,
,ENCARNACION DE DIAZ,,  48,  374.42,  24.00,  350.42, 10 449.76,,,,,,
,ETZATLAN,,*,  5.00,-,  5.00,  187.85,,,,,,
,"GRULLO, EL",,  6,  24.00,-,  24.00,  223.67,,,,,,
,HUEJUCAR,,*,  0.25,-,  0.25,  2.68,,,,,,
,IXTLAHUACAN DE LOS MEMBRILLOS,,*,  0.50,-,  0.50,  0.11,,,,,,
,IXTLAHUACAN DEL RIO,,  3,  1.00,-,  1.00,  18.78,,,,,,
,JALOSTOTITLAN,,  12,  140.39,-,  140.39, 1 605.30,,,,,,
,JAMAY,,  8,  11.75,  1.00,  10.75,  179.28,,,,,,
,JOCOTEPEC,,  10,  10.60,  0.25,  10.35,  264.66,,,,,,
,JUANACATLAN,,*,  2.00,  1.00,  1.00,  48.30,,,,,,
,JUCHITLAN,,  3,  1.25,-,  1.25,  4.78,,,,,,
,LAGOS DE MORENO,,  233, 1 095.86,  129.25,  966.61, 23 348.23,,,,,,
,"LIMON, EL",,*,  1.50,-,  1.50,  34.89,,,,,,
,MAGDALENA,,*,  1.00,-,  1.00,  24.00,,,,,,
,"MANZANILLA DE LA PAZ, LA",,*,  0.01,  0.01,-,-,,,,,,
,MASCOTA,,  5,  141.25,  2.00,  139.25, 4 430.99,,,,,,
,MAZAMITLA,,*,  0.33,-,  0.33,-,,,,,,
,MEXTICACAN,,  3,  5.25,-,  5.25,  59.04,,,,,,
,MEZQUITIC,,*,  1.50,-,  1.50,  66.17,,,,,,
,OCOTLAN,,  19,  67.50,  5.50,  62.00, 1 752.59,,,,,,
,OJUELOS DE JALISCO,,  4,  3.00,-,  3.00,  106.91,,,,,,
,PIHUAMO,,*,  3.00,-,  3.00,  53.67,,,,,,
,PONCITLAN,,*,  0.20,  0.00,  0.20,-,,,,,,
,PUERTO VALLARTA,,*,  2.00,-,  2.00,  48.30,,,,,,
,QUITUPAN,,*,  0.50,-,  0.50,  5.37,,,,,,
