,"MÉDICOS POR CADA 1,000 HABITANTES A NIVEL MUNICIPAL, 2005-2009",,,,,LEER NOTA,,
07023,CHIAPAS,Chamula,0.4,0.3,0.3,0.3,0.4,0.4
07024,CHIAPAS,Chanal,0.9,0.8,0.6,0.6,0.8,0.6
07025,CHIAPAS,Chapultenango,0.1,0.1,0.1,0.1,0.4,0.1
07026,CHIAPAS,Chenalhó,0.5,0.5,0.3,0.3,0.3,0.5
07027,CHIAPAS,Chiapa de Corzo,0.3,0.3,0.2,0.3,0.4,0.4
07028,CHIAPAS,Chiapilla,0.2,0.2,0.2,0.2,1.3,1.3
07029,CHIAPAS,Chicoasén,0.8,0.8,0.8,0.8,0.8,0.6
07030,CHIAPAS,Chicomuselo,0.5,0.5,0.8,0.9,0.9,0.8
07031,CHIAPAS,Chilón,0.5,0.5,0.4,0.4,0.5,0.4
07032,CHIAPAS,Escuintla,0.8,0.8,0.8,0.9,1.0,0.9
07033,CHIAPAS,Francisco León,0.6,0.6,0.1,0.6,1.0,0.6
07034,CHIAPAS,Frontera Comalapa,0.5,0.5,0.7,0.7,0.7,0.7
07035,CHIAPAS,Frontera Hidalgo,0.3,0.3,0.5,0.5,0.5,0.6
07036,CHIAPAS,La Grandeza,0.3,0.3,0.3,0.3,0.4,0.4
07037,CHIAPAS,Huehuetán,0.3,0.3,0.4,0.4,0.4,0.4
07038,CHIAPAS,Huixtán,0.5,0.5,0.5,0.5,0.5,0.6
07039,CHIAPAS,Huitiupán,0.6,0.6,0.2,0.2,0.4,0.3
07040,CHIAPAS,Huixtla,1.8,1.9,2.5,2.4,2.6,2.3
07041,CHIAPAS,La Independencia,0.3,0.3,0.5,0.6,0.5,0.6
07042,CHIAPAS,Ixhuatán,0.3,0.3,0.1,0.1,0.2,0.2
07043,CHIAPAS,Ixtacomitán,0.2,0.2,0.0,0.0,0.3,0.0
07044,CHIAPAS,Ixtapa,0.4,0.4,0.4,0.4,0.6,0.5
07045,CHIAPAS,Ixtapangajoya,0.4,0.4,0.4,1.5,1.7,1.5
