,,UNIDADES DE PRODUCCIÓN RURALES CON SUPERFICIE AGRÍCOLA,,,,LM368_01,,,,,,
,,"POR ENTIDAD, MUNICIPIO Y GRUPO DE SUPERFICIE TOTAL",,,,,,,,,,
,,,,,,,,,,,,
,,"ENTIDAD,  MUNICIPIO Y GRUPO DE SUPERFICIE TOTAL",,,UNIDADES DE PRODUCCIÓN,SUPERFICIE AGRÍCOLA                                      (HA),,,,,,
,,,,,,,,,,,,
Ent,Mun,,,,,,,,,,,
,,,,,,,,,,,,
,,ESTADOS UNIDOS MEXICANOS,,,3 794 025,30 537 701.74,,,,,,
02,,,,MAS DE    5 HASTA   20 HA.,  200, 2 095.09,,,,,,
02,,,,MAS DE   20 HASTA   50 HA.,  213, 5 518.43,,,,,,
02,,,,MAS DE   50 HASTA  100 HA.,  29, 1 246.39,,,,,,
02,,,,MAS DE  100 HASTA 1000 HA.,  60, 4 267.68,,,,,,
02,,,,MAS DE 1000 HASTA 2500 HA.,*, 1 456.56,,,,,,
02,,,,MAS DE 2500 HA.,*,  177.50,,,,,,
03,,BAJA CALIFORNIA SUR,,, 3 443, 97 552.84,,,,,,
03,,,,HASTA    2 HA.,  762, 1 022.41,,,,,,
03,,,,MAS DE    2 HASTA    5 HA.,  494, 1 382.92,,,,,,
03,,,,MAS DE    5 HASTA   20 HA.,  940, 8 964.24,,,,,,
03,,,,MAS DE   20 HASTA   50 HA.,  235, 4 832.18,,,,,,
03,,,,MAS DE   50 HASTA  100 HA.,  279, 16 596.50,,,,,,
03,,,,MAS DE  100 HASTA 1000 HA.,  632, 55 531.46,,,,,,
03,,,,MAS DE 1000 HASTA 2500 HA.,  80, 4 509.17,,,,,,
03,,,,MAS DE 2500 HA.,  21, 4 713.96,,,,,,
03,001,,COMONDU,, 1 067, 71 557.73,,,,,,
03,,,,HASTA    2 HA.,  95,  106.99,,,,,,
03,,,,MAS DE    2 HASTA    5 HA.,  39,  142.21,,,,,,
03,,,,MAS DE    5 HASTA   20 HA.,  325, 4 321.79,,,,,,
03,,,,MAS DE   20 HASTA   50 HA.,  88, 2 675.53,,,,,,
03,,,,MAS DE   50 HASTA  100 HA.,  152, 13 490.48,,,,,,
03,,,,MAS DE  100 HASTA 1000 HA.,  343, 46 012.15,,,,,,
03,,,,MAS DE 1000 HASTA 2500 HA.,  21, 2 014.03,,,,,,
03,,,,MAS DE 2500 HA.,  4, 2 794.55,,,,,,
03,002,,MULEGE,,  655, 8 615.42,,,,,,
03,,,,HASTA    2 HA.,  211,  332.64,,,,,,
03,,,,MAS DE    2 HASTA    5 HA.,  45,  116.49,,,,,,
03,,,,MAS DE    5 HASTA   20 HA.,  283, 2 412.73,,,,,,
03,,,,MAS DE   20 HASTA   50 HA.,  4,  63.84,,,,,,
03,,,,MAS DE   50 HASTA  100 HA.,  24, 1 004.70,,,,,,
03,,,,MAS DE  100 HASTA 1000 HA.,  68, 2 041.43,,,,,,
03,,,,MAS DE 1000 HASTA 2500 HA.,  15, 1 039.08,,,,,,
03,,,,MAS DE 2500 HA.,  5, 1 604.52,,,,,,
03,003,,"PAZ, LA",,  990, 14 965.71,,,,,,
03,,,,HASTA    2 HA.,  175,  213.42,,,,,,
03,,,,MAS DE    2 HASTA    5 HA.,  136,  330.90,,,,,,
03,,,,MAS DE    5 HASTA   20 HA.,  237, 1 689.88,,,,,,
