"UNIDADES DE PRODUCCIÓN URBANAS, Y RURALES CON SUPERFICIE AGRÍCOLA, SEGÚN DESTINO",,,,,,,,CUADRO 10,,,
"DE LA PRODUCCIÓN AGRÍCOLA, POR ENTIDAD Y MUNICIPIO",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ENTIDAD Y MUNICIPIO,,,,UNIDADES DE PRODUCCIÓN,DESTINO DE LA PRODUCCIÓN,,,NO REPORTARON PRODUCCIÓN,,,
,,,,,SÓLO AUTOCONSUMO,VENTA,,,,,
,,,,,,SÓLO LOCAL O NACIONAL,"LOCAL, NACIONAL Y EXPORTACIÓN ",,,,
,,,,,,,"LOCAL, NACIONAL Y EXPORTACIÓN ",,,,
,,,,,,,,,,,
,,,,,,,,,,,
,FRONTERA HIDALGO,,,  815,  204,  519,*,  91,,,
,"GRANDEZA, LA",,,  672,  511,  157,-,  4,,,
,HUEHUETAN,,, 1 877,  446, 1 209,  15,  207,,,
,HUIXTAN,,, 3 011, 2 643,  315,-,  53,,,
,HUITIUPAN,,, 3 033,  455, 2 573,-,  5,,,
,HUIXTLA,,, 2 138,  167, 1 801,*,  168,,,
,"INDEPENDENCIA, LA",,, 5 286, 1 202, 4 057,*,  26,,,
,IXHUATAN,,,  804,  119,  657,-,  28,,,
,IXTACOMITAN,,,  616,  192,  294,*,  129,,,
,IXTAPA,,, 1 506,  616,  873,*,  16,,,
,IXTAPANGAJOYA,,,  363,  187,  83,-,  93,,,
,JIQUIPILAS,,, 4 465,  575, 3 855,*,  33,,,
,JITOTOL,,, 1 379,  254, 1 021,-,  104,,,
,JUAREZ,,, 1 354,  460,  386,*,  507,,,
,LARRAINZAR,,, 2 778, 2 202,  535,-,  41,,,
,"LIBERTAD, LA",,,  388,  219,  134,-,  35,,,
,MAPASTEPEC,,, 3 555,  967, 1 767,  3,  818,,,
,"MARGARITAS, LAS",,, 11 530, 5 562, 5 914,  21,  33,,,
,MAZAPA DE MADERO,,,  980,  875,  68,*,  36,,,
,MAZATAN,,, 2 230,  222, 1 802,  20,  186,,,
,METAPA,,,  401,  102,  248,*,  49,,,
,MITONTIC,,, 1 170, 1 069,  7,-,  94,,,
,MOTOZINTLA,,, 4 577, 1 981, 2 554,  16,  26,,,
,NICOLAS RUIZ,,,  559,  52,  507,-,-,,,
,OCOSINGO,,, 19 513, 9 338, 9 815,  5,  355,,,
,OCOTEPEC,,, 1 000,  347,  630,-,  23,,,
,OCOZOCOAUTLA DE ESPINOSA,,, 4 278,  803, 3 371,-,  104,,,
,OSTUACAN,,, 1 761,  834,  664,-,  263,,,
,OSUMACINTA,,,  367,  100,  263,-,  4,,,
,OXCHUC,,, 5 365, 4 146, 1 182,*,  36,,,
,PALENQUE,,, 6 166, 2 710, 2 479,*,  976,,,
,PANTELHO,,, 2 189, 1 002, 1 165,*,  20,,,
,PANTEPEC,,,  685,  509,  153,-,  23,,,
,PICHUCALCO,,, 1 450,  462,  667,  4,  317,,,
,PIJIJIAPAN,,, 3 932, 1 014,  837,  5, 2 076,,,
,"PORVENIR, EL",,, 1 298, 1 088,  200,-,  10,,,
