"SUPERFICIE DE UNIDADES DE PRODUCCIîN RURALES, SEGòN RƒGIMEN",,,,,,,CUADRO 5
"DE TENENCIA DE LA TIERRA, POR ENTIDAD Y MUNICIPIO",,,,,,,
,,,,,,,
ENTIDAD Y  MUNICIPIO,, SUPERFICIE TOTAL  (HA) ,  TENENCIA DE LA TIERRA,,,,
,,,EJIDAL  (HA), COMUNAL  (HA),PRIVADA  (HA) ,  COLONIA (HA) , PUBLICA  (HA)
,,,,,,,
,,,,,,,
,ZAPOTLANEJO, 52 729.58, 4 223.61,339, 48 094.97,-,72
MEXICO,, 992 532.96, 441 240.81, 87 921.24, 446 508.42,0.1, 16 862.38
,ACAMBAY, 21 683.35, 9 711.40, 3 093.12, 8 842.22,-,36.61
,ACOLMAN, 4 057.92, 3 174.00,-,883.93,-,-
,ACULCO, 22 898.92, 9 749.29,658.83, 12 468.45,-,22.35
,ALMOLOYA DE ALQUISIRAS, 4 066.16, 1 908.62, 1 447.31,710.24,-,-
,ALMOLOYA DE JUAREZ, 27 328.16, 15 741.44,189.52, 11 232.11,-,165.09
,ALMOLOYA DEL RIO, 1 341.06,7.39,385.72,947.95,-,-
,AMANALCO, 7 321.49, 4 136.46,385.09, 2 799.94,-,-
,AMATEPEC, 39 997.85, 12 550.70,-, 27 069.65,-,377.5
,AMECAMECA, 10 353.22, 1 082.72, 6 307.12, 2 949.69,-,13.7
,APAXCO, 4 932.52, 2 654.87,137.2, 2 140.45,-,-
,ATENCO, 13 224.43, 3 600.30,-,124.13,-, 9 500.00
,ATIZAPAN,279.12,131.71,1,146.41,-,-
,ATIZAPAN DE ZARAGOZA,434.9,58.84,-,376.06,-,-
,ATLACOMULCO, 10 478.85, 5 589.74, 1 070.66, 3 667.70,-,150.75
,ATLAUTLA, 7 804.72, 1 084.42, 4 988.04, 1 731.66,-,0.6
,AXAPUSCO, 12 474.19, 9 632.33,131.75, 2 704.12,-,6
,AYAPANGO, 1 735.14,819.29,-,915.84,-,-
,CALIMAYA, 5 515.62, 1 100.32,532.62, 3 882.19,-,0.5
,CAPULHUAC, 1 149.74,236.42,157.41,754.5,-,1.42
,COACALCO,658.16,278.67,-,379.49,-,-
,COATEPEC HARINAS, 12 308.79, 2 416.77, 1 027.95, 8 857.90,-,6.18
,COCOTITLAN, 1 884.52, 1 366.73,-,517.79,-,-
,COYOTEPEC, 1 528.68,983.5,-,545.18,-,-
,CUAUTITLAN, 1 322.32,495.28,-,827.05,-,-
,CHALCO, 9 906.48, 5 509.65,-, 4 396.83,-,-
,CHAPA DE MOTA, 12 226.54, 4 043.06, 1 944.60, 6 227.88,-,11
,CHAPULTEPEC,620.8,341.83,14.51,264.47,-,-
,CHIAUTLA, 1 003.36,619.01,-,379.85,-,4.5
,CHICOLOAPAN, 1 331.27,926.37,-,404.9,-,-
,CHICONCUAC,582.25,582.25,-,-,-,-
,CHIMALHUACAN, 1 271.23,908.41,-,362.82,-,-
,DONATO GUERRA, 8 510.56, 2 922.42, 2 459.83, 3 128.31,-,-
,ECATEPEC, 3 604.99,770.92,477.34,656.73,-, 1 700.00
,ECATZINGO, 3 043.22,-, 2 251.25,788.97,-,3
,HUEHUETOCA, 5 254.93, 1 991.28,-, 3 263.65,-,-
,HUEYPOXTLA, 11 609.42, 11 012.05,-,597.37,-,-
,HUIXQUILUCAN, 3 758.50, 1 861.88, 1 388.25,505.87,-,2.5
,ISIDRO FABELA, 1 951.44,466.72,211.41, 1 273.31,-,-
,IXTAPALUCA, 7 518.62, 4 925.22,154.71, 2 438.70,-,-
,IXTAPAN DE LA SAL, 4 350.10,351.09,-, 3 999.01,-,-
,IXTAPAN DEL ORO, 7 084.99, 3 287.51, 2 675.62, 1 121.86,-,-
,IXTLAHUACA, 21 616.81, 15 131.46,666.13, 5 813.28,-,5.95
,JALATLACO, 2 782.48,-,27.03, 2 077.87,-,677.58
,JALTENCO,544.86,110.12,-,434.74,-,-
,JILOTEPEC, 33 973.68, 15 226.56,279.51, 18 433.90,-,33.71
,JILOTZINGO, 2 501.07,465.02,199.17, 1 836.89,-,-
,JIQUIPILCO, 10 382.78, 6 233.17,-, 4 144.58,-,5.03
,JOCOTITLAN, 12 995.41, 7 944.34, 1 098.24, 3 938.84,-,14
,JOQUICINGO, 1 895.37,-,184.08, 1 711.29,-,-
,JUCHITEPEC, 9 306.56, 6 250.56,-, 3 055.00,-,1
,LERMA, 4 592.70, 3 515.97,544.43,481.68,-,50.61
,MALINALCO, 4 207.13, 2 442.04,440.24, 1 311.85,-,13
,MELCHOR OCAMPO, 1 434.95,271.06,-, 1 163.89,-,-
,METEPEC, 1 841.42,528.98,-, 1 224.31,-,88.13
,MEXICALCINGO,543.1,135.22,-,407.88,-,-
,MORELOS, 9 312.57, 3 786.93, 2 092.36, 3 433.29,-,-
,NAUCALPAN, 2 488.04, 2 023.43,227.51,237.1,-,-
,NEXTLALPAN, 3 671.15, 2 310.04,-, 1 361.11,-,-
,NICOLAS ROMERO, 6 788.56, 5 787.66,-, 1 000.62,-,0.28
,NOPALTEPEC, 6 481.41, 5 003.91,-, 1 471.54,-,5.96
,OCOYOACAC, 2 304.18, 1 077.01,772.77,436.6,-,17.8
,OCUILAN, 6 000.69,240.31, 4 842.77,915.87,-,1.75
,"ORO, EL", 5 226.89, 3 226.10,704.46, 1 296.08,-,0.25
,OTUMBA, 9 738.34, 4 949.90,-, 4 788.34,0.1,-
,OTZOLOAPAN, 13 451.32, 1 203.44,-, 12 247.89,-,-
,OTZOLOTEPEC, 4 630.13, 2 914.88,-, 1 715.25,-,-
,OZUMBA, 2 549.86,781.03,482.44, 1 286.40,-,-
,PAPALOTLA,145.68,2.25,-,143.43,-,-
,"PAZ, LA", 1 100.01,665.51,-,434.5,-,-
,POLOTITLAN, 9 557.01, 3 626.90,-, 5 879.60,-,50.5
,RAYON, 1 581.95,795.65,-,786.3,-,-
,SAN ANTONIO LA ISLA, 1 228.01,444.77,-,783.25,-,-
,SAN FELIPE DEL PROGRESO, 48 216.38, 31 189.49,186.53, 16 836.62,-,3.75
,SAN MARTIN DE LAS PIRAMIDES, 3 935.78, 1 332.12,-, 2 600.16,-,3.5
,SAN MATEO ATENCO, 1 471.96,653.33,-,818.63,-,-
,SAN SIMON DE GUERRERO, 2 969.09,-, 2 578.24,390.84,-,-
,SANTO TOMAS, 5 981.36, 1 224.76,-, 4 752.60,-,4
,SOYANIQUILPAN DE JUAREZ, 8 379.94, 5 257.33,-, 3 119.60,-,3
,SULTEPEC, 15 558.50,517.02, 6 263.25, 8 778.22,-,-
,TECAMAC, 9 615.22, 5 692.62,-, 3 917.66,-,4.94
,TEJUPILCO, 74 721.34, 13 813.19, 10 749.93, 49 955.48,-,202.75
,TEMAMATLA, 1 070.03,161.86,-,908.17,-,-
,TEMASCALAPA, 12 359.03, 7 412.28,-, 4 946.76,-,-
,TEMASCALCINGO, 10 875.35, 6 895.36, 1 219.27, 2 756.87,-,3.85
,TEMASCALTEPEC, 14 577.57, 6 567.94, 1 715.62, 6 294.01,-,-
,TEMOAYA, 8 824.35, 5 766.67,-, 3 057.32,-,0.37
,TENANCINGO, 7 330.63, 3 598.63, 1 641.90, 1 722.20,-,367.9
,TENANGO DEL AIRE, 3 059.08, 1 309.70,-, 1 749.38,-,-
,TENANGO DEL VALLE, 5 111.87, 2 097.56, 2 233.53,780.79,-,-
,TEOLOYUCAN, 2 315.67,621.21,-, 1 694.46,-,-
,TEOTIHUACAN, 3 627.22, 1 884.46,7.59, 1 711.67,-,23.5
,TEPETLAOXTOC, 8 923.74, 2 927.66,933.83, 3 519.39,-, 1 542.86
,TEPETLIXPA, 3 013.05, 1 441.44,165.73, 1 405.89,-,-
,TEPOTZOTLAN, 3 849.52, 2 506.39,-, 1 343.14,-,-
,TEQUIXQUIAC, 4 636.91, 3 032.57,-, 1 604.35,-,-
,TEXCALTITLAN, 6 194.65, 2 799.54, 1 086.74, 2 294.87,-,13.5
,TEXCALYACAC,992.19,-,762.72,224.47,-,5
,TEXCOCO, 12 487.56, 7 056.92, 1 005.06, 2 887.73,-, 1 537.85
,TEZOYUCA,976.37,852.2,-,124.17,-,-
,TIANGUISTENCO, 5 387.60,531.1, 2 757.86, 1 978.64,-,120
,TIMILPAN, 9 435.48, 5 184.61,-, 4 245.42,-,5.46
,TLALMANALCO, 5 392.01, 1 414.46, 1 720.00, 2 257.55,-,-
,TLALNEPANTLA,860.66,257.33,-,603.34,-,-
,TLATLAYA, 55 947.88, 25 032.69, 1 863.15, 29 052.04,-,-
,TOLUCA, 15 169.50, 11 400.20,872.22, 2 895.09,-,2
,TONATICO, 4 112.75, 1 748.94,-, 2 350.05,-,13.77
,TULTEPEC, 1 906.74, 1 124.68,-,782.06,-,-
,TULTITLAN, 1 033.39,751.62,-,281.77,-,-
,VALLE DE BRAVO, 20 327.92, 4 622.95,637.56, 15 065.01,-,2.4
,VILLA DE ALLENDE, 12 801.37, 8 419.73, 1 073.35, 3 308.30,-,-
,VILLA DEL CARBON, 10 096.12, 4 545.99, 1 958.53, 3 591.59,-,-
,VILLA GUERRERO, 8 668.29,935.64,865.23, 6 866.86,-,0.56
,VILLA VICTORIA, 23 631.96, 15 909.47,-, 7 721.50,-,1
,XONACATLAN, 2 630.89, 1 847.01,115.68,662.2,-,6
,ZACAZONAPAN, 6 525.40,457.09,-, 6 068.30,-,-
,ZACUALPAN, 7 747.68,995.24,838.2, 5 901.82,-,12.41
,ZINACANTEPEC, 9 392.70, 7 187.09,17.6, 2 186.51,-,1.51
,ZUMPAHUACAN, 4 895.84,279.08,-, 4 616.25,-,0.5
,ZUMPANGO, 9 635.75, 4 043.79,-, 5 579.21,-,12.75
,CUAUTITLAN IZCALLI, 2 576.08, 1 814.84,-,761.24,-,-
MICHOACAN,,3 404 950.53, 939 342.47, 174 613.08,2 279 885.49, 1 746.90, 9 362.59
,ACUITZIO, 10 021.79, 1 113.70,704.28, 8 203.81,-,-
,AGUILILLA, 97 722.17, 20 698.72,-, 76 983.45,-,40
,ALVARO OBREGON, 8 785.37, 5 099.10,-, 3 424.77,247.78,13.71
,ANGAMACUTIRO, 10 975.87, 6 151.83,1, 4 795.04,-,28
,ANGANGUEO, 1 425.75, 1 411.79,4.08,9.38,-,0.5
,APATZINGAN, 81 638.08, 34 093.41,162, 47 359.67,-,23
,APORO, 4 200.13,550.2,-, 3 649.93,-,-
,AQUILA, 94 509.73, 2 699.37, 51 654.75, 40 155.61,-,-
,ARIO, 37 706.75, 16 424.96,513, 20 768.79,-,-
,ARTEAGA, 260 097.40, 20 596.33, 2 856.00, 236 645.07,-,-
,BRISE„AS, 6 261.62, 6 253.60,-,-,-,8.02
,BUENAVISTA, 65 768.60, 30 899.60,565, 34 154.50,-,149.5
,CARACUARO, 75 137.79, 11 197.00,-, 63 939.79,-,1
,COAHUAYANA, 29 077.45, 10 786.82,21.25, 17 599.45,126.5,543.43
,COALCOMAN DE VAZQUEZ PALLARES, 245 812.02, 19 579.50,40, 224 932.41,700,560.11
,COENEO, 15 823.54, 7 193.84,864.5, 7 735.20,30,-
,CONTEPEC, 21 038.74, 14 253.18,29.14, 6 709.62,-,46.8
,COPANDARO, 5 547.21,924.26,-, 4 622.95,-,-
,COTIJA, 28 841.41, 9 779.00,5.6, 19 056.81,-,-
,CUITZEO, 6 930.05, 3 001.25,-, 3 891.36,1.5,35.95
,CHARAPAN, 8 515.59,177, 4 448.89, 3 888.70,1,-
,CHARO, 22 118.34, 7 452.34, 6 025.26, 8 589.74,-,51
,CHAVINDA, 7 254.87, 4 709.94,-, 2 516.93,20,8
,CHERAN, 3 657.41,1.01, 1 340.46, 2 315.94,-,-
,CHILCHOTA, 5 960.60,0.01, 5 552.05,408.54,-,-
,CHINICUILA, 68 684.64, 14 588.81,209.9, 53 819.52,66.41,-
,CHUCANDIRO, 5 503.78, 2 295.19,12.4, 3 196.19,-,-
,CHURINTZIO, 8 484.07, 3 020.00,265.86, 5 198.21,-,-
,CHURUMUCO, 27 780.60, 20 163.69,876.6, 6 740.31,-,-
,ECUANDUREO, 13 845.87, 7 062.79,6.01, 6 775.07,-,2
,EPITACIO HUERTA, 25 330.43, 8 147.67,-, 17 136.50,14.27,32
,ERONGARICUARO, 8 856.82, 5 884.42,113.58, 2 841.82,-,17
,GABRIEL ZAMORA, 17 827.05, 14 178.82,-, 3 648.23,-,-
,HIDALGO, 75 147.57, 7 601.67,705.39, 66 737.56,11,91.95
,"HUACANA, LA", 51 110.20, 31 448.11,813, 18 730.18,-,118.91
,HUANDACAREO, 4 868.19, 1 943.01,5, 2 920.18,-,-
,HUANIQUEO, 7 835.06, 2 820.16,-, 4 990.90,22.5,1.5
,HUETAMO, 104 688.72, 19 458.21, 1 002.50, 82 010.01,-, 2 218.00
,HUIRAMBA, 3 520.69, 1 389.34,-, 2 123.85,2,5.5
,INDAPARAPEO, 10 201.30, 5 034.80,-, 5 166.50,-,-
,IRIMBO, 9 607.83, 2 421.42,8, 7 177.31,-,1.1
,IXTLAN, 6 819.87, 4 755.98,3, 2 058.89,-,2
,JACONA, 6 375.08, 1 925.14,-, 4 449.94,-,-
,JIMENEZ, 8 121.96, 5 657.51,9, 2 346.29,-,109.16
,JIQUILPAN, 21 805.53, 5 440.29,2.2, 16 236.26,-,126.78
,JUAREZ, 4 460.62, 4 031.80,4.5,424.32,-,-
,JUNGAPEO, 11 343.97, 9 124.63,2, 2 213.34,-,4
,LAGUNILLAS, 4 892.05,926.1,4.02, 3 882.67,-,79.27
,MADERO, 63 968.82, 13 995.70,390.5, 49 542.62,40,-
,MARAVATIO, 45 525.38, 14 092.76,930.02, 30 433.09,7.25,62.25
,MARCOS CASTELLANOS, 23 127.98, 4 262.24,-, 18 811.74,-,54
,LAZARO CARDENAS, 81 043.55, 28 027.79,-, 53 001.25,-,14.5
,MORELIA, 54 189.30, 18 586.45,118.71, 35 354.54,-,129.6
,MORELOS, 9 909.00, 1 366.44,576.79, 7 963.26,-,2.5
,MUGICA, 15 252.48, 15 252.48,-,-,-,-
,NAHUATZEN, 13 850.65, 2 352.33, 10 721.84,761.48,-,15
,NOCUPETARO, 17 681.53, 5 887.16,50, 11 744.37,-,-
,NUEVO PARANGARICUTIRO, 22 200.06, 1 507.11, 13 759.25, 6 933.71,-,-
,NUEVO URECHO, 11 855.38, 6 811.98,-, 4 467.40,-,576
,NUMARAN, 8 349.10, 4 376.47,3.01, 3 927.91,14,27.7
,OCAMPO, 8 191.83, 5 727.85,744.32, 1 714.66,1,4
,PAJACUARAN, 12 866.36, 8 400.76,-, 4 397.34,67,1.25
,PANINDICUARO, 11 869.14, 6 231.46,76.02, 5 561.67,-,-
,PARACUARO, 25 702.59, 21 656.02,-, 4 021.48,-,25.09
,PARACHO, 7 106.03,111.38, 4 746.15, 2 243.91,3,1.58
,PATZCUARO, 16 410.87, 5 601.16, 1 551.33, 9 235.65,-,22.74
,PENJAMILLO, 21 736.00, 9 379.62,-, 12 356.38,-,-
,PERIBAN, 21 977.60, 3 610.83,381.77, 17 951.01,34,-
,"PIEDAD, LA", 16 087.23, 3 049.44,-, 13 034.79,-,3
,PUREPERO, 12 629.62,190,96.54, 12 340.33,0.75,2
,PURUANDIRO, 27 592.50, 18 997.05,218.51, 8 371.10,5.83,-
,QUERENDARO, 13 367.21, 4 248.00,-, 9 109.21,-,10
,QUIROGA, 5 966.78,239.05, 1 473.63, 4 254.09,-,-
,COJUMATLAN DE REGULES, 8 818.40, 2 255.04,-, 6 563.36,-,-
,"REYES, LOS", 18 177.95, 5 063.25, 8 149.64, 4 931.91,13,20.16
,SAHUAYO, 13 783.83, 4 471.51,4, 9 275.05,-,33.27
,SAN LUCAS, 29 310.08, 9 165.73,6, 20 100.35,-,38
,SANTA ANA MAYA, 7 053.51, 1 356.94,-, 5 571.28,-,125.29
,SALVADOR ESCALANTE, 51 642.02, 15 414.70, 17 995.51, 18 223.81,-,8
,SENGUIO, 13 555.66, 4 364.94,-, 9 170.72,-,20
,SUSUPUATO, 15 880.17, 10 515.42,1, 5 360.64,3.11,-
,TACAMBARO, 34 727.40, 8 155.30, 1 766.40, 24 804.70,1,-
,TANCITARO, 40 926.07, 1 884.59,69.57, 38 946.94,1,23.97
,TANGAMANDAPIO, 11 885.92, 2 805.69, 2 532.33, 6 546.81,-,1.08
,TANGANCICUARO, 22 263.22, 6 317.50, 1 545.43, 14 397.78,-,2.5
,TANHUATO, 16 168.32, 7 218.27,-, 8 938.30,1,10.75
,TARETAN, 6 842.68, 5 712.87,2.03,953.78,-,174
,TARIMBARO, 16 150.10, 8 165.65,191.41, 7 553.30,2,237.73
,TEPALCATEPEC, 52 444.28, 32 644.26,-, 19 650.02,-,150
,TINGAMBATO, 5 350.45,618.9, 3 749.43,982.11,-,-
,TINGUINDIN, 9 653.83, 2 364.47,227.98, 7 043.38,18,-
,TIQUICHEO DE NICOLAS ROMERO, 89 729.45, 7 717.36,-, 81 760.09,-,252
,TLALPUJAHUA, 11 979.30, 1 603.43,-, 10 371.12,1.7,3.05
,TLAZAZALCA, 9 595.21, 3 375.51,-, 6 219.70,-,-
,TOCUMBO, 26 434.52, 4 591.13,591.76, 21 099.63,46,106
,TUMBISCATIO, 191 671.80, 25 414.91,-, 165 955.19,-,301.7
,TURICATO, 102 264.04, 15 391.00,-, 86 862.60,10.43,-
,TUXPAN, 13 695.34, 3 834.88,-, 9 859.21,1.25,-
,TUZANTLA, 63 301.34, 23 759.40,-, 39 541.94,-,-
,TZINTZUNTZAN, 5 420.05,724.23,244.91, 4 361.37,-,89.55
,TZITZIO, 78 462.34, 2 314.68,-, 76 147.65,-,-
,URUAPAN, 28 748.61, 6 937.41, 10 191.30, 11 162.70,-,457.2
,VENUSTIANO CARRANZA, 17 044.03, 10 948.17,-, 4 081.21,57, 1 957.65
,VILLAMAR, 15 419.05, 8 562.56,7, 6 837.98,-,11.5
,VISTA HERMOSA, 13 014.55, 12 855.18,-,159.37,-,-
,YURECUARO, 6 069.21, 4 766.74,2.5, 1 299.98,-,-
,ZACAPU, 23 485.49, 9 046.10,277.22, 14 162.17,-,-
,ZAMORA, 18 066.32, 12 509.52,4.53, 5 532.74,-,19.53
,ZINAPARO, 6 089.49, 1 319.52,35.08, 4 721.19,-,13.7
,ZINAPECUARO, 37 682.31, 13 371.70, 4 368.57, 19 763.89,175.61,2.54
,ZIRACUARETIRO, 9 229.38, 4 248.86, 2 789.06, 2 186.45,-,5.01
,ZITACUARO, 21 010.57, 7 782.67, 5 190.81, 8 008.10,-,29
,JOSE SIXTO VERDUZCO, 11 507.19, 11 443.69,1,62.5,-,-
MORELOS,, 204 441.21, 145 982.60, 13 005.93, 44 082.54,409.57,960.57
,AMACUZAC, 6 449.76, 3 986.48,-, 2 458.78,-,4.5
,ATLATLAHUCAN, 4 671.37, 1 699.46,-, 2 971.91,-,-
,AXOCHIAPAN, 11 676.48, 10 421.34,-, 1 255.14,-,-
,AYALA, 17 211.82, 12 460.64,-, 4 564.48,99.71,87
,COATLAN DEL RIO, 3 338.76, 2 432.75,-,906.01,-,-
,CUAUTLA, 8 465.58, 7 857.33,-,608.25,-,-
,CUERNAVACA, 3 700.78, 2 634.44, 1 057.87,8.46,-,-
,EMILIANO ZAPATA, 1 994.44, 1 498.77,86.69,408.99,-,-
,HUITZILAC, 3 607.50,-, 3 607.50,-,-,-
,JANTETELCO, 5 608.54, 5 163.98,-,444.55,-,-
,JIUTEPEC, 1 574.57,830.83,275.11,468.63,-,-
,JOJUTLA, 9 266.49, 7 652.19,-, 1 572.78,-,41.53
,JONACATEPEC, 6 043.63, 5 277.58,-,721.05,-,45
,MAZATEPEC, 2 425.22, 1 925.68,-,499.54,-,-
,MIACATLAN, 8 567.19, 6 961.22,239.64,992.39,-,373.94
,OCUITUCO, 5 833.21, 3 080.15,325.01, 2 428.05,-,-
,PUENTE DE IXTLA, 12 205.29, 10 344.05,-, 1 861.23,-,-
,TEMIXCO, 2 782.17, 2 268.68,512.34,1.15,-,-
,TEPALCINGO, 12 652.49, 11 375.27,-, 1 147.21,-,130
,TEPOZTLAN, 4 072.48,760.3, 3 311.03,1.15,-,-
,TETECALA, 2 564.85,886.11,-, 1 678.74,-,-
,TETELA DEL VOLCAN, 3 948.54, 2 271.29,978.45,695.51,-,3.3
,TLALNEPANTLA, 2 588.06,738.1, 1 072.95,461.01,230,86
,TLALTIZAPAN, 11 492.99, 6 067.62,250.9, 5 174.46,-,-
,TLAQUILTENANGO, 14 610.17, 12 458.31,-, 2 150.86,-,1
,TLAYACAPAN, 3 413.13,883.42,568.37, 1 961.33,-,-
,TOTOLAPAN, 3 656.00, 2 074.42,522.15, 1 059.43,-,-
,XOCHITEPEC, 4 261.72, 2 791.28,34.4, 1 436.04,-,-
,YAUTEPEC, 8 343.55, 7 373.38,163.51,727.11,79.55,-
,YECAPIXTLA, 10 336.75, 4 932.53,-, 5 242.91,0.3,161
,ZACATEPEC, 1 354.44, 1 182.12,-,145.02,-,27.3
,ZACUALPAN, 2 122.98, 2 114.04,-,8.94,-,-
,TEMOAC, 3 600.27, 3 578.84,-,21.44,-,-
NAYARIT,,1 147 022.99, 547 808.58, 119 887.03, 458 471.41,120.63, 20 735.34
,ACAPONETA, 35 229.50, 19 394.84, 4 941.50, 10 839.90,-,53.26
,AHUACATLAN, 19 466.52, 11 608.61,734.35, 6 978.53,77,68.04
,AMATLAN DE CA„AS, 29 586.63, 12 082.45,399.39, 17 082.29,22.5,-
,COMPOSTELA, 95 206.36, 57 243.17, 6 824.31, 30 930.87,3,205.01
,HUAJICORI, 110 262.51, 37 316.91, 51 736.23, 21 133.62,13,62.75
,IXTLAN DEL RIO, 26 480.42, 5 385.33,227.78, 20 778.07,-,89.24
,JALA, 27 439.00, 8 535.23, 2 547.73, 16 339.94,-,16.11
,XALISCO, 27 190.75, 20 021.82,429.23, 6 693.50,-,46.2
,"NAYAR, EL", 33 306.40, 1 047.81, 21 537.18, 10 711.93,4.98,4.5
,ROSAMORADA, 53 999.80, 42 053.46, 9 521.60, 2 419.74,-,5
,RUIZ, 24 236.27, 13 116.57, 7 274.86, 3 832.69,0.15,12
,SAN BLAS, 75 891.91, 44 203.61,5, 17 060.59,-, 14 622.71
,SAN PEDRO LAGUNILLAS, 18 807.01, 16 888.31,39.04, 1 879.41,-,0.25
,SANTA MARIA DEL ORO, 49 889.81, 23 210.12,259, 26 314.22,-,106.46
,SANTIAGO IXCUINTLA, 88 154.74, 76 056.13,105.84, 10 712.98,-, 1 279.78
,TECUALA, 54 474.55, 48 002.89,736.5, 5 728.41,-,6.75
,TEPIC, 49 185.71, 40 222.07,48.25, 8 910.07,-,5.32
,TUXPAN, 15 340.87, 14 809.45,-,527.41,-,4
,"YESCA, LA", 271 477.72, 34 539.82, 2 105.23, 230 684.71,-, 4 147.97
,BAHIA DE BANDERAS, 41 396.52, 22 069.98, 10 414.00, 8 912.54,-,-
NUEVO LEON,,4 380 833.30, 292 514.33, 45 099.21,3 982 042.52, 45 328.10, 15 849.15
,ABASOLO, 3 949.86,6.12,-, 3 943.74,-,-
,AGUALEGUAS, 92 979.05, 2 763.00,181.01, 88 385.04,-, 1 650.00
,"ALDAMAS, LOS", 51 627.28, 3 813.38,-, 47 779.90,-,34
,ALLENDE, 15 375.97,104.2,-, 15 262.67,1.7,7.4
,ANAHUAC, 391 267.94, 35 006.85,3.67, 320 209.81, 35 969.27,78.33
,APODACA, 17 187.92,-,-, 16 781.98,-,405.94
,ARAMBERRI, 80 836.30, 8 209.63,3.14, 72 372.03,6,245.5
,BUSTAMANTE, 32 468.94, 1 969.97,-, 30 498.97,-,-
,CADEREYTA JIMENEZ, 97 494.61, 17 611.20,-, 79 487.94,13.6,381.87
,CARMEN, 14 562.49,800.33,-, 13 732.16,-,30
,CERRALVO, 53 755.35,87.01, 11 689.68, 39 897.67, 2 052.00,29
,CIENEGA DE FLORES, 11 165.64,79.5,-, 11 061.14,20,5
,CHINA, 393 918.64, 7 902.90, 9 396.00, 373 691.75,347, 2 580.99
,DOCTOR ARROYO, 87 492.66, 34 448.90,108.9, 52 132.73,700.13,102
,DOCTOR COSS, 63 144.27,-,-, 63 081.71,20,42.56
,DOCTOR GONZALEZ, 60 398.95, 9 518.50,-, 49 998.45,882,-
,GALEANA, 217 897.99, 56 525.70,658.64, 160 550.23,-,163.42
,GARCIA, 68 258.78, 2 853.10,-, 64 560.93,-,844.75
,SAN PEDRO GARZA GARCIA, 2 477.65,-,-, 2 477.65,-,-
,GENERAL BRAVO, 183 561.10,960,-, 182 530.77,0.33,70
,GENERAL ESCOBEDO, 12 938.29, 2 513.50,-, 10 244.12,-,180.67
,GENERAL TERAN, 252 773.18, 9 101.45, 3 293.80, 240 366.68,-,11.25
,GENERAL TREVI„O, 43 862.36,-,-, 43 862.36,-,-
,GENERAL ZARAGOZA, 54 997.57, 1 578.89,0.33, 52 095.35,-, 1 323.00
,GENERAL ZUAZUA, 13 018.22,749.6,-, 11 801.12,-,467.5
,GUADALUPE, 1 720.39,145.78,-, 1 440.98,0.08,133.56
,"HERRERAS, LOS", 43 281.72,-,-, 43 281.72,-,-
,HIGUERAS, 47 246.19,-,-, 47 045.44,36.25,164.5
,HUALAHUISES, 13 203.71,792.62,-, 12 406.05,-,5.03
,ITURBIDE, 43 273.39, 3 975.40,-, 38 053.59,-, 1 244.40
,JUAREZ, 27 234.44,581.79,-, 26 640.35,-,12.3
,LAMPAZOS DE NARANJO, 303 162.02, 5 881.25,-, 296 559.47,261,460.3
,LINARES, 159 558.89, 23 608.10,-, 132 709.50,99.44, 3 141.85
,MARIN, 12 603.78,560.37,-, 11 836.58,-,206.84
,MELCHOR OCAMPO, 16 567.98,-,-, 16 567.98,-,-
,MIER Y NORIEGA, 16 651.86, 4 275.73,6, 7 444.03, 4 883.00,43.1
,MINA, 273 270.76, 1 232.27, 14 033.36, 258 003.88,-,1.25
,MONTEMORELOS, 149 090.58, 5 191.09,-, 143 708.69,27.3,163.5
,MONTERREY, 4 778.45,-,-, 4 778.39,-,0.06
,PARAS, 101 312.78,705.75,-, 100 553.37,-,53.66
,PESQUERIA, 26 259.84, 2 361.27,-, 23 898.57,-,-
,"RAMONES, LOS", 109 395.64, 3 278.70,-, 106 103.83,-,13.11
,RAYONES, 32 434.08, 14 568.64,15.25, 17 826.43,-,23.75
,SABINAS HIDALGO, 135 381.14, 6 983.79,350, 128 043.35,-,4
,SALINAS VICTORIA, 159 672.26, 10 324.43,-, 149 316.21,-,31.62
,HIDALGO, 4 671.08,96.25,-, 4 574.83,-,-
,SANTA CATARINA, 71 996.49,14.61,690.23, 70 118.35,-, 1 173.29
,SANTIAGO, 36 433.10,218, 4 669.20, 31 506.65,9,30.25
,VALLECILLO, 154 868.01, 9 547.73,-, 145 049.20,-,271.08
,VILLALDAMA, 119 353.74, 1 567.02,-, 117 768.20,-,18.51
OAXACA,,3 016 825.88, 813 398.45,1 331 669.78, 860 965.31,835.4, 9 956.95
,ABEJONES,323.85,-,323.85,-,-,-
,ACATLAN DE PEREZ FIGUEROA, 38 389.95, 25 300.32,-, 13 089.63,-,-
,ASUNCION CACALOTEPEC, 2 638.16,-, 2 638.16,-,-,-
,ASUNCION CUYOTEPEJI,64.27,-,64.27,-,-,-
,ASUNCION IXTALTEPEC, 18 458.33, 16 793.96,-, 1 664.36,-,-
,ASUNCION NOCHIXTLAN, 4 323.23,64, 2 264.58, 1 994.65,-,-
,ASUNCION OCOTLAN,360.05,-,-,360.05,-,-
,ASUNCION TLACOLULITA,673.33,-,673.33,-,-,-
,AYOTZINTEPEC, 4 925.04, 4 925.04,-,-,-,-
,"BARRIO DE LA SOLEDAD, EL", 6 484.81, 1 352.87, 5 131.93,-,-,-
